Year,UNIT_MEASURE,Quantity,Administrative area,Value
1997,Number,Total (millions),BiH,3894
1998,Number,Total (millions),BiH,4343
1999,Number,Total (millions),BiH,4691
2000,Number,Total (millions),BiH,4536
2001,Number,Total (millions),BiH,4795
2002,Number,Total (millions),BiH,5610
2003,Number,Total (millions),BiH,7097
2004,Number,Total (millions),BiH,8567
2005,Number,Total (millions),BiH,11221
2006,Number,Total (millions),BiH,12865
2007,Number,Total (millions),BiH,15773
2008,Number,Total (millions),BiH,19093
2009,Number,Total (millions),BiH,17628
2010,Number,Total (millions),BiH,17174
2011,Number,Total (millions),BiH,18655
2012,Number,Total (millions),BiH,17222
2013,Number,Total (millions),BiH,18173
2014,Number,Total (millions),BiH,18566
2015,Number,Total (millions),BiH,16220
2016,Number,Total (millions),BiH,16914
2017,Number,Total (millions),BiH,18079
2018,Number,Total (millions),BiH,20177
2019,Number,Total (millions),BiH,20201
1997,Number,Per capita,BiH,1037
1998,Number,Per capita,BiH,1189
1999,Number,Per capita,BiH,1259
2000,Number,Per capita,BiH,1200
2001,Number,Per capita,BiH,1263
2002,Number,Per capita,BiH,1466
2003,Number,Per capita,BiH,1852
2004,Number,Per capita,BiH,2229
2005,Number,Per capita,BiH,3168
2006,Number,Per capita,BiH,3632
2007,Number,Per capita,BiH,4453
2008,Number,Per capita,BiH,5390
2009,Number,Per capita,BiH,4978
2010,Number,Per capita,BiH,4851
2011,Number,Per capita,BiH,5273
2012,Number,Per capita,BiH,4872
2013,Number,Per capita,BiH,5147
2014,Number,Per capita,BiH,5265
2015,Number,Per capita,BiH,4611
2016,Number,Per capita,BiH,4818
2017,Number,Per capita,BiH,5160
2018,Number,Per capita,BiH,5771
2019,Number,Per capita,BiH,5797
