Year,UNIT_MEASURE,Begininng of the school year,Sex,Value
2013,Number,2011/2012,Both sexes,316657
2013,Number,2012/2013,Both sexes,304881
2013,Number,2013/2014,Both sexes,302133
2013,Number,2014/2015,Both sexes,296819
2013,Number,2015/2016,Both sexes,291342
2013,Number,2016/2017,Both sexes,287729
2013,Number,2017/2018,Both sexes,282946
2013,Number,2018/2019,Both sexes,280018
2013,Number,2019/2020,Both sexes,274034
2013,Number,2020/2021,Both sexes,268059
2013,Number,2011/2012,M,162596
2013,Number,2012/2013,M,156296
2013,Number,2013/2014,M,154895
2013,Number,2014/2015,M,152363
2013,Number,2015/2016,M,149888
2013,Number,2016/2017,M,148250
2013,Number,2017/2018,M,145441
2013,Number,2018/2019,M,143837
2013,Number,2019/2020,M,140792
2013,Number,2020/2021,M,137540
2013,Number,2011/2012,F,154061
2013,Number,2012/2013,F,148585
2013,Number,2013/2014,F,147238
2013,Number,2014/2015,F,144456
2013,Number,2015/2016,F,141454
2013,Number,2016/2017,F,139479
2013,Number,2017/2018,F,137505
2013,Number,2018/2019,F,136181
2013,Number,2019/2020,F,133242
2013,Number,2020/2021,F,130519
