Year,UNIT_MEASURE,Begininng of the school year,Type_of_school,Sex,Value
2013,Number,2011/2012,Total,Both sexes,163284
2013,Number,2012/2013,Total,Both sexes,166662
2013,Number,2013/2014,Total,Both sexes,156350
2013,Number,2014/2015,Total,Both sexes,143881
2013,Number,2015/2016,Total,Both sexes,133228
2013,Number,2016/2017,Total,Both sexes,126824
2013,Number,2017/2018,Total,Both sexes,124148
2013,Number,2018/2019,Total,Both sexes,117475
2013,Number,2019/2020,Total,Both sexes,112796
2013,Number,2020/2021,Total,Both sexes,110404
2013,Number,2011/2012,Gymnasium,Both sexes,41081
2013,Number,2012/2013,Gymnasium,Both sexes,42225
2013,Number,2013/2014,Gymnasium,Both sexes,40065
2013,Number,2014/2015,Gymnasium,Both sexes,37132
2013,Number,2015/2016,Gymnasium,Both sexes,33321
2013,Number,2016/2017,Gymnasium,Both sexes,30615
2013,Number,2017/2018,Gymnasium,Both sexes,29591
2013,Number,2018/2019,Gymnasium,Both sexes,26731
2013,Number,2019/2020,Gymnasium,Both sexes,24817
2013,Number,2020/2021,Gymnasium,Both sexes,23867
2013,Number,2011/2012,Technical schools,Both sexes,83704
2013,Number,2012/2013,Technical schools,Both sexes,86539
2013,Number,2013/2014,Technical schools,Both sexes,82743
2013,Number,2014/2015,Technical schools,Both sexes,77388
2013,Number,2015/2016,Technical schools,Both sexes,72109
2013,Number,2016/2017,Technical schools,Both sexes,68743
2013,Number,2017/2018,Technical schools,Both sexes,67895
2013,Number,2018/2019,Technical schools,Both sexes,64706
2013,Number,2019/2020,Technical schools,Both sexes,62846
2013,Number,2020/2021,Technical schools,Both sexes,61811
2013,Number,2011/2012,Art schools,Both sexes,1514
2013,Number,2012/2013,Art schools,Both sexes,1520
2013,Number,2013/2014,Art schools,Both sexes,1445
2013,Number,2014/2015,Art schools,Both sexes,1291
2013,Number,2015/2016,Art schools,Both sexes,1216
2013,Number,2016/2017,Art schools,Both sexes,1203
2013,Number,2017/2018,Art schools,Both sexes,1154
2013,Number,2018/2019,Art schools,Both sexes,1166
2013,Number,2019/2020,Art schools,Both sexes,1139
2013,Number,2020/2021,Art schools,Both sexes,1151
2013,Number,2011/2012,Religion schools,Both sexes,2095
2013,Number,2012/2013,Religion schools,Both sexes,2266
2013,Number,2013/2014,Religion schools,Both sexes,2258
2013,Number,2014/2015,Religion schools,Both sexes,2222
2013,Number,2015/2016,Religion schools,Both sexes,2189
2013,Number,2016/2017,Religion schools,Both sexes,2227
2013,Number,2017/2018,Religion schools,Both sexes,2309
2013,Number,2018/2019,Religion schools,Both sexes,2245
2013,Number,2019/2020,Religion schools,Both sexes,2197
2013,Number,2020/2021,Religion schools,Both sexes,2196
2013,Number,2011/2012,Vocational schools,Both sexes,34479
2013,Number,2012/2013,Vocational schools,Both sexes,33672
2013,Number,2013/2014,Vocational schools,Both sexes,29414
2013,Number,2014/2015,Vocational schools,Both sexes,25463
2013,Number,2015/2016,Vocational schools,Both sexes,23995
2013,Number,2016/2017,Vocational schools,Both sexes,23642
2013,Number,2017/2018,Vocational schools,Both sexes,22819
2013,Number,2018/2019,Vocational schools,Both sexes,22280
2013,Number,2019/2020,Vocational schools,Both sexes,21481
2013,Number,2020/2021,Vocational schools,Both sexes,21054
2013,Number,2011/2012,High schools for children with special needs,Both sexes,411
2013,Number,2012/2013,High schools for children with special needs,Both sexes,440
2013,Number,2013/2014,High schools for children with special needs,Both sexes,425
2013,Number,2014/2015,High schools for children with special needs,Both sexes,385
2013,Number,2015/2016,High schools for children with special needs,Both sexes,398
2013,Number,2016/2017,High schools for children with special needs,Both sexes,394
2013,Number,2017/2018,High schools for children with special needs,Both sexes,380
2013,Number,2018/2019,High schools for children with special needs,Both sexes,347
2013,Number,2019/2020,High schools for children with special needs,Both sexes,316
2013,Number,2020/2021,High schools for children with special needs,Both sexes,325
2013,Number,2011/2012,Total,M,82745
2013,Number,2012/2013,Total,M,84420
2013,Number,2013/2014,Total,M,78882
2013,Number,2014/2015,Total,M,72095
2013,Number,2015/2016,Total,M,66708
2013,Number,2016/2017,Total,M,63232
2013,Number,2017/2018,Total,M,61934
2013,Number,2018/2019,Total,M,58821
2013,Number,2019/2020,Total,M,56328
2013,Number,2020/2021,Total,M,55068
2013,Number,2011/2012,Gymnasium,M,15329
2013,Number,2012/2013,Gymnasium,M,15779
2013,Number,2013/2014,Gymnasium,M,14829
2013,Number,2014/2015,Gymnasium,M,13802
2013,Number,2015/2016,Gymnasium,M,12424
2013,Number,2016/2017,Gymnasium,M,11379
2013,Number,2017/2018,Gymnasium,M,10929
2013,Number,2018/2019,Gymnasium,M,9694
2013,Number,2019/2020,Gymnasium,M,8899
2013,Number,2020/2021,Gymnasium,M,8451
2013,Number,2011/2012,Technical schools,M,41624
2013,Number,2012/2013,Technical schools,M,43010
2013,Number,2013/2014,Technical schools,M,41216
2013,Number,2014/2015,Technical schools,M,38340
2013,Number,2015/2016,Technical schools,M,35563
2013,Number,2016/2017,Technical schools,M,33308
2013,Number,2017/2018,Technical schools,M,32926
2013,Number,2018/2019,Technical schools,M,31248
2013,Number,2019/2020,Technical schools,M,30030
2013,Number,2020/2021,Technical schools,M,29382
2013,Number,2011/2012,Art schools,M,657
2013,Number,2012/2013,Art schools,M,645
2013,Number,2013/2014,Art schools,M,581
2013,Number,2014/2015,Art schools,M,512
2013,Number,2015/2016,Art schools,M,471
2013,Number,2016/2017,Art schools,M,454
2013,Number,2017/2018,Art schools,M,432
2013,Number,2018/2019,Art schools,M,447
2013,Number,2019/2020,Art schools,M,403
2013,Number,2020/2021,Art schools,M,411
2013,Number,2011/2012,Religion schools,M,1089
2013,Number,2012/2013,Religion schools,M,1138
2013,Number,2013/2014,Religion schools,M,1149
2013,Number,2014/2015,Religion schools,M,1106
2013,Number,2015/2016,Religion schools,M,1070
2013,Number,2016/2017,Religion schools,M,1099
2013,Number,2017/2018,Religion schools,M,1121
2013,Number,2018/2019,Religion schools,M,1075
2013,Number,2019/2020,Religion schools,M,1053
2013,Number,2020/2021,Religion schools,M,1027
2013,Number,2011/2012,Vocational schools,M,23787
2013,Number,2012/2013,Vocational schools,M,23567
2013,Number,2013/2014,Vocational schools,M,20832
2013,Number,2014/2015,Vocational schools,M,18088
2013,Number,2015/2016,Vocational schools,M,16937
2013,Number,2016/2017,Vocational schools,M,16746
2013,Number,2017/2018,Vocational schools,M,16292
2013,Number,2018/2019,Vocational schools,M,16137
2013,Number,2019/2020,Vocational schools,M,15739
2013,Number,2020/2021,Vocational schools,M,15588
2013,Number,2011/2012,High schools for children with special needs,M,259
2013,Number,2012/2013,High schools for children with special needs,M,281
2013,Number,2013/2014,High schools for children with special needs,M,275
2013,Number,2014/2015,High schools for children with special needs,M,247
2013,Number,2015/2016,High schools for children with special needs,M,243
2013,Number,2016/2017,High schools for children with special needs,M,246
2013,Number,2017/2018,High schools for children with special needs,M,234
2013,Number,2018/2019,High schools for children with special needs,M,220
2013,Number,2019/2020,High schools for children with special needs,M,204
2013,Number,2020/2021,High schools for children with special needs,M,209
2013,Number,2011/2012,Total,F,80539
2013,Number,2012/2013,Total,F,82242
