Year,UNIT_MEASURE,Age,Sex,Activity rates,Value
2006,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.1
2006,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,33.4
2006,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,66.0
2006,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,36.6
2006,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,5.7
2006,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,51.3
2006,% of total,15+,M,Active (Labour Force) as % of working age population,56.2
2006,% of total,15 - 24,M,Active (Labour Force) as % of working age population,40.1
2006,% of total,25 - 49,M,Active (Labour Force) as % of working age population,81.9
2006,% of total,50 - 64,M,Active (Labour Force) as % of working age population,53.4
2006,% of total,65+,M,Active (Labour Force) as % of working age population,8.0
2006,% of total,15 - 64,M,Active (Labour Force) as % of working age population,65.5
2006,% of total,15+,F,Active (Labour Force) as % of working age population,30.8
2006,% of total,15 - 24,F,Active (Labour Force) as % of working age population,26.3
2006,% of total,25 - 49,F,Active (Labour Force) as % of working age population,50.0
2006,% of total,50 - 64,F,Active (Labour Force) as % of working age population,22.1
2006,% of total,65+,F,Active (Labour Force) as % of working age population,4.0
2006,% of total,15 - 64,F,Active (Labour Force) as % of working age population,37.4
2007,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.9
2007,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,33.4
2007,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,67.0
2007,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,38.9
2007,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,5.9
2007,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,52.2
2007,% of total,15+,M,Active (Labour Force) as % of working age population,57.7
2007,% of total,15 - 24,M,Active (Labour Force) as % of working age population,40.8
2007,% of total,25 - 49,M,Active (Labour Force) as % of working age population,84.0
2007,% of total,50 - 64,M,Active (Labour Force) as % of working age population,55.4
2007,% of total,65+,M,Active (Labour Force) as % of working age population,9.0
2007,% of total,15 - 64,M,Active (Labour Force) as % of working age population,67.0
2007,% of total,15+,F,Active (Labour Force) as % of working age population,31.0
2007,% of total,15 - 24,F,Active (Labour Force) as % of working age population,25.7
2007,% of total,25 - 49,F,Active (Labour Force) as % of working age population,50.2
