Year,UNIT_MEASURE,QUANTITY,Entity,Value
1997,Number,total_millions,BiH,3424
1998,Number,total_millions,BiH,3879
1999,Number,total_millions,BiH,4399
2000,Number,total_millions,BiH,4914
2001,Number,total_millions,BiH,5358
2002,Number,total_millions,BiH,5957
2003,Number,total_millions,BiH,6291
2004,Number,total_millions,BiH,6901
2005,Number,total_millions,BiH,9025
2006,Number,total_millions,BiH,10255
2007,Number,total_millions,BiH,11529
2008,Number,total_millions,BiH,13048
2009,Number,total_millions,BiH,12679
2010,Number,total_millions,BiH,12969
2011,Number,total_millions,BiH,13412
2012,Number,total_millions,BiH,13408
2013,Number,total_millions,BiH,13692
2014,Number,total_millions,BiH,13989
2015,Number,total_millions,BiH,14618
2016,Number,total_millions,BiH,15290
2017,Number,total_millions,BiH,16043
2018,Number,total_millions,BiH,17100
2019,Number,total_millions,BiH,18047
1997,Number,per_capita,BiH,912
1998,Number,per_capita,BiH,1062
1999,Number,per_capita,BiH,1181
2000,Number,per_capita,BiH,1300
2001,Number,per_capita,BiH,1411
2002,Number,per_capita,BiH,1556
2003,Number,per_capita,BiH,1642
2004,Number,per_capita,BiH,1796
2005,Number,per_capita,BiH,2548
2006,Number,per_capita,BiH,2895
2007,Number,per_capita,BiH,3255
2008,Number,per_capita,BiH,3684
2009,Number,per_capita,BiH,3581
2010,Number,per_capita,BiH,3664
2011,Number,per_capita,BiH,3791
2012,Number,per_capita,BiH,3793
2013,Number,per_capita,BiH,3878
2014,Number,per_capita,BiH,3967
2015,Number,per_capita,BiH,4155
2016,Number,per_capita,BiH,4355
2017,Number,per_capita,BiH,4578
2018,Number,per_capita,BiH,4891
2019,Number,per_capita,BiH,5178
