Year,UNIT_MEASURE,Sex,Age,Value
2006,%,Both sexes,15+,31.1
2006,%,Both sexes,15 - 24,62.3
2006,%,Both sexes,25 - 49,29.5
2006,%,Both sexes,50 - 64,16.4
2006,%,Both sexes,65+,0.0
2006,%,Both sexes,15 - 64,31.8
2006,%,M,15+,28.9
2006,%,M,15 - 24,60.2
2006,%,M,25 - 49,26.7
2006,%,M,50 - 64,17.1
2006,%,M,65+,0.0
2006,%,M,15 - 64,29.5
2006,%,F,15+,34.9
2006,%,F,15 - 24,65.7
2006,%,F,25 - 49,34.0
2006,%,F,50 - 64,15.2
2006,%,F,65+,0.0
2006,%,F,15 - 64,35.7
2006,%,Both sexes,15+,56.9
2006,%,Both sexes,15 - 24,66.6
2006,%,Both sexes,25 - 49,34.0
2006,%,Both sexes,50 - 64,63.4
2006,%,Both sexes,65+,94.3
2006,%,Both sexes,15 - 64,48.7
2006,%,M,15+,43.8
2006,%,M,15 - 24,59.9
2006,%,M,25 - 49,18.1
2006,%,M,50 - 64,46.6
2006,%,M,65+,92.0
2006,%,M,15 - 64,34.5
2006,%,F,15+,69.2
2006,%,F,15 - 24,73.7
2006,%,F,25 - 49,50.0
2006,%,F,50 - 64,77.9
2006,%,F,65+,96.0
2006,%,F,15 - 64,62.6
2007,%,Both sexes,15+,29.0
2007,%,Both sexes,15 - 24,58.4
2007,%,Both sexes,25 - 49,27.1
2007,%,Both sexes,50 - 64,17.8
2007,%,Both sexes,65+,0.0
2007,%,Both sexes,15 - 64,29.6
2007,%,M,15+,26.7
2007,%,M,15 - 24,55.6
2007,%,M,25 - 49,24.3
2007,%,M,50 - 64,18.4
2007,%,M,65+,0.0
2007,%,M,15 - 64,27.3
2007,%,F,15+,32.9
2007,%,F,15 - 24,63.1
2007,%,F,25 - 49,31.9
2007,%,F,50 - 64,16.6
2007,%,F,65+,0.0
2007,%,F,15 - 64,33.7
2007,%,Both sexes,15+,56.1
2007,%,Both sexes,15 - 24,66.6
2007,%,Both sexes,25 - 49,33.0
2007,%,Both sexes,50 - 64,61.1
2007,%,Both sexes,65+,94.1
2007,%,Both sexes,15 - 64,47.8
2007,%,M,15+,42.3
2007,%,M,15 - 24,59.2
2007,%,M,25 - 49,16.0
2007,%,M,50 - 64,44.6
2007,%,M,65+,91.0
2007,%,M,15 - 64,33.0
2007,%,F,15+,69.0
2007,%,F,15 - 24,74.3
2007,%,F,25 - 49,49.8
2007,%,F,50 - 64,76.3
2007,%,F,65+,96.4
2007,%,F,15 - 64,62.2
2008,%,Both sexes,15+,23.4
2008,%,Both sexes,15 - 24,47.5
2008,%,Both sexes,25 - 49,22.1
2008,%,Both sexes,50 - 64,15.2
2008,%,Both sexes,65+,0.0
2008,%,Both sexes,15 - 64,24.0
2008,%,M,15+,21.4
2008,%,M,15 - 24,44.8
2008,%,M,25 - 49,19.2
2008,%,M,50 - 64,16.3
2008,%,M,65+,0.0
2008,%,M,15 - 64,21.9
2008,%,F,15+,26.8
2008,%,F,15 - 24,52.3
