Year,UNIT_MEASURE,Sex,Age,Administrative area,Value
2013,Number,Both sexes,0,Federation of BiH,21718
2013,Number,Both sexes,1,Federation of BiH,22690
2013,Number,Both sexes,2,Federation of BiH,22691
2013,Number,Both sexes,3,Federation of BiH,23664
2013,Number,Both sexes,4,Federation of BiH,24080
2013,Number,Both sexes,5,Federation of BiH,23892
2013,Number,Both sexes,6,Federation of BiH,22901
2013,Number,Both sexes,7,Federation of BiH,22965
2013,Number,Both sexes,8,Federation of BiH,23147
2013,Number,Both sexes,9,Federation of BiH,23147
2013,Number,Both sexes,10,Federation of BiH,23884
2013,Number,Both sexes,11,Federation of BiH,24043
2013,Number,Both sexes,12,Federation of BiH,24989
2013,Number,Both sexes,13,Federation of BiH,25785
2013,Number,Both sexes,14,Federation of BiH,27352
2013,Number,Both sexes,15,Federation of BiH,30464
2013,Number,Both sexes,16,Federation of BiH,35091
2013,Number,Both sexes,17,Federation of BiH,35286
2013,Number,Both sexes,18,Federation of BiH,33903
2013,Number,Both sexes,19,Federation of BiH,27137
2013,Number,Both sexes,20,Federation of BiH,25325
2013,Number,Both sexes,21,Federation of BiH,29600
2013,Number,Both sexes,22,Federation of BiH,32119
2013,Number,Both sexes,23,Federation of BiH,31990
2013,Number,Both sexes,24,Federation of BiH,31868
2013,Number,Both sexes,25,Federation of BiH,32919
2013,Number,Both sexes,26,Federation of BiH,32539
2013,Number,Both sexes,27,Federation of BiH,32484
2013,Number,Both sexes,28,Federation of BiH,32610
2013,Number,Both sexes,29,Federation of BiH,33651
2013,Number,Both sexes,30,Federation of BiH,32390
2013,Number,Both sexes,31,Federation of BiH,32319
2013,Number,Both sexes,32,Federation of BiH,32749
2013,Number,Both sexes,33,Federation of BiH,31974
2013,Number,Both sexes,34,Federation of BiH,31556
2013,Number,Both sexes,35,Federation of BiH,31528
2013,Number,Both sexes,36,Federation of BiH,31538
2013,Number,Both sexes,37,Federation of BiH,32341
2013,Number,Both sexes,38,Federation of BiH,31321
2013,Number,Both sexes,39,Federation of BiH,30987
2013,Number,Both sexes,40,Federation of BiH,30584
2013,Number,Both sexes,41,Federation of BiH,31771
2013,Number,Both sexes,42,Federation of BiH,31017
2013,Number,Both sexes,43,Federation of BiH,29652
2013,Number,Both sexes,44,Federation of BiH,31806
2013,Number,Both sexes,45,Federation of BiH,32017
2013,Number,Both sexes,46,Federation of BiH,33018
2013,Number,Both sexes,47,Federation of BiH,33813
2013,Number,Both sexes,48,Federation of BiH,34178
2013,Number,Both sexes,49,Federation of BiH,34083
2013,Number,Both sexes,50,Federation of BiH,34340
2013,Number,Both sexes,51,Federation of BiH,35525
2013,Number,Both sexes,52,Federation of BiH,35006
2013,Number,Both sexes,53,Federation of BiH,34518
2013,Number,Both sexes,54,Federation of BiH,34607
2013,Number,Both sexes,55,Federation of BiH,32581
2013,Number,Both sexes,56,Federation of BiH,30906
2013,Number,Both sexes,57,Federation of BiH,31264
2013,Number,Both sexes,58,Federation of BiH,31461
2013,Number,Both sexes,59,Federation of BiH,29877
2013,Number,Both sexes,60,Federation of BiH,29631
2013,Number,Both sexes,61,Federation of BiH,26762
2013,Number,Both sexes,62,Federation of BiH,24438
2013,Number,Both sexes,63,Federation of BiH,24535
2013,Number,Both sexes,64,Federation of BiH,23247
2013,Number,Both sexes,65,Federation of BiH,20490
2013,Number,Both sexes,66,Federation of BiH,21656
2013,Number,Both sexes,67,Federation of BiH,16531
2013,Number,Both sexes,68,Federation of BiH,15234
2013,Number,Both sexes,69,Federation of BiH,14480
2013,Number,Both sexes,70,Federation of BiH,14562
2013,Number,Both sexes,71,Federation of BiH,16128
2013,Number,Both sexes,72,Federation of BiH,16725
2013,Number,Both sexes,73,Federation of BiH,17668
2013,Number,Both sexes,74,Federation of BiH,15940
2013,Number,Both sexes,75,Federation of BiH,15320
2013,Number,Both sexes,76,Federation of BiH,14194
2013,Number,Both sexes,77,Federation of BiH,13342
2013,Number,Both sexes,78,Federation of BiH,11991
2013,Number,Both sexes,79,Federation of BiH,10766
2013,Number,Both sexes,80,Federation of BiH,9117
2013,Number,Both sexes,81,Federation of BiH,8359
2013,Number,Both sexes,82,Federation of BiH,6844
2013,Number,Both sexes,83,Federation of BiH,6095
2013,Number,Both sexes,84,Federation of BiH,4812
2013,Number,Both sexes,85+,Federation of BiH,15692
2013,Number,Both sexes,Unknown,Federation of BiH,0
2013,Number,Both sexes,Total,Federation of BiH,2219220
2013,Number,M,0,Federation of BiH,11137
2013,Number,M,1,Federation of BiH,11702
2013,Number,M,2,Federation of BiH,11635
2013,Number,M,3,Federation of BiH,12190
2013,Number,M,4,Federation of BiH,12353
2013,Number,M,5,Federation of BiH,12274
2013,Number,M,6,Federation of BiH,11829
2013,Number,M,7,Federation of BiH,11750
2013,Number,M,8,Federation of BiH,11870
2013,Number,M,9,Federation of BiH,11910
2013,Number,M,10,Federation of BiH,12366
2013,Number,M,11,Federation of BiH,12362
2013,Number,M,12,Federation of BiH,12787
2013,Number,M,13,Federation of BiH,13148
