Year,UNIT_MEASURE,Municipality,Sex,AGE,Value
2013,Number,Banja Luka,Both sexes,Total,185042
2013,Number,Banja Luka,M,Total,89148
2013,Number,Banja Luka,F,Total,95894
2013,Number,Banovići,Both sexes,Total,22773
2013,Number,Banovići,M,Total,11392
2013,Number,Banovići,F,Total,11381
2013,Number,Berkovići,Both sexes,Total,2114
2013,Number,Berkovići,M,Total,1059
2013,Number,Berkovići,F,Total,1055
2013,Number,Bihać,Both sexes,Total,56261
2013,Number,Bihać,M,Total,27041
2013,Number,Bihać,F,Total,29220
2013,Number,Bijeljina,Both sexes,Total,107715
2013,Number,Bijeljina,M,Total,52827
2013,Number,Bijeljina,F,Total,54888
2013,Number,Bileća,Both sexes,Total,10807
2013,Number,Bileća,M,Total,5454
2013,Number,Bileća,F,Total,5353
2013,Number,Bosanska Krupa,Both sexes,Total,25545
2013,Number,Bosanska Krupa,M,Total,12548
2013,Number,Bosanska Krupa,F,Total,12997
2013,Number,Bosanski Petrovac,Both sexes,Total,7328
2013,Number,Bosanski Petrovac,M,Total,3678
2013,Number,Bosanski Petrovac,F,Total,3650
2013,Number,Bosansko Grahovo,Both sexes,Total,2449
2013,Number,Bosansko Grahovo,M,Total,1287
2013,Number,Bosansko Grahovo,F,Total,1162
2013,Number,Bratunac,Both sexes,Total,20340
2013,Number,Bratunac,M,Total,10091
2013,Number,Bratunac,F,Total,10249
2013,Number,Brčko,Both sexes,Total,83516
2013,Number,Brčko,M,Total,41250
2013,Number,Brčko,F,Total,42266
2013,Number,Breza,Both sexes,Total,14168
2013,Number,Breza,M,Total,6952
2013,Number,Breza,F,Total,7216
2013,Number,Brod,Both sexes,Total,16619
2013,Number,Brod,M,Total,8143
2013,Number,Brod,F,Total,8476
2013,Number,Bugojno,Both sexes,Total,31470
2013,Number,Bugojno,M,Total,15635
2013,Number,Bugojno,F,Total,15835
2013,Number,Busovača,Both sexes,Total,17910
2013,Number,Busovača,M,Total,9134
2013,Number,Busovača,F,Total,8776
2013,Number,Bužim,Both sexes,Total,19340
2013,Number,Bužim,M,Total,9885
2013,Number,Bužim,F,Total,9455
2013,Number,Cazin,Both sexes,Total,66149
2013,Number,Cazin,M,Total,33072
2013,Number,Cazin,F,Total,33077
2013,Number,Sarajevo - Centar,Both sexes,Total,55181
2013,Number,Sarajevo - Centar,M,Total,25369
2013,Number,Sarajevo - Centar,F,Total,29812
2013,Number,Čajniče,Both sexes,Total,4895
2013,Number,Čajniče,M,Total,2474
2013,Number,Čajniče,F,Total,2421
2013,Number,Čapljina,Both sexes,Total,26157
2013,Number,Čapljina,M,Total,12947
2013,Number,Čapljina,F,Total,13210
2013,Number,Čelić,Both sexes,Total,10502
2013,Number,Čelić,M,Total,5256
2013,Number,Čelić,F,Total,5246
2013,Number,Čelinac,Both sexes,Total,15548
2013,Number,Čelinac,M,Total,7728
2013,Number,Čelinac,F,Total,7820
2013,Number,Čitluk,Both sexes,Total,18140
2013,Number,Čitluk,M,Total,8937
2013,Number,Čitluk,F,Total,9203
2013,Number,Derventa,Both sexes,Total,27404
2013,Number,Derventa,M,Total,13397
2013,Number,Derventa,F,Total,14007
2013,Number,Doboj,Both sexes,Total,71441
2013,Number,Doboj,M,Total,34916
2013,Number,Doboj,F,Total,36525
2013,Number,Doboj-Istok,Both sexes,Total,10248
2013,Number,Doboj-Istok,M,Total,5061
2013,Number,Doboj-Istok,F,Total,5187
2013,Number,Doboj-Jug,Both sexes,Total,4137
2013,Number,Doboj-Jug,M,Total,2065
2013,Number,Doboj-Jug,F,Total,2072
2013,Number,Dobretići,Both sexes,Total,1629
2013,Number,Dobretići,M,Total,905
2013,Number,Dobretići,F,Total,724
2013,Number,Domaljevac-Šamac,Both sexes,Total,4771
2013,Number,Domaljevac-Šamac,M,Total,2373
2013,Number,Domaljevac-Šamac,F,Total,2398
2013,Number,Donji Vakuf,Both sexes,Total,13985
2013,Number,Donji Vakuf,M,Total,6922
2013,Number,Donji Vakuf,F,Total,7063
2013,Number,Donji Žabar,Both sexes,Total,3809
2013,Number,Donji Žabar,M,Total,1920
2013,Number,Donji Žabar,F,Total,1889
2013,Number,Drvar,Both sexes,Total,7036
2013,Number,Drvar,M,Total,3473
2013,Number,Drvar,F,Total,3563
2013,Number,Foča - FBiH,Both sexes,Total,1933
2013,Number,Foča - FBiH,M,Total,998
2013,Number,Foča - FBiH,F,Total,935
2013,Number,Foča - RS,Both sexes,Total,18288
2013,Number,Foča - RS,M,Total,9236
2013,Number,Foča - RS,F,Total,9052
2013,Number,Fojnica,Both sexes,Total,12356
2013,Number,Fojnica,M,Total,6197
2013,Number,Fojnica,F,Total,6159
2013,Number,Gacko,Both sexes,Total,8990
2013,Number,Gacko,M,Total,4556
2013,Number,Gacko,F,Total,4434
2013,Number,Glamoč,Both sexes,Total,3860
2013,Number,Glamoč,M,Total,1963
2013,Number,Glamoč,F,Total,1897
2013,Number,Goražde,Both sexes,Total,20897
2013,Number,Goražde,M,Total,10163
2013,Number,Goražde,F,Total,10734
2013,Number,Gornji Vakuf-Uskoplje,Both sexes,Total,20933
2013,Number,Gornji Vakuf-Uskoplje,M,Total,10532
2013,Number,Gornji Vakuf-Uskoplje,F,Total,10401
2013,Number,Gračanica,Both sexes,Total,45220
2013,Number,Gračanica,M,Total,21641
2013,Number,Gračanica,F,Total,23579
2013,Number,Gradačac,Both sexes,Total,39340
2013,Number,Gradačac,M,Total,19234
2013,Number,Gradačac,F,Total,20106
2013,Number,Gradiška,Both sexes,Total,51727
2013,Number,Gradiška,M,Total,25271
2013,Number,Gradiška,F,Total,26456
2013,Number,Grude,Both sexes,Total,17308
2013,Number,Grude,M,Total,8621
2013,Number,Grude,F,Total,8687
2013,Number,Sarajevo - Hadžići,Both sexes,Total,23891
2013,Number,Sarajevo - Hadžići,M,Total,11914
2013,Number,Sarajevo - Hadžići,F,Total,11977
2013,Number,Han Pijesak,Both sexes,Total,3530
2013,Number,Han Pijesak,M,Total,1667
2013,Number,Han Pijesak,F,Total,1863
2013,Number,Sarajevo - Ilidža,Both sexes,Total,66730
2013,Number,Sarajevo - Ilidža,M,Total,32359
2013,Number,Sarajevo - Ilidža,F,Total,34371
2013,Number,Sarajevo - Ilijaš,Both sexes,Total,19603
2013,Number,Sarajevo - Ilijaš,M,Total,9381
2013,Number,Sarajevo - Ilijaš,F,Total,10222
2013,Number,Istočna Ilidža,Both sexes,Total,14763
2013,Number,Istočna Ilidža,M,Total,7069
2013,Number,Istočna Ilidža,F,Total,7694
