Year,UNIT_MEASURE,Administrative area,Value
1965,Number of boys to 100 girls,BiH,107.61
1970,Number of boys to 100 girls,BiH,107.0
1975,Number of boys to 100 girls,BiH,106.91
1980,Number of boys to 100 girls,BiH,106.81
1988,Number of boys to 100 girls,BiH,107.9
1989,Number of boys to 100 girls,BiH,105.4
1990,Number of boys to 100 girls,BiH,106.56
1991,Number of boys to 100 girls,BiH,105.61
1996,Number of boys to 100 girls,BiH,109.92
1997,Number of boys to 100 girls,BiH,109.51
1998,Number of boys to 100 girls,BiH,108.54
1999,Number of boys to 100 girls,BiH,103.88
2000,Number of boys to 100 girls,BiH,106.53
2001,Number of boys to 100 girls,BiH,105.91
2002,Number of boys to 100 girls,BiH,105.82
2003,Number of boys to 100 girls,BiH,108.44
2004,Number of boys to 100 girls,BiH,106.55
2005,Number of boys to 100 girls,BiH,105.75
2006,Number of boys to 100 girls,BiH,106.44
2007,Number of boys to 100 girls,BiH,107.56
2008,Number of boys to 100 girls,BiH,105.99
2009,Number of boys to 100 girls,BiH,108.77
2010,Number of boys to 100 girls,BiH,106.31
2011,Number of boys to 100 girls,BiH,108.19
2012,Number of boys to 100 girls,BiH,106.56
2013,Number of boys to 100 girls,BiH,106.64
2014,Number of boys to 100 girls,BiH,106.31
2015,Number of boys to 100 girls,BiH,105.85
2016,Number of boys to 100 girls,BiH,108.63
2017,Number of boys to 100 girls,BiH,107.9
2018,Number of boys to 100 girls,BiH,107.53
2019,Number of boys to 100 girls,BiH,109.24
1997,Number of boys to 100 girls,Federation of BiH,109.9
1998,Number of boys to 100 girls,Federation of BiH,107.98
1999,Number of boys to 100 girls,Federation of BiH,103.79
2000,Number of boys to 100 girls,Federation of BiH,106.55
2001,Number of boys to 100 girls,Federation of BiH,105.79
2002,Number of boys to 100 girls,Federation of BiH,105.42
2003,Number of boys to 100 girls,Federation of BiH,109.0
2004,Number of boys to 100 girls,Federation of BiH,106.52
2005,Number of boys to 100 girls,Federation of BiH,106.01
2006,Number of boys to 100 girls,Federation of BiH,107.81
2007,Number of boys to 100 girls,Federation of BiH,108.36
2008,Number of boys to 100 girls,Federation of BiH,104.83
2009,Number of boys to 100 girls,Federation of BiH,107.6
2010,Number of boys to 100 girls,Federation of BiH,106.84
2011,Number of boys to 100 girls,Federation of BiH,107.83
2012,Number of boys to 100 girls,Federation of BiH,108.1
2013,Number of boys to 100 girls,Federation of BiH,106.53
2014,Number of boys to 100 girls,Federation of BiH,105.05
2015,Number of boys to 100 girls,Federation of BiH,104.33
2016,Number of boys to 100 girls,Federation of BiH,108.19
2017,Number of boys to 100 girls,Federation of BiH,107.0
2018,Number of boys to 100 girls,Federation of BiH,106.39
2019,Number of boys to 100 girls,Federation of BiH,107.66
1996,Number of boys to 100 girls,Republika Srpska,108.02
1997,Number of boys to 100 girls,Republika Srpska,109.04
1998,Number of boys to 100 girls,Republika Srpska,109.85
1999,Number of boys to 100 girls,Republika Srpska,104.05
2000,Number of boys to 100 girls,Republika Srpska,106.5
2001,Number of boys to 100 girls,Republika Srpska,106.12
2002,Number of boys to 100 girls,Republika Srpska,106.6
2003,Number of boys to 100 girls,Republika Srpska,107.14
2004,Number of boys to 100 girls,Republika Srpska,107.86
2005,Number of boys to 100 girls,Republika Srpska,105.62
2006,Number of boys to 100 girls,Republika Srpska,103.44
2007,Number of boys to 100 girls,Republika Srpska,106.03
2008,Number of boys to 100 girls,Republika Srpska,106.6
2009,Number of boys to 100 girls,Republika Srpska,110.96
2010,Number of boys to 100 girls,Republika Srpska,104.45
2011,Number of boys to 100 girls,Republika Srpska,109.99
2012,Number of boys to 100 girls,Republika Srpska,104.09
2013,Number of boys to 100 girls,Republika Srpska,106.6
2014,Number of boys to 100 girls,Republika Srpska,107.95
2015,Number of boys to 100 girls,Republika Srpska,107.24
2016,Number of boys to 100 girls,Republika Srpska,109.07
2017,Number of boys to 100 girls,Republika Srpska,109.72
2018,Number of boys to 100 girls,Republika Srpska,109.5
2019,Number of boys to 100 girls,Republika Srpska,112.37
2002,Number of boys to 100 girls,Brčko District of BiH,129.67
2003,Number of boys to 100 girls,Brčko District of BiH,103.09
2004,Number of boys to 100 girls,Brčko District of BiH,91.07
2005,Number of boys to 100 girls,Brčko District of BiH,107.43
2006,Number of boys to 100 girls,Brčko District of BiH,111.11
2007,Number of boys to 100 girls,Brčko District of BiH,106.78
2008,Number of boys to 100 girls,Brčko District of BiH,129.7
2009,Number of boys to 100 girls,Brčko District of BiH,113.5
2010,Number of boys to 100 girls,Brčko District of BiH,114.02
2011,Number of boys to 100 girls,Brčko District of BiH,98.03
2012,Number of boys to 100 girls,Brčko District of BiH,99.59
2013,Number of boys to 100 girls,Brčko District of BiH,113.33
2014,Number of boys to 100 girls,Brčko District of BiH,118.81
2015,Number of boys to 100 girls,Brčko District of BiH,122.97
2016,Number of boys to 100 girls,Brčko District of BiH,116.26
2017,Number of boys to 100 girls,Brčko District of BiH,110.8
2018,Number of boys to 100 girls,Brčko District of BiH,108.47
2019,Number of boys to 100 girls,Brčko District of BiH,102.93
