Year,UNIT_MEASURE,Administrative area,Unit of measurement,Sex,Value
1971,%,BiH,Total support ratio,Both sexes,65.4
1971,%,BiH,Total support ratio,M,67.9
1971,%,BiH,Total support ratio,F,63.0
1981,%,BiH,Total support ratio,Both sexes,52.3
1981,%,BiH,Total support ratio,M,53.0
1981,%,BiH,Total support ratio,F,51.6
1991,%,BiH,Total support ratio,Both sexes,48.3
1991,%,BiH,Total support ratio,M,46.8
1991,%,BiH,Total support ratio,F,49.7
2013,%,BiH,Total support ratio,Both sexes,42.1
2013,%,BiH,Total support ratio,M,39.2
2013,%,BiH,Total support ratio,F,44.9
1971,%,BiH,Young-age support ratio,Both sexes,57.0
1971,%,BiH,Young-age support ratio,M,60.2
1971,%,BiH,Young-age support ratio,F,53.9
1981,%,BiH,Young-age support ratio,Both sexes,42.5
1981,%,BiH,Young-age support ratio,M,44.5
1981,%,BiH,Young-age support ratio,F,40.6
1991,%,BiH,Young-age support ratio,Both sexes,35.6
1991,%,BiH,Young-age support ratio,M,36.6
1991,%,BiH,Young-age support ratio,F,34.6
2013,%,BiH,Young-age support ratio,Both sexes,21.9
2013,%,BiH,Young-age support ratio,M,22.4
2013,%,BiH,Young-age support ratio,F,21.3
1971,%,BiH,Old-age support ratio,Both sexes,8.4
1971,%,BiH,Old-age support ratio,M,7.7
1971,%,BiH,Old-age support ratio,F,9.1
1981,%,BiH,Old-age support ratio,Both sexes,9.8
1981,%,BiH,Old-age support ratio,M,8.5
1981,%,BiH,Old-age support ratio,F,11.0
1991,%,BiH,Old-age support ratio,Both sexes,12.7
1991,%,BiH,Old-age support ratio,M,10.1
1991,%,BiH,Old-age support ratio,F,15.2
2013,%,BiH,Old-age support ratio,Both sexes,20.2
2013,%,BiH,Old-age support ratio,M,16.8
2013,%,BiH,Old-age support ratio,F,23.6
1971,%,BiH,Older persons to youth ratio,Both sexes,14.8
1971,%,BiH,Older persons to youth ratio,M,12.8
1971,%,BiH,Older persons to youth ratio,F,16.9
1981,%,BiH,Older persons to youth ratio,Both sexes,23.1
1981,%,BiH,Older persons to youth ratio,M,19.2
1981,%,BiH,Older persons to youth ratio,F,27.2
1991,%,BiH,Older persons to youth ratio,Both sexes,35.6
1991,%,BiH,Older persons to youth ratio,M,27.7
1991,%,BiH,Older persons to youth ratio,F,43.8
2013,%,BiH,Older persons to youth ratio,Both sexes,92.3
2013,%,BiH,Older persons to youth ratio,M,75.0
2013,%,BiH,Older persons to youth ratio,F,110.6
2013,%,Federation of BiH,Total support ratio,Both sexes,40.8
2013,%,Federation of BiH,Total support ratio,M,38.4
2013,%,Federation of BiH,Total support ratio,F,43.1
2013,%,Federation of BiH,Young-age support ratio,Both sexes,22.6
2013,%,Federation of BiH,Young-age support ratio,M,23.3
2013,%,Federation of BiH,Young-age support ratio,F,22.0
2013,%,Federation of BiH,Old-age support ratio,Both sexes,18.1
2013,%,Federation of BiH,Old-age support ratio,M,15.1
2013,%,Federation of BiH,Old-age support ratio,F,21.1
2013,%,Federation of BiH,Older persons to youth ratio,Both sexes,80.1
2013,%,Federation of BiH,Older persons to youth ratio,M,65.0
2013,%,Federation of BiH,Older persons to youth ratio,F,96.1
2013,%,Republika Srpska,Total support ratio,Both sexes,44.4
2013,%,Republika Srpska,Total support ratio,M,40.6
2013,%,Republika Srpska,Total support ratio,F,48.2
2013,%,Republika Srpska,Young-age support ratio,Both sexes,20.4
2013,%,Republika Srpska,Young-age support ratio,M,20.8
2013,%,Republika Srpska,Young-age support ratio,F,20.1
2013,%,Republika Srpska,Old-age support ratio,Both sexes,24.0
2013,%,Republika Srpska,Old-age support ratio,M,19.8
2013,%,Republika Srpska,Old-age support ratio,F,28.2
2013,%,Republika Srpska,Older persons to youth ratio,Both sexes,117.4
2013,%,Republika Srpska,Older persons to youth ratio,M,95.6
2013,%,Republika Srpska,Older persons to youth ratio,F,140.3
2013,%,Brčko District of BiH,Total support ratio,Both sexes,43.3
2013,%,Brčko District of BiH,Total support ratio,M,40.6
2013,%,Brčko District of BiH,Total support ratio,F,46.0
2013,%,Brčko District of BiH,Young-age support ratio,Both sexes,22.4
2013,%,Brčko District of BiH,Young-age support ratio,M,23.3
2013,%,Brčko District of BiH,Young-age support ratio,F,21.6
2013,%,Brčko District of BiH,Old-age support ratio,Both sexes,20.8
2013,%,Brčko District of BiH,Old-age support ratio,M,17.3
2013,%,Brčko District of BiH,Old-age support ratio,F,24.4
2013,%,Brčko District of BiH,Older persons to youth ratio,Both sexes,92.8
2013,%,Brčko District of BiH,Older persons to youth ratio,M,74.5
2013,%,Brčko District of BiH,Older persons to youth ratio,F,112.7
