Year,Sex,UNIT_MEASURE,Value
1996,Both sexes,Number,653
1997,Both sexes,Number,601
1998,Both sexes,Number,494
1999,Both sexes,Number,431
2000,Both sexes,Number,383
2001,Both sexes,Number,287
2002,Both sexes,Number,334
2003,Both sexes,Number,268
2004,Both sexes,Number,253
2005,Both sexes,Number,233
2006,Both sexes,Number,255
2007,Both sexes,Number,231
2008,Both sexes,Number,235
2009,Both sexes,Number,224
2010,Both sexes,Number,216
2011,Both sexes,Number,184
2012,Both sexes,Number,177
2013,Both sexes,Number,181
2014,Both sexes,Number,156
2015,Both sexes,Number,182
2016,Both sexes,Number,178
2017,Both sexes,Number,196
2018,Both sexes,Number,183
2019,Both sexes,Number,190
1996,M,Number,360
1997,M,Number,369
1998,M,Number,302
1999,M,Number,242
2000,M,Number,220
2001,M,Number,159
2002,M,Number,191
2003,M,Number,154
2004,M,Number,151
2005,M,Number,133
2006,M,Number,158
2007,M,Number,132
2008,M,Number,131
2009,M,Number,116
2010,M,Number,125
2011,M,Number,111
2012,M,Number,111
2013,M,Number,109
2014,M,Number,74
2015,M,Number,94
2016,M,Number,111
2017,M,Number,105
2018,M,Number,91
2019,M,Number,102
1996,F,Number,293
1997,F,Number,232
1998,F,Number,192
1999,F,Number,189
2000,F,Number,163
2001,F,Number,128
2002,F,Number,143
2003,F,Number,114
2004,F,Number,102
2005,F,Number,100
2006,F,Number,97
2007,F,Number,99
2008,F,Number,104
2009,F,Number,108
2010,F,Number,91
2011,F,Number,73
2012,F,Number,66
2013,F,Number,72
2014,F,Number,82
2015,F,Number,88
2016,F,Number,67
2017,F,Number,91
2018,F,Number,92
2019,F,Number,88
