Year,UNIT_MEASURE,Sex,Administrative area,Value
1996,Number per 1000 live births,Both sexes,BiH,5.82
1997,Number per 1000 live births,Both sexes,BiH,4.96
1998,Number per 1000 live births,Both sexes,BiH,4.49
1999,Number per 1000 live births,Both sexes,BiH,5.28
2000,Number per 1000 live births,Both sexes,BiH,4.02
2001,Number per 1000 live births,Both sexes,BiH,5.12
2002,Number per 1000 live births,Both sexes,BiH,3.88
2003,Number per 1000 live births,Both sexes,BiH,4.26
2004,Number per 1000 live births,Both sexes,BiH,4.78
2005,Number per 1000 live births,Both sexes,BiH,4.25
2006,Number per 1000 live births,Both sexes,BiH,4.03
2007,Number per 1000 live births,Both sexes,BiH,5.14
2008,Number per 1000 live births,Both sexes,BiH,5.0
2009,Number per 1000 live births,Both sexes,BiH,3.94
2010,Number per 1000 live births,Both sexes,BiH,4.27
2011,Number per 1000 live births,Both sexes,BiH,3.71
2012,Number per 1000 live births,Both sexes,BiH,3.69
2013,Number per 1000 live births,Both sexes,BiH,3.32
2014,Number per 1000 live births,Both sexes,BiH,2.54
2015,Number per 1000 live births,Both sexes,BiH,3.83
2016,Number per 1000 live births,Both sexes,BiH,3.64
2017,Number per 1000 live births,Both sexes,BiH,3.41
2018,Number per 1000 live births,Both sexes,BiH,2.99
2019,Number per 1000 live births,Both sexes,BiH,2.89
1997,Number per 1000 live births,Both sexes,Federation of BiH,4.87
1998,Number per 1000 live births,Both sexes,Federation of BiH,4.64
1999,Number per 1000 live births,Both sexes,Federation of BiH,5.51
2000,Number per 1000 live births,Both sexes,Federation of BiH,4.22
2001,Number per 1000 live births,Both sexes,Federation of BiH,4.83
2002,Number per 1000 live births,Both sexes,Federation of BiH,4.21
2003,Number per 1000 live births,Both sexes,Federation of BiH,4.7
2004,Number per 1000 live births,Both sexes,Federation of BiH,5.53
2005,Number per 1000 live births,Both sexes,Federation of BiH,5.02
2006,Number per 1000 live births,Both sexes,Federation of BiH,4.86
2007,Number per 1000 live births,Both sexes,Federation of BiH,5.99
2008,Number per 1000 live births,Both sexes,Federation of BiH,5.63
2009,Number per 1000 live births,Both sexes,Federation of BiH,3.93
2010,Number per 1000 live births,Both sexes,Federation of BiH,3.8
2011,Number per 1000 live births,Both sexes,Federation of BiH,3.58
2012,Number per 1000 live births,Both sexes,Federation of BiH,3.17
2013,Number per 1000 live births,Both sexes,Federation of BiH,2.98
2014,Number per 1000 live births,Both sexes,Federation of BiH,2.67
2015,Number per 1000 live births,Both sexes,Federation of BiH,5.01
2016,Number per 1000 live births,Both sexes,Federation of BiH,4.83
2017,Number per 1000 live births,Both sexes,Federation of BiH,4.24
2018,Number per 1000 live births,Both sexes,Federation of BiH,3.6
2019,Number per 1000 live births,Both sexes,Federation of BiH,3.83
1997,Number per 1000 live births,Both sexes,Republika Srpska,5.6
1998,Number per 1000 live births,Both sexes,Republika Srpska,4.14
1999,Number per 1000 live births,Both sexes,Republika Srpska,4.83
2000,Number per 1000 live births,Both sexes,Republika Srpska,3.66
2001,Number per 1000 live births,Both sexes,Republika Srpska,5.62
2002,Number per 1000 live births,Both sexes,Republika Srpska,3.24
2003,Number per 1000 live births,Both sexes,Republika Srpska,3.51
2004,Number per 1000 live births,Both sexes,Republika Srpska,3.29
2005,Number per 1000 live births,Both sexes,Republika Srpska,3.88
2006,Number per 1000 live births,Both sexes,Republika Srpska,2.57
2007,Number per 1000 live births,Both sexes,Republika Srpska,3.86
2008,Number per 1000 live births,Both sexes,Republika Srpska,3.33
2009,Number per 1000 live births,Both sexes,Republika Srpska,3.02
2010,Number per 1000 live births,Both sexes,Republika Srpska,4.04
2011,Number per 1000 live births,Both sexes,Republika Srpska,3.03
2012,Number per 1000 live births,Both sexes,Republika Srpska,3.81
2013,Number per 1000 live births,Both sexes,Republika Srpska,3.89
2014,Number per 1000 live births,Both sexes,Republika Srpska,2.36
2015,Number per 1000 live births,Both sexes,Republika Srpska,1.82
2016,Number per 1000 live births,Both sexes,Republika Srpska,1.59
2017,Number per 1000 live births,Both sexes,Republika Srpska,1.82
2018,Number per 1000 live births,Both sexes,Republika Srpska,1.88
2019,Number per 1000 live births,Both sexes,Republika Srpska,1.4
2004,Number per 1000 live births,Both sexes,Brčko District of BiH,10.2
2005,Number per 1000 live births,Both sexes,Brčko District of BiH,11.3
2006,Number per 1000 live births,Both sexes,Brčko District of BiH,5.5
2007,Number per 1000 live births,Both sexes,Brčko District of BiH,4.1
2008,Number per 1000 live births,Both sexes,Brčko District of BiH,8.8
2009,Number per 1000 live births,Both sexes,Brčko District of BiH,12.9
2010,Number per 1000 live births,Both sexes,Brčko District of BiH,16.4
2011,Number per 1000 live births,Both sexes,Brčko District of BiH,12.2
2012,Number per 1000 live births,Both sexes,Brčko District of BiH,13.5
2013,Number per 1000 live births,Both sexes,Brčko District of BiH,4.5
2014,Number per 1000 live births,Both sexes,Brčko District of BiH,2.2
