Year,Sex,Administrative area,UNIT_MEASURE,Value
1996,M,BiH,Age,27.7
1997,M,BiH,Age,28.0
1998,M,BiH,Age,27.9
1999,M,BiH,Age,27.8
2000,M,BiH,Age,27.8
2001,M,BiH,Age,27.8
2002,M,BiH,Age,27.8
2003,M,BiH,Age,28.1
2004,M,BiH,Age,28.0
2005,M,BiH,Age,28.1
2006,M,BiH,Age,28.3
2007,M,BiH,Age,28.3
2008,M,BiH,Age,28.3
2009,M,BiH,Age,28.3
2010,M,BiH,Age,28.9
2011,M,BiH,Age,29.1
2012,M,BiH,Age,29.3
2013,M,BiH,Age,29.6
2014,M,BiH,Age,29.6
2015,M,BiH,Age,29.5
2016,M,BiH,Age,29.4
2017,M,BiH,Age,29.5
2018,M,BiH,Age,29.7
2019,M,BiH,Age,29.5
1996,F,BiH,Age,24.2
1997,F,BiH,Age,24.3
1998,F,BiH,Age,24.3
1999,F,BiH,Age,24.3
2000,F,BiH,Age,24.2
2001,F,BiH,Age,24.2
2002,F,BiH,Age,24.3
2003,F,BiH,Age,24.6
2004,F,BiH,Age,24.5
2005,F,BiH,Age,24.6
2006,F,BiH,Age,24.9
2007,F,BiH,Age,24.9
2008,F,BiH,Age,24.9
2009,F,BiH,Age,24.8
2010,F,BiH,Age,25.7
2011,F,BiH,Age,25.9
2012,F,BiH,Age,26.1
2013,F,BiH,Age,26.4
2014,F,BiH,Age,26.4
2015,F,BiH,Age,26.4
2016,F,BiH,Age,26.4
2017,F,BiH,Age,26.6
2018,F,BiH,Age,27.1
2019,F,BiH,Age,26.8
1996,M,Federation of BiH,Age,27.7
1997,M,Federation of BiH,Age,27.4
1998,M,Federation of BiH,Age,27.4
1999,M,Federation of BiH,Age,27.5
2000,M,Federation of BiH,Age,27.6
2001,M,Federation of BiH,Age,27.6
2002,M,Federation of BiH,Age,27.7
2003,M,Federation of BiH,Age,27.7
2004,M,Federation of BiH,Age,27.8
2005,M,Federation of BiH,Age,27.8
2006,M,Federation of BiH,Age,27.9
2007,M,Federation of BiH,Age,27.9
2008,M,Federation of BiH,Age,28.1
2009,M,Federation of BiH,Age,28.1
2010,M,Federation of BiH,Age,28.6
2011,M,Federation of BiH,Age,28.1
2012,M,Federation of BiH,Age,28.4
2013,M,Federation of BiH,Age,28.3
2014,M,Federation of BiH,Age,28.3
2015,M,Federation of BiH,Age,28.5
2016,M,Federation of BiH,Age,28.3
2017,M,Federation of BiH,Age,28.3
2018,M,Federation of BiH,Age,28.5
2019,M,Federation of BiH,Age,28.3
1996,F,Federation of BiH,Age,24.4
1997,F,Federation of BiH,Age,23.8
1998,F,Federation of BiH,Age,24.4
1999,F,Federation of BiH,Age,24.2
2000,F,Federation of BiH,Age,23.9
2001,F,Federation of BiH,Age,24.0
2002,F,Federation of BiH,Age,24.1
2003,F,Federation of BiH,Age,24.2
2004,F,Federation of BiH,Age,24.2
2005,F,Federation of BiH,Age,24.3
2006,F,Federation of BiH,Age,24.3
2007,F,Federation of BiH,Age,24.5
2008,F,Federation of BiH,Age,24.6
2009,F,Federation of BiH,Age,24.8
2010,F,Federation of BiH,Age,24.9
2011,F,Federation of BiH,Age,25.0
2012,F,Federation of BiH,Age,25.2
2013,F,Federation of BiH,Age,25.5
2014,F,Federation of BiH,Age,25.2
2015,F,Federation of BiH,Age,25.5
2016,F,Federation of BiH,Age,25.4
2017,F,Federation of BiH,Age,25.5
2018,F,Federation of BiH,Age,25.8
2019,F,Federation of BiH,Age,25.7
1998,M,Republika Srpska,Age,28.6
