Year,UNIT_MEASURE,Entity,Value
1971,%,BiH,22.2
1981,%,BiH,23.0
2004,%,BiH,24.34
2005,%,BiH,24.41
2006,%,BiH,24.51
2007,%,BiH,24.76
2008,%,BiH,24.94
2009,%,BiH,25.25
2010,%,BiH,25.87
2011,%,BiH,26.25
2012,%,BiH,26.45
2013,%,BiH,26.69
2014,%,BiH,26.97
2015,%,BiH,27.17
2016,%,BiH,26.96
2017,%,BiH,27.28
2018,%,BiH,27.4
2019,%,BiH,27.68
1996,%,FBIH,23.6
1997,%,FBIH,23.5
1998,%,FBIH,23.9
1999,%,FBIH,24.2
2000,%,FBIH,24.2
2001,%,FBIH,24.2
2002,%,FBIH,24.2
2003,%,FBIH,24.3
2004,%,FBIH,24.5
2005,%,FBIH,24.5
2006,%,FBIH,24.6
2007,%,FBIH,24.8
2008,%,FBIH,24.9
2009,%,FBIH,25.1
2010,%,FBIH,25.4
2011,%,FBIH,25.6
2012,%,FBIH,25.7
2013,%,FBIH,26.05
2014,%,FBIH,26.2
2015,%,FBIH,26.4
2016,%,FBIH,26.3
2017,%,FBIH,26.7
2018,%,FBIH,26.7
2019,%,FBIH,26.8
1998,%,RS,23.8
1999,%,RS,24.4
2000,%,RS,24.6
2001,%,RS,24.2
2002,%,RS,24.6
2003,%,RS,23.7
2004,%,RS,24.6
2005,%,RS,24.9
2006,%,RS,25.0
2007,%,RS,25.0
2008,%,RS,25.4
2009,%,RS,25.6
2010,%,RS,25.9
2011,%,RS,26.3
2012,%,RS,26.4
2013,%,RS,26.75
2014,%,RS,26.9
2015,%,RS,27.2
2016,%,RS,26.9
2017,%,RS,27.3
2018,%,RS,27.6
2019,%,RS,27.8
2008,%,BD,25.08
2009,%,BD,25.49
2010,%,BD,25.79
2012,%,BD,26.71
2013,%,BD,26.55
2014,%,BD,26.15
2015,%,BD,27.01
2017,%,BD,27.48
2018,%,BD,27.63
2019,%,BD,27.5
