Year,UNIT_MEASURE,Value
1971,Number per 1000 population,9.4
1981,Number per 1000 population,8.9
1991,Number per 1000 population,6.5
1996,Number per 1000 population,5.8
1997,Number per 1000 population,6.2
1998,Number per 1000 population,6.1
1999,Number per 1000 population,6.0
2000,Number per 1000 population,5.8
2001,Number per 1000 population,5.3
2002,Number per 1000 population,5.3
2003,Number per 1000 population,5.4
2004,Number per 1000 population,5.8
2005,Number per 1000 population,5.6
2006,Number per 1000 population,5.6
2007,Number per 1000 population,6.12
2008,Number per 1000 population,5.77
2009,Number per 1000 population,5.37
2010,Number per 1000 population,5.08
2011,Number per 1000 population,4.99
2012,Number per 1000 population,4.75
2013,Number per 1000 population,5.0
2014,Number per 1000 population,5.3
2015,Number per 1000 population,5.6
2016,Number per 1000 population,5.5
2017,Number per 1000 population,5.7
2018,Number per 1000 population,5.7
2019,Number per 1000 population,5.4
