Year,UNIT_MEASURE,Sex,Entity,Births,Value
1997,Number,Male,Federation of BiH,Live birth,17961
1998,Number,Male,Federation of BiH,Live birth,16344
1999,Number,Male,Federation of BiH,Live birth,14242
2000,Number,Male,Federation of BiH,Live birth,13088
2001,Number,Male,Federation of BiH,Live birth,12347
2002,Number,Male,Federation of BiH,Live birth,11932
2003,Number,Male,Federation of BiH,Live birth,12083
2004,Number,Male,Federation of BiH,Live birth,11476
2005,Number,Male,Federation of BiH,Live birth,11287
2006,Number,Male,Federation of BiH,Live birth,11207
2007,Number,Male,Federation of BiH,Live birth,11293
2008,Number,Male,Federation of BiH,Live birth,11730
2009,Number,Male,Federation of BiH,Live birth,11876
2010,Number,Male,Federation of BiH,Live birth,11561
2011,Number,Male,Federation of BiH,Live birth,11014
2012,Number,Male,Federation of BiH,Live birth,11154
2013,Number,Male,Federation of BiH,Live birth,10391
2014,Number,Male,Federation of BiH,Live birth,10185
2015,Number,Male,Federation of BiH,Live birth,9884
2016,Number,Male,Federation of BiH,Live birth,10214
2017,Number,Male,Federation of BiH,Live birth,10247
2018,Number,Male,Federation of BiH,Live birth,9742
2019,Number,Male,Federation of BiH,Live birth,9342
1997,Number,Female,Federation of BiH,Live birth,16343
1998,Number,Female,Federation of BiH,Live birth,15136
1999,Number,Female,Federation of BiH,Live birth,13722
2000,Number,Female,Federation of BiH,Live birth,12284
2001,Number,Female,Federation of BiH,Live birth,11671
2002,Number,Female,Federation of BiH,Live birth,11319
2003,Number,Female,Federation of BiH,Live birth,11085
2004,Number,Female,Federation of BiH,Live birth,10774
2005,Number,Female,Federation of BiH,Live birth,10647
2006,Number,Female,Federation of BiH,Live birth,10395
2007,Number,Female,Federation of BiH,Live birth,10422
2008,Number,Female,Federation of BiH,Live birth,11190
2009,Number,Female,Federation of BiH,Live birth,11037
2010,Number,Female,Federation of BiH,Live birth,10821
2011,Number,Female,Federation of BiH,Live birth,10214
2012,Number,Female,Federation of BiH,Live birth,10318
2013,Number,Female,Federation of BiH,Live birth,9754
2014,Number,Female,Federation of BiH,Live birth,9695
2015,Number,Female,Federation of BiH,Live birth,9474
2016,Number,Female,Federation of BiH,Live birth,9441
2017,Number,Female,Federation of BiH,Live birth,9577
2018,Number,Female,Federation of BiH,Live birth,9157
2019,Number,Female,Federation of BiH,Live birth,8677
1997,Number,Both sexes,Federation of BiH,Deaths,14703
1998,Number,Both sexes,Federation of BiH,Deaths,15311
1999,Number,Both sexes,Federation of BiH,Deaths,15516
2000,Number,Both sexes,Federation of BiH,Deaths,16985
2001,Number,Both sexes,Federation of BiH,Deaths,16756
2002,Number,Both sexes,Federation of BiH,Deaths,16988
2003,Number,Both sexes,Federation of BiH,Deaths,18049
2004,Number,Both sexes,Federation of BiH,Deaths,18122
2005,Number,Both sexes,Federation of BiH,Deaths,19099
2006,Number,Both sexes,Federation of BiH,Deaths,18497
2007,Number,Both sexes,Federation of BiH,Deaths,19280
2008,Number,Both sexes,Federation of BiH,Deaths,19306
2009,Number,Both sexes,Federation of BiH,Deaths,19829
2010,Number,Both sexes,Federation of BiH,Deaths,20256
2011,Number,Both sexes,Federation of BiH,Deaths,19979
2012,Number,Both sexes,Federation of BiH,Deaths,20621
2013,Number,Both sexes,Federation of BiH,Deaths,20269
2014,Number,Both sexes,Federation of BiH,Deaths,20030
2015,Number,Both sexes,Federation of BiH,Deaths,21474
2016,Number,Both sexes,Federation of BiH,Deaths,21105
2017,Number,Both sexes,Federation of BiH,Deaths,21689
2018,Number,Both sexes,Federation of BiH,Deaths,21442
2019,Number,Both sexes,Federation of BiH,Deaths,22024
1997,Number,Male,Federation of BiH,Natural change,7908
1998,Number,Male,Federation of BiH,Natural change,8216
1999,Number,Male,Federation of BiH,Natural change,8194
2000,Number,Male,Federation of BiH,Natural change,8917
2001,Number,Male,Federation of BiH,Natural change,8830
2002,Number,Male,Federation of BiH,Natural change,8757
2003,Number,Male,Federation of BiH,Natural change,9344
2004,Number,Male,Federation of BiH,Natural change,9258
2005,Number,Male,Federation of BiH,Natural change,9934
2006,Number,Male,Federation of BiH,Natural change,9538
2007,Number,Male,Federation of BiH,Natural change,9921
