Year,Sex,Vital statistics,UNIT_MEASURE,Value
2020,Both sexes,Live births,Number,29511
2020,Both sexes,Deaths,Number,37517
2020,Both sexes,Natural change,Number,-8006
2025,Both sexes,Live births,Number,26090
2025,Both sexes,Deaths,Number,39013
2025,Both sexes,Natural change,Number,-12924
2030,Both sexes,Live births,Number,22815
2030,Both sexes,Deaths,Number,40539
2030,Both sexes,Natural change,Number,-17724
2035,Both sexes,Live births,Number,20041
2035,Both sexes,Deaths,Number,42144
2035,Both sexes,Natural change,Number,-22103
2040,Both sexes,Live births,Number,18095
2040,Both sexes,Deaths,Number,43514
2040,Both sexes,Natural change,Number,-25419
2045,Both sexes,Live births,Number,16461
2045,Both sexes,Deaths,Number,44097
2045,Both sexes,Natural change,Number,-27635
2050,Both sexes,Live births,Number,14955
2050,Both sexes,Deaths,Number,43537
2050,Both sexes,Natural change,Number,-28582
2055,Both sexes,Live births,Number,13510
2055,Both sexes,Deaths,Number,42130
2055,Both sexes,Natural change,Number,-28620
2060,Both sexes,Live births,Number,12120
2060,Both sexes,Deaths,Number,40129
2060,Both sexes,Natural change,Number,-28009
2065,Both sexes,Live births,Number,10861
2065,Both sexes,Deaths,Number,37783
2065,Both sexes,Natural change,Number,-26921
2070,Both sexes,Live births,Number,9813
2070,Both sexes,Deaths,Number,35279
2070,Both sexes,Natural change,Number,-25466
2020,M,Live births,Number,15198
2020,M,Deaths,Number,19067
2020,M,Natural change,Number,-3869
2025,M,Live births,Number,13436
2025,M,Deaths,Number,19749
2025,M,Natural change,Number,-6313
2030,M,Live births,Number,11750
2030,M,Deaths,Number,20416
2030,M,Natural change,Number,-8666
2035,M,Live births,Number,10321
2035,M,Deaths,Number,21110
2035,M,Natural change,Number,-10788
2040,M,Live births,Number,9319
2040,M,Deaths,Number,21636
2040,M,Natural change,Number,-12317
2045,M,Live births,Number,84778
2045,M,Deaths,Number,21687
2045,M,Natural change,Number,-13210
2050,M,Live births,Number,7702
2050,M,Deaths,Number,21195
2050,M,Natural change,Number,-13493
2055,M,Live births,Number,6958
2055,M,Deaths,Number,20338
2055,M,Natural change,Number,-13181
2060,M,Live births,Number,6242
2060,M,Deaths,Number,19208
2060,M,Natural change,Number,-12966
2065,M,Live births,Number,5593
2065,M,Deaths,Number,17838
2065,M,Natural change,Number,-12245
2070,M,Live births,Number,5054
2070,M,Deaths,Number,16376
2070,M,Natural change,Number,-11322
2020,F,Live births,Number,14313
2020,F,Deaths,Number,18449
2020,F,Natural change,Number,-4137
2025,F,Live births,Number,12653
2025,F,Deaths,Number,19264
2025,F,Natural change,Number,-6610
2030,F,Live births,Number,11065
2030,F,Deaths,Number,20123
2030,F,Natural change,Number,-9058
2035,F,Live births,Number,9720
2035,F,Deaths,Number,21034
2035,F,Natural change,Number,-11314
2040,F,Live births,Number,8776
2040,F,Deaths,Number,21878
2040,F,Natural change,Number,-13102
2045,F,Live births,Number,7984
2045,F,Deaths,Number,22409
2045,F,Natural change,Number,-14426
2050,F,Live births,Number,7253
2050,F,Deaths,Number,22342
2050,F,Natural change,Number,-15088
2055,F,Live births,Number,6552
2055,F,Deaths,Number,21792
2055,F,Natural change,Number,-15239
2060,F,Live births,Number,5878
2060,F,Deaths,Number,20921
2060,F,Natural change,Number,-15043
2065,F,Live births,Number,5268
2065,F,Deaths,Number,19944
2065,F,Natural change,Number,-14677
2070,F,Live births,Number,4760
2070,F,Deaths,Number,18904
2070,F,Natural change,Number,-14144
