Year,Administrative area,UNIT_MEASURE,Value
1971,BiH,Number per 1000 population,9.4
1981,BiH,Number per 1000 population,8.9
1991,BiH,Number per 1000 population,6.5
1996,BiH,Number per 1000 population,5.8
1997,BiH,Number per 1000 population,6.2
1998,BiH,Number per 1000 population,6.1
1999,BiH,Number per 1000 population,6.0
2000,BiH,Number per 1000 population,5.8
2001,BiH,Number per 1000 population,5.3
2002,BiH,Number per 1000 population,5.3
2003,BiH,Number per 1000 population,5.4
2004,BiH,Number per 1000 population,5.8
2005,BiH,Number per 1000 population,5.6
2006,BiH,Number per 1000 population,5.6
2007,BiH,Number per 1000 population,6.12
2008,BiH,Number per 1000 population,5.77
2009,BiH,Number per 1000 population,5.37
2010,BiH,Number per 1000 population,5.08
2011,BiH,Number per 1000 population,4.99
2012,BiH,Number per 1000 population,4.75
2013,BiH,Number per 1000 population,5.0
2014,BiH,Number per 1000 population,5.3
2015,BiH,Number per 1000 population,5.6
2016,BiH,Number per 1000 population,5.5
2017,BiH,Number per 1000 population,5.7
2018,BiH,Number per 1000 population,5.7
2019,BiH,Number per 1000 population,5.4
1996,Federation of BiH,Number per 1000 population,6.5
1997,Federation of BiH,Number per 1000 population,6.8
1998,Federation of BiH,Number per 1000 population,6.7
1999,Federation of BiH,Number per 1000 population,6.3
2000,Federation of BiH,Number per 1000 population,6.0
2001,Federation of BiH,Number per 1000 population,5.5
2002,Federation of BiH,Number per 1000 population,5.6
2003,Federation of BiH,Number per 1000 population,5.6
2004,Federation of BiH,Number per 1000 population,5.9
2005,Federation of BiH,Number per 1000 population,5.8
2006,Federation of BiH,Number per 1000 population,5.6
2007,Federation of BiH,Number per 1000 population,6.4
2008,Federation of BiH,Number per 1000 population,6.4
2009,Federation of BiH,Number per 1000 population,5.9
2010,Federation of BiH,Number per 1000 population,5.6
2011,Federation of BiH,Number per 1000 population,5.4
2012,Federation of BiH,Number per 1000 population,5.2
2013,Federation of BiH,Number per 1000 population,4.9
2014,Federation of BiH,Number per 1000 population,5.4
2015,Federation of BiH,Number per 1000 population,5.9
2016,Federation of BiH,Number per 1000 population,5.8
2017,Federation of BiH,Number per 1000 population,5.9
2018,Federation of BiH,Number per 1000 population,5.9
2019,Federation of BiH,Number per 1000 population,5.6
1996,Republika Srpska,Number per 1000 population,5.2
1997,Republika Srpska,Number per 1000 population,5.8
1998,Republika Srpska,Number per 1000 population,6.0
1999,Republika Srpska,Number per 1000 population,6.6
2000,Republika Srpska,Number per 1000 population,6.4
2001,Republika Srpska,Number per 1000 population,6.0
2002,Republika Srpska,Number per 1000 population,6.1
2003,Republika Srpska,Number per 1000 population,5.7
2004,Republika Srpska,Number per 1000 population,6.0
2005,Republika Srpska,Number per 1000 population,5.7
2006,Republika Srpska,Number per 1000 population,5.8
2007,Republika Srpska,Number per 1000 population,6.0
2008,Republika Srpska,Number per 1000 population,5.43
2009,Republika Srpska,Number per 1000 population,5.2
2010,Republika Srpska,Number per 1000 population,4.9
2011,Republika Srpska,Number per 1000 population,4.94
2012,Republika Srpska,Number per 1000 population,4.54
2013,Republika Srpska,Number per 1000 population,4.67
2014,Republika Srpska,Number per 1000 population,4.99
2015,Republika Srpska,Number per 1000 population,5.07
2016,Republika Srpska,Number per 1000 population,4.81
2017,Republika Srpska,Number per 1000 population,5.2
2018,Republika Srpska,Number per 1000 population,5.2
2019,Republika Srpska,Number per 1000 population,5.1
2006,Brčko District of BiH,Number per 1000 population,8.9
2007,Brčko District of BiH,Number per 1000 population,9.41
2008,Brčko District of BiH,Number per 1000 population,8.98
2009,Brčko District of BiH,Number per 1000 population,8.85
2010,Brčko District of BiH,Number per 1000 population,8.2
2011,Brčko District of BiH,Number per 1000 population,8.1
2012,Brčko District of BiH,Number per 1000 population,9.29
2013,Brčko District of BiH,Number per 1000 population,7.5
2014,Brčko District of BiH,Number per 1000 population,7.9
2015,Brčko District of BiH,Number per 1000 population,8.0
2016,Brčko District of BiH,Number per 1000 population,7.8
2017,Brčko District of BiH,Number per 1000 population,8.6
2018,Brčko District of BiH,Number per 1000 population,8.0
2019,Brčko District of BiH,Number per 1000 population,8.5
