Year,UNIT_MEASURE,Administrative area,Value
1971,Number,BiH,88.2
1981,Number,BiH,93.3
1991,Number,BiH,56.3
1997,Number,BiH,79.0
1998,Number,BiH,87.7
1999,Number,BiH,88.8
2000,Number,BiH,88.1
2001,Number,BiH,104.7
2002,Number,BiH,112.9
2003,Number,BiH,92.5
2004,Number,BiH,68.4
2005,Number,BiH,81.3
2006,Number,BiH,77.2
2007,Number,BiH,77.7
2008,Number,BiH,61.8
2009,Number,BiH,68.0
2010,Number,BiH,85.8
2011,Number,BiH,120.5
2012,Number,BiH,125.8
2013,Number,BiH,148.1
2014,Number,BiH,144.1
2015,Number,BiH,150.5
2016,Number,BiH,143.9
2017,Number,BiH,151.3
2018,Number,BiH,155.2
2019,Number,BiH,147.2
1996,Number,Federation of BiH,25.7
1997,Number,Federation of BiH,68.4
1998,Number,Federation of BiH,77.9
1999,Number,Federation of BiH,84.1
2000,Number,Federation of BiH,84.9
2001,Number,Federation of BiH,100.8
2002,Number,Federation of BiH,110.5
2003,Number,Federation of BiH,89.6
2004,Number,Federation of BiH,62.6
2005,Number,Federation of BiH,70.9
2006,Number,Federation of BiH,71.7
2007,Number,Federation of BiH,69.6
2008,Number,Federation of BiH,62.9
2009,Number,Federation of BiH,58.9
2010,Number,Federation of BiH,76.5
2011,Number,Federation of BiH,97.0
2012,Number,Federation of BiH,97.5
2013,Number,Federation of BiH,119.8
2014,Number,Federation of BiH,110.2
2015,Number,Federation of BiH,115.8
2016,Number,Federation of BiH,113.0
2017,Number,Federation of BiH,132.8
2018,Number,Federation of BiH,139.6
2019,Number,Federation of BiH,136.4
1997,Number,Republika Srpska,95.1
1998,Number,Republika Srpska,102.1
1999,Number,Republika Srpska,93.5
2000,Number,Republika Srpska,92.6
2001,Number,Republika Srpska,115.6
2002,Number,Republika Srpska,117.2
2003,Number,Republika Srpska,109.9
2004,Number,Republika Srpska,89.2
2005,Number,Republika Srpska,105.9
2006,Number,Republika Srpska,76.7
2007,Number,Republika Srpska,84.0
2008,Number,Republika Srpska,49.5
2009,Number,Republika Srpska,74.2
2010,Number,Republika Srpska,89.6
2011,Number,Republika Srpska,152.7
2012,Number,Republika Srpska,164.9
2013,Number,Republika Srpska,192.4
2014,Number,Republika Srpska,189.9
2015,Number,Republika Srpska,193.9
2016,Number,Republika Srpska,184.3
2017,Number,Republika Srpska,165.4
2018,Number,Republika Srpska,161.4
2019,Number,Republika Srpska,158.0
2002,Number,Brčko District of BiH,90.1
2003,Number,Brčko District of BiH,122.1
2004,Number,Brčko District of BiH,122.8
2005,Number,Brčko District of BiH,127.1
2006,Number,Brčko District of BiH,135.2
2007,Number,Brčko District of BiH,132.0
2008,Number,Brčko District of BiH,120.6
2009,Number,Brčko District of BiH,207.5
2010,Number,Brčko District of BiH,249.2
2011,Number,Brčko District of BiH,324.6
2012,Number,Brčko District of BiH,335.7
2013,Number,Brčko District of BiH,307.1
2014,Number,Brčko District of BiH,378.6
2015,Number,Brčko District of BiH,464.2
2016,Number,Brčko District of BiH,442.6
2017,Number,Brčko District of BiH,410.9
2018,Number,Brčko District of BiH,471.5
2019,Number,Brčko District of BiH,312.2
