Year,Sex,UNIT_MEASURE,AGE,Value
2018,Both sexes,Number,0-14,497180.0
2020,Both sexes,Number,0-14,481568.97
2025,Both sexes,Number,0-14,431830.78
2030,Both sexes,Number,0-14,387729.98
2035,Both sexes,Number,0-14,344309.29
2040,Both sexes,Number,0-14,303587.05
2045,Both sexes,Number,0-14,270802.94
2050,Both sexes,Number,0-14,244640.93
2055,Both sexes,Number,0-14,222081.03
2060,Both sexes,Number,0-14,200955.32
2065,Both sexes,Number,0-14,180995.02
2070,Both sexes,Number,0-14,162692.44
2018,Both sexes,Number,0-18,647325.0
2020,Both sexes,Number,0-18,623310.55
2025,Both sexes,Number,0-18,571030.0
2030,Both sexes,Number,0-18,506903.59
2035,Both sexes,Number,0-18,453686.83
2040,Both sexes,Number,0-18,402365.82
2045,Both sexes,Number,0-18,357437.99
2050,Both sexes,Number,0-18,320688.38
2055,Both sexes,Number,0-18,290210.23
2060,Both sexes,Number,0-18,262861.39
2065,Both sexes,Number,0-18,237217.08
2070,Both sexes,Number,0-18,213571.73
2018,Both sexes,Number,15-29,658923.0
2020,Both sexes,Number,15-29,606202.92
2025,Both sexes,Number,15-29,517262.57
2030,Both sexes,Number,15-29,444703.74
2035,Both sexes,Number,15-29,405293.76
2040,Both sexes,Number,15-29,363520.19
2045,Both sexes,Number,15-29,326012.29
2050,Both sexes,Number,15-29,289214.33
2055,Both sexes,Number,15-29,255609.91
2060,Both sexes,Number,15-29,228472.78
2065,Both sexes,Number,15-29,206440.46
2070,Both sexes,Number,15-29,187234.58
2018,Both sexes,Number,15-49,1649854.0
2020,Both sexes,Number,15-49,1575631.46
2025,Both sexes,Number,15-49,1400844.72
2030,Both sexes,Number,15-49,1227493.74
2035,Both sexes,Number,15-49,1063929.66
2040,Both sexes,Number,15-49,923577.29
2045,Both sexes,Number,15-49,809832.21
2050,Both sexes,Number,15-49,710380.99
2055,Both sexes,Number,15-49,638614.77
2060,Both sexes,Number,15-49,570314.83
2065,Both sexes,Number,15-49,512018.32
2070,Both sexes,Number,15-49,459650.09
2018,Both sexes,Number,15-64,2419572.0
2020,Both sexes,Number,15-64,2331831.29
2025,Both sexes,Number,15-64,2123420.75
2030,Both sexes,Number,15-64,1910609.19
2035,Both sexes,Number,15-64,1723436.46
2040,Both sexes,Number,15-64,1544265.21
2045,Both sexes,Number,15-64,1366178.85
2050,Both sexes,Number,15-64,1194230.17
2055,Both sexes,Number,15-64,1042604.93
2060,Both sexes,Number,15-64,919671.89
2065,Both sexes,Number,15-64,814036.99
2070,Both sexes,Number,15-64,735002.04
2018,Both sexes,Number,65+,575271.0
2020,Both sexes,Number,65+,616916.09
2025,Both sexes,Number,65+,714274.93
2030,Both sexes,Number,65+,798744.71
2035,Both sexes,Number,65+,844514.24
2040,Both sexes,Number,65+,870105.47
2045,Both sexes,Number,65+,881481.04
2050,Both sexes,Number,65+,879829.57
2055,Both sexes,Number,65+,858716.24
2060,Both sexes,Number,65+,814773.12
2065,Both sexes,Number,65+,761748.18
2070,Both sexes,Number,65+,691220.43
2018,Both sexes,Number,75+,230811.0
2020,Both sexes,Number,75+,232410.25
2025,Both sexes,Number,75+,275801.96
2030,Both sexes,Number,75+,340437.69
2035,Both sexes,Number,75+,405790.51
2040,Both sexes,Number,75+,458096.91
2045,Both sexes,Number,75+,479053.69
2050,Both sexes,Number,75+,489104.03
2055,Both sexes,Number,75+,495291.75
2060,Both sexes,Number,75+,497337.89
2065,Both sexes,Number,75+,487328.42
2070,Both sexes,Number,75+,460524.61
2018,Both sexes,Number,85+,41569.0
2020,Both sexes,Number,85+,49351.73
2025,Both sexes,Number,85+,68864.72
2030,Both sexes,Number,85+,72099.33
2035,Both sexes,Number,85+,94464.7
2040,Both sexes,Number,85+,126452.43
2045,Both sexes,Number,85+,156124.3
2050,Both sexes,Number,85+,178471.74
2055,Both sexes,Number,85+,185804.72
2060,Both sexes,Number,85+,192120.16
2065,Both sexes,Number,85+,199612.12
2070,Both sexes,Number,85+,205803.27
2018,Both sexes,Number,100+,233.0
2020,Both sexes,Number,100+,178.44
2025,Both sexes,Number,100+,215.96
2030,Both sexes,Number,100+,528.31
2035,Both sexes,Number,100+,1041.92
2040,Both sexes,Number,100+,1732.61
2045,Both sexes,Number,100+,1918.25
2050,Both sexes,Number,100+,3403.87
2055,Both sexes,Number,100+,5248.42
2060,Both sexes,Number,100+,7004.18
2065,Both sexes,Number,100+,8500.65
2070,Both sexes,Number,100+,9150.97
2018,Both sexes,%,0-14,14.24
2020,Both sexes,%,0-14,14.04
2025,Both sexes,%,0-14,13.21
2030,Both sexes,%,0-14,12.52
2035,Both sexes,%,0-14,11.82
2040,Both sexes,%,0-14,11.17
2045,Both sexes,%,0-14,10.75
2050,Both sexes,%,0-14,10.55
2055,Both sexes,%,0-14,10.46
2060,Both sexes,%,0-14,10.38
2065,Both sexes,%,0-14,10.3
2070,Both sexes,%,0-14,10.24
2018,Both sexes,%,0-18,18.54
2020,Both sexes,%,0-18,18.17
2025,Both sexes,%,0-18,17.47
2030,Both sexes,%,0-18,16.37
2035,Both sexes,%,0-18,15.58
2040,Both sexes,%,0-18,14.8
2045,Both sexes,%,0-18,14.19
2050,Both sexes,%,0-18,13.83
2055,Both sexes,%,0-18,13.67
2060,Both sexes,%,0-18,13.58
2065,Both sexes,%,0-18,13.5
2070,Both sexes,%,0-18,13.44
2018,Both sexes,%,15-29,18.87
2020,Both sexes,%,15-29,17.67
2025,Both sexes,%,15-29,15.82
2030,Both sexes,%,15-29,14.36
2035,Both sexes,%,15-29,13.92
2040,Both sexes,%,15-29,13.37
2045,Both sexes,%,15-29,12.94
2050,Both sexes,%,15-29,12.47
2055,Both sexes,%,15-29,12.04
2060,Both sexes,%,15-29,11.8
2065,Both sexes,%,15-29,11.75
2070,Both sexes,%,15-29,11.78
2018,Both sexes,%,15-49,47.25
2020,Both sexes,%,15-49,45.93
2025,Both sexes,%,15-49,42.85
2030,Both sexes,%,15-49,39.63
2035,Both sexes,%,15-49,36.53
2040,Both sexes,%,15-49,33.98
2045,Both sexes,%,15-49,32.16
2050,Both sexes,%,15-49,30.64
2055,Both sexes,%,15-49,30.08
2060,Both sexes,%,15-49,29.47
2065,Both sexes,%,15-49,29.15
2070,Both sexes,%,15-49,28.93
2018,Both sexes,%,15-64,69.29
2020,Both sexes,%,15-64,67.98
2025,Both sexes,%,15-64,64.95
2030,Both sexes,%,15-64,61.69
2035,Both sexes,%,15-64,59.18
2040,Both sexes,%,15-64,56.82
2045,Both sexes,%,15-64,54.25
2050,Both sexes,%,15-64,51.5
2055,Both sexes,%,15-64,49.1
2060,Both sexes,%,15-64,47.52
2065,Both sexes,%,15-64,46.34
2070,Both sexes,%,15-64,46.26
2018,Both sexes,%,65+,16.47
2020,Both sexes,%,65+,17.98
2025,Both sexes,%,65+,21.85
2030,Both sexes,%,65+,25.79
2035,Both sexes,%,65+,29.0
2040,Both sexes,%,65+,32.01
2045,Both sexes,%,65+,35.0
2050,Both sexes,%,65+,37.94
2055,Both sexes,%,65+,40.44
