Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,1981,M,0-4,-186494
2021,1981,M,5-9,-192284
2021,1981,M,10-14,-201313
2021,1981,M,15-19,-222406
2021,1981,M,20-24,-211100
2021,1981,M,25-29,-184730
2021,1981,M,30-34,-150178
2021,1981,M,35-39,-107411
2021,1981,M,40-44,-138850
2021,1981,M,45-49,-133616
2021,1981,M,50-54,-112499
2021,1981,M,55-59,-63861
2021,1981,M,60-64,-35365
2021,1981,M,65-69,-37922
2021,1981,M,70-74,-34744
2021,1981,M,75+,-33300
2021,1981,M,Unknown,-32435
2021,1991,M,0-4,-170535
2021,1991,M,5-9,-177988
2021,1991,M,10-14,-177932
2021,1991,M,15-19,-185292
2021,1991,M,20-24,-188724
2021,1991,M,25-29,-194041
2021,1991,M,30-34,-186643
2021,1991,M,35-39,-172024
2021,1991,M,40-44,-139433
2021,1991,M,45-49,-98993
2021,1991,M,50-54,-125380
2021,1991,M,55-59,-116919
2021,1991,M,60-64,-92924
2021,1991,M,65-69,-48102
2021,1991,M,70-74,-22893
2021,1991,M,75+,-37257
2021,1991,M,Unknown,-37117
2021,1981,F,0-4,178838
2021,1981,F,5-9,183481
2021,1981,F,10-14,191711
2021,1981,F,15-19,210898
2021,1981,F,20-24,193651
2021,1981,F,25-29,173043
2021,1981,F,30-34,144324
2021,1981,F,35-39,109307
2021,1981,F,40-44,141287
2021,1981,F,45-49,134041
2021,1981,F,50-54,118016
2021,1981,F,55-59,90513
2021,1981,F,60-64,54766
2021,1981,F,65-69,54352
2021,1981,F,70-74,42853
2021,1981,F,75+,47195
2021,1981,F,Unknown,46275
2021,1991,F,0-4,161887
2021,1991,F,5-9,169391
2021,1991,F,10-14,169658
2021,1991,F,15-19,174716
2021,1991,F,20-24,171267
2021,1991,F,25-29,177735
2021,1991,F,30-34,175211
2021,1991,F,35-39,162545
2021,1991,F,40-44,136979
2021,1991,F,45-49,102172
2021,1991,F,50-54,132002
2021,1991,F,55-59,124092
2021,1991,F,60-64,105723
2021,1991,F,65-69,76650
2021,1991,F,70-74,40029
2021,1991,F,75+,59434
2021,1991,F,Unknown,59291
