Year,Cause of death (as per ICD-10 codes),UNIT_MEASURE,Sex,Value
1999,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,4591
1999,(I00-I99) Diseases of the circulatory system,Number,Both sexes,15911
1999,(J00-J99) Diseases of the respiratory system,Number,Both sexes,866
1999,(K00-K93) Diseases of the digestive system,Number,Both sexes,709
1999,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2552
1999,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1022
1999,Total,Number,Both sexes,25651
1999,"(C00-C97,D00-D48) Neoplasms",Number,M,2752
1999,(I00-I99) Diseases of the circulatory system,Number,M,77
1999,(J00-J99) Diseases of the respiratory system,Number,M,498
1999,(K00-K93) Diseases of the digestive system,Number,M,445
1999,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1347
1999,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,786
1999,Total,Number,M,13528
1999,"(C00-C97,D00-D48) Neoplasms",Number,F,1839
1999,(I00-I99) Diseases of the circulatory system,Number,F,8211
1999,(J00-J99) Diseases of the respiratory system,Number,F,368
1999,(K00-K93) Diseases of the digestive system,Number,F,264
1999,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1205
1999,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,236
1999,Total,Number,F,12123
2000,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,5122
2000,(I00-I99) Diseases of the circulatory system,Number,Both sexes,16283
2000,(J00-J99) Diseases of the respiratory system,Number,Both sexes,805
2000,(K00-K93) Diseases of the digestive system,Number,Both sexes,848
2000,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2860
2000,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1091
2000,Total,Number,Both sexes,27009
2000,"(C00-C97,D00-D48) Neoplasms",Number,M,3144
2000,(I00-I99) Diseases of the circulatory system,Number,M,781
