Year,Cause of death (as per ICD-10 codes),UNIT_MEASURE,Value
1996,Estimated number of population,Number,3645000.0
1997,Estimated number of population,Number,3738000.0
1998,Estimated number of population,Number,3653000.0
1999,Estimated number of population,Number,3725000.0
1999,"(C00-C97,D00-D48) Neoplasms",Number,123.0
1999,(I00-I99) Diseases of the circulatory system,Number,427.0
1999,(J00-J99) Diseases of the respiratory system,Number,23.24832215
1999,(K00-K93) Diseases of the digestive system,Number,19.0
1999,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,68.51006711
1999,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,27.43624161
2000,Estimated number of population,Number,3781000.0
2000,"(C00-C97,D00-D48) Neoplasms",Number,135.0
2000,(I00-I99) Diseases of the circulatory system,Number,431.0
2000,(J00-J99) Diseases of the respiratory system,Number,21.29066385
2000,(K00-K93) Diseases of the digestive system,Number,22.0
2000,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,75.64136472
2000,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,28.85480032
2001,Estimated number of population,Number,3798000.0
2000,(A00-B99) Infectious and parasitic diseases,Number,6.766719326
2000,"(C00-C97,D00-D48) Neoplasms",Number,141.0
2000,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,0.526592944
2000,(E00-E90) Endocrine metabolic and nutritional diseases,Number,18.0
2000,(F00-F99) Mental and behavioural disorders,Number,1.263823065
2000,(G00-G99) Diseases of the nervous system,Number,4.0
2000,"(H00-H93) Diseases of the eye, ear and adnexa",Number,0.026329647
2000,(I00-I99) Diseases of the circulatory system,Number,430.0
2000,(J00-J99) Diseases of the respiratory system,Number,19.61558715
2000,(K00-K93) Diseases of the digestive system,Number,22.0
2000,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,0.447604002
2000,(N00-N99) Diseases of the genitourinary system,Number,10.45286993
2000,(P00-P96) Certain conditions originating in the perinatal period,Number,4.94997367
2000,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,1.132174829
2000,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,79.80516061
2000,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,26.77725118
2000,(V01-Y98) External causes of mortality,Number,6.872037915
2000,(Z00-Z99) Factors influencing health status and contract with health services,Number,0.026329647
2000,Unknown,Number,25.11848341
2002,Estimated number of population,Number,3828000.0
2002,(A00-B99) Infectious and parasitic diseases,Number,6.870428422
2002,"(C00-C97,D00-D48) Neoplasms",Number,138.0
2002,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,0.496342738
2002,(E00-E90) Endocrine metabolic and nutritional diseases,Number,23.0
2002,(F00-F99) Mental and behavioural disorders,Number,1.724137931
2002,(G00-G99) Diseases of the nervous system,Number,4.0
2002,"(H00-H93) Diseases of the eye, ear and adnexa",Number,0.026123302
2002,(I00-I99) Diseases of the circulatory system,Number,418.0
