Year,UNIT_MEASURE,End of the school year,Sex,Value
2013,Number,2010/2011,Both sexes,50567
2013,Number,2011/2012,Both sexes,41834
2013,Number,2012/2013,Both sexes,33672
2013,Number,2013/2014,Both sexes,36993
2013,Number,2014/2015,Both sexes,36434
2013,Number,2015/2016,Both sexes,36126
2013,Number,2016/2017,Both sexes,35694
2013,Number,2017/2018,Both sexes,32144
2013,Number,2018/2019,Both sexes,31728
2013,Number,2019/2020,Both sexes,30463
2013,Number,2010/2011,M,25977
2013,Number,2011/2012,M,21761
2013,Number,2012/2013,M,17181
2013,Number,2013/2014,M,18730
2013,Number,2014/2015,M,18662
2013,Number,2015/2016,M,18441
2013,Number,2016/2017,M,18266
2013,Number,2017/2018,M,16159
2013,Number,2018/2019,M,16244
2013,Number,2019/2020,M,15564
2013,Number,2010/2011,F,24590
2013,Number,2011/2012,F,20073
2013,Number,2012/2013,F,16491
2013,Number,2013/2014,F,18263
2013,Number,2014/2015,F,17772
2013,Number,2015/2016,F,17685
2013,Number,2016/2017,F,17428
2013,Number,2017/2018,F,15985
2013,Number,2018/2019,F,15484
2013,Number,2019/2020,F,14899
