Year,UNIT_MEASURE,Begininng of the school year,Sex,Value
2013,Number,2011/2012,Both sexes,12773
2013,Number,2012/2013,Both sexes,13043
2013,Number,2013/2014,Both sexes,13037
2013,Number,2014/2015,Both sexes,12774
2013,Number,2015/2016,Both sexes,12859
2013,Number,2016/2017,Both sexes,12652
2013,Number,2017/2018,Both sexes,12591
2013,Number,2018/2019,Both sexes,12551
2013,Number,2019/2020,Both sexes,12716
2013,Number,2020/2021,Both sexes,12735
2013,Number,2011/2012,M,5413
2013,Number,2012/2013,M,5404
2013,Number,2013/2014,M,5350
2013,Number,2014/2015,M,5172
2013,Number,2015/2016,M,5163
2013,Number,2016/2017,M,4999
2013,Number,2017/2018,M,4870
2013,Number,2018/2019,M,4815
2013,Number,2019/2020,M,4888
2013,Number,2020/2021,M,4814
2013,Number,2011/2012,F,7360
2013,Number,2012/2013,F,7639
2013,Number,2013/2014,F,7687
2013,Number,2014/2015,F,7602
2013,Number,2015/2016,F,7696
2013,Number,2016/2017,F,7653
2013,Number,2017/2018,F,7721
2013,Number,2018/2019,F,7736
2013,Number,2019/2020,F,7828
2013,Number,2020/2021,F,7921
