Year,UNIT_MEASURE,QUANTITY,Entity,Value
1997,Number,total_millions,BiH,"6,752"
1998,Number,total_millions,BiH,"7,650"
1999,Number,total_millions,BiH,"8,604"
2000,Number,total_millions,BiH,"9,611"
2001,Number,total_millions,BiH,"10,480"
2002,Number,total_millions,BiH,"11,651"
2003,Number,total_millions,BiH,"12,303"
2004,Number,total_millions,BiH,"13,497"
2005,Number,total_millions,BiH,"17,649"
2006,Number,total_millions,BiH,"20,056"
2007,Number,total_millions,BiH,"22,548"
2008,Number,total_millions,BiH,"25,519"
2009,Number,total_millions,BiH,"24,799"
2010,Number,total_millions,BiH,"25,365"
2011,Number,total_millions,BiH,"26,231"
2012,Number,total_millions,BiH,"26,223"
2013,Number,total_millions,BiH,"26,779"
2014,Number,total_millions,BiH,"27,358"
2015,Number,total_millions,BiH,"28,589"
2016,Number,total_millions,BiH,"29,905"
2017,Number,total_millions,BiH,"31,377"
2018,Number,total_millions,BiH,"33,445"
2019,Number,total_millions,BiH,"35,295"
1997,Number,total_millions,Federation of BiH,4943.00
1998,Number,total_millions,Federation of BiH,5606.00
1999,Number,total_millions,Federation of BiH,6142.00
2000,Number,total_millions,Federation of BiH,6723.00
2001,Number,total_millions,Federation of BiH,7274.00
2002,Number,total_millions,Federation of BiH,7943.00
2003,Number,total_millions,Federation of BiH,8268.00
2004,Number,total_millions,Federation of BiH,8897.00
2005,Number,total_millions,Federation of BiH,11506.00
2006,Number,total_millions,Federation of BiH,13036.00
2007,Number,total_millions,Federation of BiH,14629.00
2008,Number,total_millions,Federation of BiH,16426.00
2009,Number,total_millions,Federation of BiH,15987.00
2010,Number,total_millions,Federation of BiH,16461.00
2011,Number,total_millions,Federation of BiH,16927.00
2012,Number,total_millions,Federation of BiH,17013.00
2013,Number,total_millions,Federation of BiH,17379.00
2014,Number,total_millions,Federation of BiH,17827.00
2015,Number,total_millions,Federation of BiH,18688.00
2016,Number,total_millions,Federation of BiH,19540.00
2017,Number,total_millions,Federation of BiH,20540.00
2018,Number,total_millions,Federation of BiH,21984.00
2019,Number,total_millions,Federation of BiH,23179.00
1997,Number,total_millions,Republika Srpska,1809.00
1998,Number,total_millions,Republika Srpska,2044.00
