Year,POVERTY_RATE,UNIT_MEASURE,Entity,Value
2004,households_in_poverty,_%,BiH,18.1
2007,households_in_poverty,_%,BiH,18.4
2011,households_in_poverty,_%,BiH,17.2
2015,households_in_poverty,_%,BiH,16.5
2004,households_in_poverty,_%,FBIH,18.3
2007,households_in_poverty,_%,FBIH,16.3
2011,households_in_poverty,_%,FBIH,16.0
2015,households_in_poverty,_%,FBIH,16.0
2004,households_in_poverty,_%,RS,18.3
2007,households_in_poverty,_%,RS,21.7
2011,households_in_poverty,_%,RS,19.6
2015,households_in_poverty,_%,RS,17.4
2004,households_in_poverty,_%,BD,7.8
2007,households_in_poverty,_%,BD,23.6
2011,households_in_poverty,_%,BD,12.2
2015,households_in_poverty,_%,BD,15.9
