Year,UNIT_MEASURE,Spol,Godine,Value
1971,Broj,Oba spola,0,78188
1971,Broj,Oba spola,1,78436
1971,Broj,Oba spola,2,79185
1971,Broj,Oba spola,3,83244
1971,Broj,Oba spola,4,86452
1971,Broj,Oba spola,5,87769
1971,Broj,Oba spola,6,87799
1971,Broj,Oba spola,7,88629
1971,Broj,Oba spola,8,88698
1971,Broj,Oba spola,9,89770
1971,Broj,Oba spola,10,91769
1971,Broj,Oba spola,11,88438
1971,Broj,Oba spola,12,91254
1971,Broj,Oba spola,13,84816
1971,Broj,Oba spola,14,85922
1971,Broj,Oba spola,15,85979
1971,Broj,Oba spola,16,90521
1971,Broj,Oba spola,17,81829
1971,Broj,Oba spola,18,86722
1971,Broj,Oba spola,19,66336
1971,Broj,Oba spola,20,72810
1971,Broj,Oba spola,21,69228
1971,Broj,Oba spola,22,61911
1971,Broj,Oba spola,23,57263
1971,Broj,Oba spola,24,58105
1971,Broj,Oba spola,25,43515
1971,Broj,Oba spola,26,42568
1971,Broj,Oba spola,27,42705
1971,Broj,Oba spola,28,45326
1971,Broj,Oba spola,29,51613
1971,Broj,Oba spola,30,55927
1971,Broj,Oba spola,31,58757
1971,Broj,Oba spola,32,56737
1971,Broj,Oba spola,33,59159
1971,Broj,Oba spola,34,59230
1971,Broj,Oba spola,35,59449
1971,Broj,Oba spola,36,58439
1971,Broj,Oba spola,37,57138
1971,Broj,Oba spola,38,54962
1971,Broj,Oba spola,39,50494
1971,Broj,Oba spola,40,53335
1971,Broj,Oba spola,41,51482
1971,Broj,Oba spola,42,51670
1971,Broj,Oba spola,43,45131
1971,Broj,Oba spola,44,41398
1971,Broj,Oba spola,45,38430
1971,Broj,Oba spola,46,34889
1971,Broj,Oba spola,47,32616
1971,Broj,Oba spola,48,32560
1971,Broj,Oba spola,49,27746
1971,Broj,Oba spola,50,31304
1971,Broj,Oba spola,51,27640
1971,Broj,Oba spola,52,16290
1971,Broj,Oba spola,53,13739
1971,Broj,Oba spola,54,12867
1971,Broj,Oba spola,55,17033
1971,Broj,Oba spola,56,26007
1971,Broj,Oba spola,57,23600
1971,Broj,Oba spola,58,25741
1971,Broj,Oba spola,59,22248
1971,Broj,Oba spola,60,27390
1971,Broj,Oba spola,61,23213
