Year,UNIT_MEASURE,Value
1971,Broj na 1.000 stanovnika,6.6
1972,Broj na 1.000 stanovnika,7.0
1973,Broj na 1.000 stanovnika,6.4
1974,Broj na 1.000 stanovnika,6.0
1975,Broj na 1.000 stanovnika,6.4
1976,Broj na 1.000 stanovnika,6.2
1977,Broj na 1.000 stanovnika,6.1
1978,Broj na 1.000 stanovnika,6.3
1979,Broj na 1.000 stanovnika,6.1
1980,Broj na 1.000 stanovnika,6.4
1981,Broj na 1.000 stanovnika,6.3
1982,Broj na 1.000 stanovnika,6.4
1983,Broj na 1.000 stanovnika,7.2
1984,Broj na 1.000 stanovnika,6.9
1985,Broj na 1.000 stanovnika,6.9
1986,Broj na 1.000 stanovnika,6.9
1987,Broj na 1.000 stanovnika,6.9
1988,Broj na 1.000 stanovnika,6.9
1989,Broj na 1.000 stanovnika,7.0
1990,Broj na 1.000 stanovnika,6.7
1991,Broj na 1.000 stanovnika,7.2
1996,Broj na 1.000 stanovnika,6.9
1997,Broj na 1.000 stanovnika,7.5
1998,Broj na 1.000 stanovnika,7.9
1999,Broj na 1.000 stanovnika,7.7
2000,Broj na 1.000 stanovnika,8.1
2001,Broj na 1.000 stanovnika,8.0
2002,Broj na 1.000 stanovnika,7.9
2003,Broj na 1.000 stanovnika,8.3
2004,Broj na 1.000 stanovnika,8.5
2005,Broj na 1.000 stanovnika,9.0
2006,Broj na 1.000 stanovnika,8.6
2007,Broj na 1.000 stanovnika,9.1
2008,Broj na 1.000 stanovnika,8.9
2009,Broj na 1.000 stanovnika,9.1
2010,Broj na 1.000 stanovnika,9.1
2011,Broj na 1.000 stanovnika,9.1
2012,Broj na 1.000 stanovnika,9.3
2013,Broj na 1.000 stanovnika,10.1
2014,Broj na 1.000 stanovnika,10.2
2015,Broj na 1.000 stanovnika,10.8
2016,Broj na 1.000 stanovnika,10.4
2017,Broj na 1.000 stanovnika,10.8
2018,Broj na 1.000 stanovnika,10.8
2019,Broj na 1.000 stanovnika,11.1
