Year,Spol,UNIT_MEASURE,Value
1996,M,Starosna dob,27.7
1997,M,Starosna dob,28.0
1998,M,Starosna dob,27.9
1999,M,Starosna dob,27.8
2000,M,Starosna dob,27.8
2001,M,Starosna dob,27.8
2002,M,Starosna dob,27.8
2003,M,Starosna dob,28.1
2004,M,Starosna dob,28.0
2005,M,Starosna dob,28.1
2006,M,Starosna dob,28.3
2007,M,Starosna dob,28.3
2008,M,Starosna dob,28.3
2009,M,Starosna dob,28.3
2010,M,Starosna dob,28.9
2011,M,Starosna dob,29.1
2012,M,Starosna dob,29.3
2013,M,Starosna dob,29.6
2014,M,Starosna dob,29.6
2015,M,Starosna dob,29.5
2016,M,Starosna dob,29.4
2017,M,Starosna dob,29.5
2018,M,Starosna dob,29.7
2019,M,Starosna dob,29.5
1996,Ž,Starosna dob,24.2
1997,Ž,Starosna dob,24.3
1998,Ž,Starosna dob,24.3
1999,Ž,Starosna dob,24.3
2000,Ž,Starosna dob,24.2
2001,Ž,Starosna dob,24.2
2002,Ž,Starosna dob,24.3
2003,Ž,Starosna dob,24.6
2004,Ž,Starosna dob,24.5
2005,Ž,Starosna dob,24.6
2006,Ž,Starosna dob,24.9
2007,Ž,Starosna dob,24.9
2008,Ž,Starosna dob,24.9
2009,Ž,Starosna dob,24.8
2010,Ž,Starosna dob,25.7
2011,Ž,Starosna dob,25.9
2012,Ž,Starosna dob,26.1
2013,Ž,Starosna dob,26.4
2014,Ž,Starosna dob,26.4
2015,Ž,Starosna dob,26.4
2016,Ž,Starosna dob,26.4
2017,Ž,Starosna dob,26.6
2018,Ž,Starosna dob,27.1
2019,Ž,Starosna dob,26.8
