Year,Spol,Vitalna statistika,UNIT_MEASURE,Value
2020,Oba spola,Živorođeni,Broj,29511
2020,Oba spola,Smrtni slučajevi,Broj,37517
2020,Oba spola,Prirodno kretanje,Broj,-8006
2025,Oba spola,Živorođeni,Broj,26090
2025,Oba spola,Smrtni slučajevi,Broj,39013
2025,Oba spola,Prirodno kretanje,Broj,-12924
2030,Oba spola,Živorođeni,Broj,22815
2030,Oba spola,Smrtni slučajevi,Broj,40539
2030,Oba spola,Prirodno kretanje,Broj,-17724
2035,Oba spola,Živorođeni,Broj,20041
2035,Oba spola,Smrtni slučajevi,Broj,42144
2035,Oba spola,Prirodno kretanje,Broj,-22103
2040,Oba spola,Živorođeni,Broj,18095
2040,Oba spola,Smrtni slučajevi,Broj,43514
2040,Oba spola,Prirodno kretanje,Broj,-25419
2045,Oba spola,Živorođeni,Broj,16461
2045,Oba spola,Smrtni slučajevi,Broj,44097
2045,Oba spola,Prirodno kretanje,Broj,-27635
2050,Oba spola,Živorođeni,Broj,14955
2050,Oba spola,Smrtni slučajevi,Broj,43537
2050,Oba spola,Prirodno kretanje,Broj,-28582
2055,Oba spola,Živorođeni,Broj,13510
2055,Oba spola,Smrtni slučajevi,Broj,42130
2055,Oba spola,Prirodno kretanje,Broj,-28620
2060,Oba spola,Živorođeni,Broj,12120
2060,Oba spola,Smrtni slučajevi,Broj,40129
2060,Oba spola,Prirodno kretanje,Broj,-28009
2065,Oba spola,Živorođeni,Broj,10861
2065,Oba spola,Smrtni slučajevi,Broj,37783
2065,Oba spola,Prirodno kretanje,Broj,-26921
2070,Oba spola,Živorođeni,Broj,9813
2070,Oba spola,Smrtni slučajevi,Broj,35279
2070,Oba spola,Prirodno kretanje,Broj,-25466
2020,M,Živorođeni,Broj,15198
2020,M,Smrtni slučajevi,Broj,19067
2020,M,Prirodno kretanje,Broj,-3869
2025,M,Živorođeni,Broj,13436
2025,M,Smrtni slučajevi,Broj,19749
2025,M,Prirodno kretanje,Broj,-6313
2030,M,Živorođeni,Broj,11750
2030,M,Smrtni slučajevi,Broj,20416
2030,M,Prirodno kretanje,Broj,-8666
2035,M,Živorođeni,Broj,10321
2035,M,Smrtni slučajevi,Broj,21110
2035,M,Prirodno kretanje,Broj,-10788
2040,M,Živorođeni,Broj,9319
2040,M,Smrtni slučajevi,Broj,21636
2040,M,Prirodno kretanje,Broj,-12317
2045,M,Živorođeni,Broj,84778
2045,M,Smrtni slučajevi,Broj,21687
2045,M,Prirodno kretanje,Broj,-13210
2050,M,Živorođeni,Broj,7702
2050,M,Smrtni slučajevi,Broj,21195
2050,M,Prirodno kretanje,Broj,-13493
2055,M,Živorođeni,Broj,6958
2055,M,Smrtni slučajevi,Broj,20338
2055,M,Prirodno kretanje,Broj,-13181
2060,M,Živorođeni,Broj,6242
2060,M,Smrtni slučajevi,Broj,19208
2060,M,Prirodno kretanje,Broj,-12966
2065,M,Živorođeni,Broj,5593
2065,M,Smrtni slučajevi,Broj,17838
2065,M,Prirodno kretanje,Broj,-12245
2070,M,Živorođeni,Broj,5054
2070,M,Smrtni slučajevi,Broj,16376
2070,M,Prirodno kretanje,Broj,-11322
2020,Ž,Živorođeni,Broj,14313
2020,Ž,Smrtni slučajevi,Broj,18449
2020,Ž,Prirodno kretanje,Broj,-4137
2025,Ž,Živorođeni,Broj,12653
2025,Ž,Smrtni slučajevi,Broj,19264
2025,Ž,Prirodno kretanje,Broj,-6610
2030,Ž,Živorođeni,Broj,11065
2030,Ž,Smrtni slučajevi,Broj,20123
2030,Ž,Prirodno kretanje,Broj,-9058
2035,Ž,Živorođeni,Broj,9720
2035,Ž,Smrtni slučajevi,Broj,21034
2035,Ž,Prirodno kretanje,Broj,-11314
2040,Ž,Živorođeni,Broj,8776
2040,Ž,Smrtni slučajevi,Broj,21878
2040,Ž,Prirodno kretanje,Broj,-13102
2045,Ž,Živorođeni,Broj,7984
2045,Ž,Smrtni slučajevi,Broj,22409
2045,Ž,Prirodno kretanje,Broj,-14426
2050,Ž,Živorođeni,Broj,7253
2050,Ž,Smrtni slučajevi,Broj,22342
2050,Ž,Prirodno kretanje,Broj,-15088
2055,Ž,Živorođeni,Broj,6552
2055,Ž,Smrtni slučajevi,Broj,21792
2055,Ž,Prirodno kretanje,Broj,-15239
2060,Ž,Živorođeni,Broj,5878
2060,Ž,Smrtni slučajevi,Broj,20921
2060,Ž,Prirodno kretanje,Broj,-15043
2065,Ž,Živorođeni,Broj,5268
2065,Ž,Smrtni slučajevi,Broj,19944
2065,Ž,Prirodno kretanje,Broj,-14677
2070,Ž,Živorođeni,Broj,4760
2070,Ž,Smrtni slučajevi,Broj,18904
2070,Ž,Prirodno kretanje,Broj,-14144
