Year,UNIT_MEASURE,Entitet,Value
NUMBER,BiH,,88.2
NUMBER,BiH,,93.3
NUMBER,BiH,,56.3
NUMBER,BiH,,79.02670112
NUMBER,BiH,,87.68640057
NUMBER,BiH,,88.77714489
NUMBER,BiH,,88.09425949
NUMBER,BiH,,104.7187469
NUMBER,BiH,,112.9112414
NUMBER,BiH,,92.50952588
NUMBER,BiH,,68.443286
NUMBER,BiH,,81.25172827
NUMBER,BiH,,77.1592019
NUMBER,BiH,,77.72197157
NUMBER,BiH,,61.80307887
NUMBER,BiH,,67.94940144
NUMBER,BiH,,85.76838442
NUMBER,BiH,,120.5366465
NUMBER,BiH,,125.8020291
NUMBER,BiH,,148.0451682
NUMBER,BiH,,144.0755243
NUMBER,BiH,,150.513055
NUMBER,BiH,,143.9397872
NUMBER,BiH,,151.3345686
NUMBER,BiH,,155.2408217
NUMBER,BiH,,147.2140144
NUMBER,Federacija BiH,,25.7282875
NUMBER,Federacija BiH,,68.36436087
NUMBER,Federacija BiH,,77.94383754
NUMBER,Federacija BiH,,84.07420371
NUMBER,Federacija BiH,,84.92874622
NUMBER,Federacija BiH,,100.7994984
NUMBER,Federacija BiH,,110.4818062
NUMBER,Federacija BiH,,89.60464051
NUMBER,Federacija BiH,,62.57758306
NUMBER,Federacija BiH,,70.92511013
NUMBER,Federacija BiH,,71.70304334
NUMBER,Federacija BiH,,69.62452728
NUMBER,Federacija BiH,,62.91501777
NUMBER,Federacija BiH,,58.88807608
NUMBER,Federacija BiH,,76.53218355
NUMBER,Federacija BiH,,96.98943522
NUMBER,Federacija BiH,,97.51243781
NUMBER,Federacija BiH,,119.8488709
NUMBER,Federacija BiH,,110.2487064
NUMBER,Federacija BiH,,115.7878508
NUMBER,Federacija BiH,,112.9788898
NUMBER,Federacija BiH,,132.7535786
NUMBER,Federacija BiH,,139.5758365
NUMBER,Federacija BiH,,136.3932822
NUMBER,Republika Srpska,,95.07911163
NUMBER,Republika Srpska,,102.1430559
NUMBER,Republika Srpska,,93.50057013
NUMBER,Republika Srpska,,92.64590421
NUMBER,Republika Srpska,,115.6149882
NUMBER,Republika Srpska,,117.2404258
NUMBER,Republika Srpska,,109.9128379
NUMBER,Republika Srpska,,89.17821644
NUMBER,Republika Srpska,,105.8737151
NUMBER,Republika Srpska,,76.67638484
NUMBER,Republika Srpska,,84.026505
NUMBER,Republika Srpska,,49.52351195
NUMBER,Republika Srpska,,74.21301582
NUMBER,Republika Srpska,,89.64799723
NUMBER,Republika Srpska,,152.7059635
NUMBER,Republika Srpska,,164.851671
NUMBER,Republika Srpska,,192.427291
NUMBER,Republika Srpska,,189.9364589
NUMBER,Republika Srpska,,193.8931298
NUMBER,Republika Srpska,,184.2531008
NUMBER,Republika Srpska,,165.4350017
NUMBER,Republika Srpska,,161.4146832
NUMBER,Republika Srpska,,158.0212985
NUMBER,Brčko Distrikt BiH,,90.0621118
NUMBER,Brčko Distrikt BiH,,122.1374046
NUMBER,Brčko Distrikt BiH,,122.7621483
NUMBER,Brčko Distrikt BiH,,127.0553064
NUMBER,Brčko Distrikt BiH,,135.2154532
NUMBER,Brčko Distrikt BiH,,132.0224719
NUMBER,Brčko Distrikt BiH,,120.5882353
NUMBER,Brčko Distrikt BiH,,207.4626866
NUMBER,Brčko Distrikt BiH,,249.1909385
NUMBER,Brčko Distrikt BiH,,324.6329527
NUMBER,Brčko Distrikt BiH,,335.7041252
NUMBER,Brčko Distrikt BiH,,307.073955
NUMBER,Brčko Distrikt BiH,,378.5822021
NUMBER,Brčko Distrikt BiH,,464.1791045
NUMBER,Brčko Distrikt BiH,,442.5727412
NUMBER,Brčko Distrikt BiH,,410.8635097
NUMBER,Brčko Distrikt BiH,,471.5189873
NUMBER,Brčko Distrikt BiH,,312.1869783
