Year,Spol,UNIT_MEASURE,Value
2020,Oba spola,_%,8.6
2025,Oba spola,_%,8.0
2030,Oba spola,_%,7.4
2035,Oba spola,_%,6.9
2040,Oba spola,_%,6.7
2045,Oba spola,_%,6.5
2050,Oba spola,_%,6.4
2055,Oba spola,_%,6.4
2060,Oba spola,_%,6.3
2065,Oba spola,_%,6.2
2070,Oba spola,_%,6.2
2020,Muškarci,_%,9.06
2025,Muškarci,_%,8.49
2030,Muškarci,_%,7.92
2035,Muškarci,_%,7.47
2040,Muškarci,_%,7.29
2045,Muškarci,_%,7.22
2050,Muškarci,_%,7.19
2055,Muškarci,_%,7.16
2060,Muškarci,_%,7.11
2065,Muškarci,_%,7.08
2070,Muškarci,_%,7.12
2020,Žene,_%,8.16
2025,Žene,_%,7.5
2030,Žene,_%,6.86
2035,Žene,_%,6.35
2040,Žene,_%,6.1
2045,Žene,_%,5.94
2050,Žene,_%,5.81
2055,Žene,_%,5.69
2060,Žene,_%,5.56
2065,Žene,_%,5.45
2070,Žene,_%,5.41
