Year,Općina,Veličina kućanstva,UNIT_MEASURE,Value
1971,Sarajevo,1 član,Broj,82305
1971,Sarajevo,2 člana,Broj,97312
1971,Sarajevo,3 člana,Broj,125680
1971,Sarajevo,4 člana,Broj,174650
1971,Sarajevo,5 članova,Broj,134703
1971,Sarajevo,6 članova,Broj,94479
1971,Sarajevo,7 članova,Broj,60558
1971,Sarajevo,8+ članova,Broj,78858
1981,Sarajevo,1 član,Broj,97423
1981,Sarajevo,2 člana,Broj,143225
1981,Sarajevo,3 člana,Broj,181500
1981,Sarajevo,4 člana,Broj,264179
1981,Sarajevo,5 članova,Broj,151073
1981,Sarajevo,6 članova,Broj,90453
1981,Sarajevo,7 članova,Broj,48831
1981,Sarajevo,8+ članova,Broj,54005
1991,Sarajevo,1 član,Broj,130222
1991,Sarajevo,2 člana,Broj,201096
1991,Sarajevo,3 člana,Broj,229788
1991,Sarajevo,4 člana,Broj,347705
1991,Sarajevo,5 članova,Broj,156474
1991,Sarajevo,6 članova,Broj,78561
1991,Sarajevo,7 članova,Broj,33655
1991,Sarajevo,8+ članova,Broj,29597
2013,Sarajevo,1 član,Broj,217613
2013,Sarajevo,2 člana,Broj,277191
2013,Sarajevo,3 člana,Broj,232169
2013,Sarajevo,4 člana,Broj,238625
2013,Sarajevo,5 članova,Broj,107229
2013,Sarajevo,6 članova,Broj,49859
2013,Sarajevo,7 članova,Broj,18818
2013,Sarajevo,8+ članova,Broj,14232
