Year,UNIT_MEASURE,Spol,Entitet,Value
2001,Broj,Muškarci,BiH,98.0
2002,Broj,Muškarci,BiH,77.0
2003,Broj,Muškarci,BiH,91.0
2004,Broj,Muškarci,BiH,94.0
2005,Broj,Muškarci,BiH,85.0
2006,Broj,Muškarci,BiH,83.0
2007,Broj,Muškarci,BiH,98.0
2008,Broj,Muškarci,BiH,102.0
2009,Broj,Muškarci,BiH,80.0
2010,Broj,Muškarci,BiH,83.0
2011,Broj,Muškarci,BiH,57.0
2012,Broj,Muškarci,BiH,64.0
2013,Broj,Muškarci,BiH,45.0
2014,Broj,Muškarci,BiH,45.0
2015,Broj,Muškarci,BiH,56.0
2016,Broj,Muškarci,BiH,54.0
2017,Broj,Muškarci,BiH,51.0
2018,Broj,Muškarci,BiH,49.0
2019,Broj,Muškarci,BiH,40.0
2001,Broj,Žene,BiH,95.0
2002,Broj,Žene,BiH,61.0
2003,Broj,Žene,BiH,59.0
2004,Broj,Žene,BiH,74.0
2005,Broj,Žene,BiH,62.0
2006,Broj,Žene,BiH,54.0
2007,Broj,Žene,BiH,76.0
2008,Broj,Žene,BiH,69.0
2009,Broj,Žene,BiH,56.0
2010,Broj,Žene,BiH,60.0
2011,Broj,Žene,BiH,61.0
2012,Broj,Žene,BiH,56.0
2013,Broj,Žene,BiH,57.0
2014,Broj,Žene,BiH,32.0
2015,Broj,Žene,BiH,58.0
2016,Broj,Žene,BiH,56.0
2017,Broj,Žene,BiH,52.0
2018,Broj,Žene,BiH,39.0
2019,Broj,Žene,BiH,42.0
1996,Broj,Oba spola,BiH,271.0
1997,Broj,Oba spola,BiH,240.0
1998,Broj,Oba spola,BiH,202.0
1999,Broj,Oba spola,BiH,224.0
2000,Broj,Oba spola,BiH,159.0
2001,Broj,Oba spola,BiH,193.0
2002,Broj,Oba spola,BiH,138.0
2003,Broj,Oba spola,BiH,150.0
2004,Broj,Oba spola,BiH,168.0
2005,Broj,Oba spola,BiH,147.0
2006,Broj,Oba spola,BiH,137.0
2007,Broj,Oba spola,BiH,174.0
2008,Broj,Oba spola,BiH,171.0
2009,Broj,Oba spola,BiH,136.0
2010,Broj,Oba spola,BiH,143.0
2011,Broj,Oba spola,BiH,118.0
2012,Broj,Oba spola,BiH,120.0
2013,Broj,Oba spola,BiH,102.0
2014,Broj,Oba spola,BiH,77.0
2015,Broj,Oba spola,BiH,114.0
2016,Broj,Oba spola,BiH,110.0
2017,Broj,Oba spola,BiH,103.0
2018,Broj,Oba spola,BiH,88.0
2019,Broj,Oba spola,BiH,82.0
1997,Broj,Muškarci,Federacija BiH,98.0
1998,Broj,Muškarci,Federacija BiH,76.0
1999,Broj,Muškarci,Federacija BiH,88.0
2000,Broj,Muškarci,Federacija BiH,59.0
2001,Broj,Muškarci,Federacija BiH,60.0
2002,Broj,Muškarci,Federacija BiH,60.0
2003,Broj,Muškarci,Federacija BiH,72.0
2004,Broj,Muškarci,Federacija BiH,70.0
2005,Broj,Muškarci,Federacija BiH,69.0
2006,Broj,Muškarci,Federacija BiH,62.0
2007,Broj,Muškarci,Federacija BiH,73.0
2008,Broj,Muškarci,Federacija BiH,79.0
2009,Broj,Muškarci,Federacija BiH,52.0
2010,Broj,Muškarci,Federacija BiH,55.0
2011,Broj,Muškarci,Federacija BiH,39.0
2012,Broj,Muškarci,Federacija BiH,36.0
2013,Broj,Muškarci,Federacija BiH,27.0
2014,Broj,Muškarci,Federacija BiH,32.0
2015,Broj,Muškarci,Federacija BiH,48.0
2016,Broj,Muškarci,Federacija BiH,54.0
2017,Broj,Muškarci,Federacija BiH,41.0
2018,Broj,Muškarci,Federacija BiH,37.0
2019,Broj,Muškarci,Federacija BiH,36.0
1997,Broj,Žene,Federacija BiH,69.0
1998,Broj,Žene,Federacija BiH,70.0
1999,Broj,Žene,Federacija BiH,66.0
2000,Broj,Žene,Federacija BiH,48.0
2001,Broj,Žene,Federacija BiH,56.0
