Year,UNIT_MEASURE,Godine,Spol,Value
2013,Broj,_ALL,Oba spola,89794.0
2013,Broj,_ALL,Muškarci,12237.0
2013,Broj,_ALL,Žene,77557.0
2013,Broj, 10-14,Oba spola,579.0
2013,Broj, 10-14,Muškarci,318.0
2013,Broj, 10-14,Žene,261.0
2013,Broj, 15-19,Oba spola,763.0
2013,Broj, 15-19,Muškarci,408.0
2013,Broj, 15-19,Žene,355.0
2013,Broj, 20-24,Oba spola,825.0
2013,Broj, 20-24,Muškarci,419.0
2013,Broj, 20-24,Žene,406.0
2013,Broj, 25-29,Oba spola,1025.0
2013,Broj, 25-29,Muškarci,539.0
2013,Broj, 25-29,Žene,486.0
2013,Broj, 30-34,Oba spola,1082.0
2013,Broj, 30-34,Muškarci,551.0
2013,Broj, 30-34,Žene,531.0
2013,Broj, 35-39,Oba spola,1032.0
2013,Broj, 35-39,Muškarci,525.0
2013,Broj, 35-39,Žene,507.0
2013,Broj,40-44,Oba spola,1143.0
2013,Broj,40-44,Muškarci,519.0
2013,Broj,40-44,Žene,624.0
2013,Broj, 45-49,Oba spola,1533.0
2013,Broj, 45-49,Muškarci,632.0
2013,Broj, 45-49,Žene,901.0
2013,Broj, 50-54,Oba spola,2532.0
2013,Broj, 50-54,Muškarci,679.0
2013,Broj, 50-54,Žene,1853.0
2013,Broj, 55-59,Oba spola,4132.0
2013,Broj, 55-59,Muškarci,764.0
2013,Broj, 55-59,Žene,3368.0
2013,Broj, 60-64,Oba spola,6736.0
2013,Broj, 60-64,Muškarci,771.0
2013,Broj, 60-64,Žene,5965.0
2013,Broj, 65-69,Oba spola,9306.0
2013,Broj, 65-69,Muškarci,863.0
2013,Broj, 65-69,Žene,8443.0
2013,Broj, 70-74,Oba spola,16476.0
2013,Broj, 70-74,Muškarci,1311.0
2013,Broj, 70-74,Žene,15165.0
2013,Broj, 75+,Oba spola,42630.0
2013,Broj, 75+,Muškarci,3938.0
2013,Broj, 75+,Žene,38692.0
