Year,UNIT_MEASURE,school_year_end,Spol,Value
2013,Broj,2010/2011,Oba spola,50567
2013,Broj,2011/2012,Oba spola,41834
2013,Broj,2012/2013,Oba spola,33672
2013,Broj,2013/2014,Oba spola,36993
2013,Broj,2014/2015,Oba spola,36434
2013,Broj,2015/2016,Oba spola,36126
2013,Broj,2016/2017,Oba spola,35694
2013,Broj,2017/2018,Oba spola,32144
2013,Broj,2018/2019,Oba spola,31728
2013,Broj,2019/2020,Oba spola,30463
2013,Broj,2010/2011,M,25977
2013,Broj,2011/2012,M,21761
2013,Broj,2012/2013,M,17181
2013,Broj,2013/2014,M,18730
2013,Broj,2014/2015,M,18662
2013,Broj,2015/2016,M,18441
2013,Broj,2016/2017,M,18266
2013,Broj,2017/2018,M,16159
2013,Broj,2018/2019,M,16244
2013,Broj,2019/2020,M,15564
2013,Broj,2010/2011,Ž,24590
2013,Broj,2011/2012,Ž,20073
2013,Broj,2012/2013,Ž,16491
2013,Broj,2013/2014,Ž,18263
2013,Broj,2014/2015,Ž,17772
2013,Broj,2015/2016,Ž,17685
2013,Broj,2016/2017,Ž,17428
2013,Broj,2017/2018,Ž,15985
2013,Broj,2018/2019,Ž,15484
2013,Broj,2019/2020,Ž,14899
