Year,UNIT_MEASURE,Spol,Godine,Value
1971,Broj,Oba spola ili bez podjele po spolu,0 ,78188
1971,Broj,Muškarci,0 ,39855
1971,Broj,Žene,0 ,38333
1981,Broj,Oba spola ili bez podjele po spolu,0 ,71881
1981,Broj,Muškarci,0 ,36601
1981,Broj,Žene,0 ,35280
1991,Broj,Oba spola ili bez podjele po spolu,0 ,62844
1991,Broj,Muškarci,0 ,32274
1991,Broj,Žene,0 ,30570
2013,Broj,Oba spola ili bez podjele po spolu,0 ,32986
2013,Broj,Muškarci,0 ,16903
2013,Broj,Žene,0 ,16083
1971,Broj,Oba spola ili bez podjele po spolu,'1',78436
1971,Broj,Muškarci,'1',40140
1971,Broj,Žene,'1',38296
1981,Broj,Oba spola ili bez podjele po spolu,'1',69965
1981,Broj,Muškarci,'1',35731
1981,Broj,Žene,'1',34234
1991,Broj,Oba spola ili bez podjele po spolu,'1',63482
1991,Broj,Muškarci,'1',32468
1991,Broj,Žene,'1',31014
2013,Broj,Oba spola ili bez podjele po spolu,'1',34294
2013,Broj,Muškarci,'1',17554
2013,Broj,Žene,'1',16740
1971,Broj,Oba spola ili bez podjele po spolu,'2',79185
1971,Broj,Muškarci,'2',40345
1971,Broj,Žene,'2',38840
1981,Broj,Oba spola ili bez podjele po spolu,'2',67249
1981,Broj,Muškarci,'2',34457
1981,Broj,Žene,'2',32792
1991,Broj,Oba spola ili bez podjele po spolu,'2',64263
1991,Broj,Muškarci,'2',32868
1991,Broj,Žene,'2',31395
2013,Broj,Oba spola ili bez podjele po spolu,'2',34389
2013,Broj,Muškarci,'2',17702
2013,Broj,Žene,'2',16687
