Year,UNIT_MEASURE,Municipality,Spol,Godine,Value
2013,Broj,Banja Luka,Oba spola,Total,185042
2013,Broj,Banja Luka,Muškarci,Total,89148
2013,Broj,Banja Luka,Žene,Total,95894
2013,Broj,Banovići,Oba spola,Total,22773
2013,Broj,Banovići,Muškarci,Total,11392
2013,Broj,Banovići,Žene,Total,11381
2013,Broj,Berkovići,Oba spola,Total,2114
2013,Broj,Berkovići,Muškarci,Total,1059
2013,Broj,Berkovići,Žene,Total,1055
2013,Broj,Bihać,Oba spola,Total,56261
2013,Broj,Bihać,Muškarci,Total,27041
2013,Broj,Bihać,Žene,Total,29220
2013,Broj,Bijeljina,Oba spola,Total,107715
2013,Broj,Bijeljina,Muškarci,Total,52827
2013,Broj,Bijeljina,Žene,Total,54888
2013,Broj,Bileća,Oba spola,Total,10807
2013,Broj,Bileća,Muškarci,Total,5454
2013,Broj,Bileća,Žene,Total,5353
2013,Broj,Bosanska Krupa,Oba spola,Total,25545
2013,Broj,Bosanska Krupa,Muškarci,Total,12548
2013,Broj,Bosanska Krupa,Žene,Total,12997
2013,Broj,Bosanski Petrovac,Oba spola,Total,7328
2013,Broj,Bosanski Petrovac,Muškarci,Total,3678
2013,Broj,Bosanski Petrovac,Žene,Total,3650
2013,Broj,Bosansko Grahovo,Oba spola,Total,2449
2013,Broj,Bosansko Grahovo,Muškarci,Total,1287
2013,Broj,Bosansko Grahovo,Žene,Total,1162
2013,Broj,Bratunac,Oba spola,Total,20340
2013,Broj,Bratunac,Muškarci,Total,10091
2013,Broj,Bratunac,Žene,Total,10249
2013,Broj,Brčko,Oba spola,Total,83516
2013,Broj,Brčko,Muškarci,Total,41250
2013,Broj,Brčko,Žene,Total,42266
2013,Broj,Breza,Oba spola,Total,14168
2013,Broj,Breza,Muškarci,Total,6952
2013,Broj,Breza,Žene,Total,7216
2013,Broj,Brod,Oba spola,Total,16619
2013,Broj,Brod,Muškarci,Total,8143
2013,Broj,Brod,Žene,Total,8476
2013,Broj,Bugojno,Oba spola,Total,31470
2013,Broj,Bugojno,Muškarci,Total,15635
2013,Broj,Bugojno,Žene,Total,15835
2013,Broj,Busovača,Oba spola,Total,17910
2013,Broj,Busovača,Muškarci,Total,9134
2013,Broj,Busovača,Žene,Total,8776
2013,Broj,Bužim,Oba spola,Total,19340
