Year,Entitet,Spol,UNIT_MEASURE,Value
1996,BiH,Muškarci,Starost,27.7
1997,BiH,Muškarci,Starost,28.0
1998,BiH,Muškarci,Starost,27.9
1999,BiH,Muškarci,Starost,27.8
2000,BiH,Muškarci,Starost,27.8
2001,BiH,Muškarci,Starost,27.8
2002,BiH,Muškarci,Starost,27.8
2003,BiH,Muškarci,Starost,28.1
2004,BiH,Muškarci,Starost,28.0
2005,BiH,Muškarci,Starost,28.1
2006,BiH,Muškarci,Starost,28.3
2007,BiH,Muškarci,Starost,28.3
2008,BiH,Muškarci,Starost,28.3
2009,BiH,Muškarci,Starost,28.3
2010,BiH,Muškarci,Starost,28.9
2011,BiH,Muškarci,Starost,29.1
2012,BiH,Muškarci,Starost,29.3
2013,BiH,Muškarci,Starost,29.6
2014,BiH,Muškarci,Starost,29.6
2015,BiH,Muškarci,Starost,29.5
2016,BiH,Muškarci,Starost,29.4
2017,BiH,Muškarci,Starost,29.5
2018,BiH,Muškarci,Starost,29.7
2019,BiH,Muškarci,Starost,29.5
1996,BiH,Žene,Starost,24.2
1997,BiH,Žene,Starost,24.3
1998,BiH,Žene,Starost,24.3
1999,BiH,Žene,Starost,24.3
2000,BiH,Žene,Starost,24.2
2001,BiH,Žene,Starost,24.2
2002,BiH,Žene,Starost,24.3
2003,BiH,Žene,Starost,24.6
2004,BiH,Žene,Starost,24.5
2005,BiH,Žene,Starost,24.6
2006,BiH,Žene,Starost,24.9
2007,BiH,Žene,Starost,24.9
2008,BiH,Žene,Starost,24.9
2009,BiH,Žene,Starost,24.8
2010,BiH,Žene,Starost,25.7
2011,BiH,Žene,Starost,25.9
2012,BiH,Žene,Starost,26.1
2013,BiH,Žene,Starost,26.4
2014,BiH,Žene,Starost,26.4
2015,BiH,Žene,Starost,26.4
2016,BiH,Žene,Starost,26.4
2017,BiH,Žene,Starost,26.6
2018,BiH,Žene,Starost,27.1
2019,BiH,Žene,Starost,26.8
1996,Federacija BiH,Muškarci,Starost,27.7
1997,Federacija BiH,Muškarci,Starost,27.4
1998,Federacija BiH,Muškarci,Starost,27.4
1999,Federacija BiH,Muškarci,Starost,27.5
2000,Federacija BiH,Muškarci,Starost,27.6
2001,Federacija BiH,Muškarci,Starost,27.6
2002,Federacija BiH,Muškarci,Starost,27.7
2003,Federacija BiH,Muškarci,Starost,27.7
2004,Federacija BiH,Muškarci,Starost,27.8
2005,Federacija BiH,Muškarci,Starost,27.8
2006,Federacija BiH,Muškarci,Starost,27.9
2007,Federacija BiH,Muškarci,Starost,27.9
2008,Federacija BiH,Muškarci,Starost,28.1
2009,Federacija BiH,Muškarci,Starost,28.1
2010,Federacija BiH,Muškarci,Starost,28.6
2011,Federacija BiH,Muškarci,Starost,28.1
2012,Federacija BiH,Muškarci,Starost,28.4
2013,Federacija BiH,Muškarci,Starost,28.3
2014,Federacija BiH,Muškarci,Starost,28.3
2015,Federacija BiH,Muškarci,Starost,28.5
2016,Federacija BiH,Muškarci,Starost,28.3
2017,Federacija BiH,Muškarci,Starost,28.3
2018,Federacija BiH,Muškarci,Starost,28.5
2019,Federacija BiH,Muškarci,Starost,28.3
1996,Federacija BiH,Žene,Starost,24.4
1997,Federacija BiH,Žene,Starost,23.8
1998,Federacija BiH,Žene,Starost,24.4
1999,Federacija BiH,Žene,Starost,24.2
2000,Federacija BiH,Žene,Starost,23.9
2001,Federacija BiH,Žene,Starost,24.0
2002,Federacija BiH,Žene,Starost,24.1
2003,Federacija BiH,Žene,Starost,24.2
2004,Federacija BiH,Žene,Starost,24.2
2005,Federacija BiH,Žene,Starost,24.3
2006,Federacija BiH,Žene,Starost,24.3
2007,Federacija BiH,Žene,Starost,24.5
2008,Federacija BiH,Žene,Starost,24.6
2009,Federacija BiH,Žene,Starost,24.8
2010,Federacija BiH,Žene,Starost,24.9
2011,Federacija BiH,Žene,Starost,25.0
2012,Federacija BiH,Žene,Starost,25.2
2013,Federacija BiH,Žene,Starost,25.5
2014,Federacija BiH,Žene,Starost,25.2
2015,Federacija BiH,Žene,Starost,25.5
2016,Federacija BiH,Žene,Starost,25.4
2017,Federacija BiH,Žene,Starost,25.5
2018,Federacija BiH,Žene,Starost,25.8
2019,Federacija BiH,Žene,Starost,25.7
1998,Republika Srpska,Muškarci,Starost,28.6
2000,Republika Srpska,Muškarci,Starost,28.6
2003,Republika Srpska,Muškarci,Starost,28.3
2004,Republika Srpska,Muškarci,Starost,28.4
2005,Republika Srpska,Muškarci,Starost,28.6
2006,Republika Srpska,Muškarci,Starost,28.9
2007,Republika Srpska,Muškarci,Starost,28.9
2008,Republika Srpska,Muškarci,Starost,29.1
2009,Republika Srpska,Muškarci,Starost,29.1
2010,Republika Srpska,Muškarci,Starost,29.2
2011,Republika Srpska,Muškarci,Starost,29.5
2012,Republika Srpska,Muškarci,Starost,29.6
2013,Republika Srpska,Muškarci,Starost,29.9
2014,Republika Srpska,Muškarci,Starost,30.1
2015,Republika Srpska,Muškarci,Starost,30.0
2016,Republika Srpska,Muškarci,Starost,29.9
2017,Republika Srpska,Muškarci,Starost,30.2
2018,Republika Srpska,Muškarci,Starost,30.3
2019,Republika Srpska,Muškarci,Starost,30.2
1998,Republika Srpska,Žene,Starost,24.7
2000,Republika Srpska,Žene,Starost,24.9
2003,Republika Srpska,Žene,Starost,24.7
2004,Republika Srpska,Žene,Starost,24.8
2005,Republika Srpska,Žene,Starost,25.0
2006,Republika Srpska,Žene,Starost,25.3
2007,Republika Srpska,Žene,Starost,25.4
2008,Republika Srpska,Žene,Starost,25.4
2009,Republika Srpska,Žene,Starost,25.8
2010,Republika Srpska,Žene,Starost,25.9
2011,Republika Srpska,Žene,Starost,26.1
2012,Republika Srpska,Žene,Starost,26.3
2013,Republika Srpska,Žene,Starost,26.6
2014,Republika Srpska,Žene,Starost,26.7
2015,Republika Srpska,Žene,Starost,26.6
2016,Republika Srpska,Žene,Starost,26.7
2017,Republika Srpska,Žene,Starost,27.0
2018,Republika Srpska,Žene,Starost,27.3
2019,Republika Srpska,Žene,Starost,27.2
2004,Brčko Distrikt BiH,Muškarci,Starost,30.0
