Year,UNIT_MEASURE,Administrativna oblast,Value
1971,Broj na 1000 brakova,BiH,88.2
1981,Broj na 1000 brakova,BiH,93.3
1991,Broj na 1000 brakova,BiH,56.3
1997,Broj na 1000 brakova,BiH,79.0
1998,Broj na 1000 brakova,BiH,87.7
1999,Broj na 1000 brakova,BiH,88.8
2000,Broj na 1000 brakova,BiH,88.1
2001,Broj na 1000 brakova,BiH,104.7
2002,Broj na 1000 brakova,BiH,112.9
2003,Broj na 1000 brakova,BiH,92.5
2004,Broj na 1000 brakova,BiH,68.4
2005,Broj na 1000 brakova,BiH,81.3
2006,Broj na 1000 brakova,BiH,77.2
2007,Broj na 1000 brakova,BiH,77.7
2008,Broj na 1000 brakova,BiH,61.8
2009,Broj na 1000 brakova,BiH,68.0
2010,Broj na 1000 brakova,BiH,85.8
2011,Broj na 1000 brakova,BiH,120.5
2012,Broj na 1000 brakova,BiH,125.8
2013,Broj na 1000 brakova,BiH,148.1
2014,Broj na 1000 brakova,BiH,144.1
2015,Broj na 1000 brakova,BiH,150.5
2016,Broj na 1000 brakova,BiH,143.9
2017,Broj na 1000 brakova,BiH,151.3
2018,Broj na 1000 brakova,BiH,155.2
2019,Broj na 1000 brakova,BiH,147.2
