Year,UNIT_MEASURE,Spol,Entitet,BIRTHS,Value
1997,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"14,703"
1998,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"15,311"
1999,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"15,516"
2000,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"16,985"
2001,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"16,756"
2002,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"16,988"
2003,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"18,049"
2004,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"18,122"
2005,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"19,099"
2006,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"18,497"
2007,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"19,280"
2008,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"19,306"
2009,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"19,829"
2010,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"20,256"
2011,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"19,979"
2012,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"20,621"
2013,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"20,269"
2014,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"20,030"
2015,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"21,474"
2016,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"21,105"
2017,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"21,689"
2018,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"21,442"
2019,Broj,Muškarci,Federacija BiH,LIVE_BIRTH,"22,024"
1997,Broj,Žene,Federacija BiH,LIVE_BIRTH,"14,703"
1998,Broj,Žene,Federacija BiH,LIVE_BIRTH,"15,311"
1999,Broj,Žene,Federacija BiH,LIVE_BIRTH,"15,516"
2000,Broj,Žene,Federacija BiH,LIVE_BIRTH,"16,985"
2001,Broj,Žene,Federacija BiH,LIVE_BIRTH,"16,756"
2002,Broj,Žene,Federacija BiH,LIVE_BIRTH,"16,988"
2003,Broj,Žene,Federacija BiH,LIVE_BIRTH,"18,049"
2004,Broj,Žene,Federacija BiH,LIVE_BIRTH,"18,122"
2005,Broj,Žene,Federacija BiH,LIVE_BIRTH,"19,099"
2006,Broj,Žene,Federacija BiH,LIVE_BIRTH,"18,497"
2007,Broj,Žene,Federacija BiH,LIVE_BIRTH,"19,280"
2008,Broj,Žene,Federacija BiH,LIVE_BIRTH,"19,306"
2009,Broj,Žene,Federacija BiH,LIVE_BIRTH,"19,829"
2010,Broj,Žene,Federacija BiH,LIVE_BIRTH,"20,256"
2011,Broj,Žene,Federacija BiH,LIVE_BIRTH,"19,979"
2012,Broj,Žene,Federacija BiH,LIVE_BIRTH,"20,621"
2013,Broj,Žene,Federacija BiH,LIVE_BIRTH,"20,269"
2014,Broj,Žene,Federacija BiH,LIVE_BIRTH,"20,030"
2015,Broj,Žene,Federacija BiH,LIVE_BIRTH,"21,474"
2016,Broj,Žene,Federacija BiH,LIVE_BIRTH,"21,105"
2017,Broj,Žene,Federacija BiH,LIVE_BIRTH,"21,689"
2018,Broj,Žene,Federacija BiH,LIVE_BIRTH,"21,442"
2019,Broj,Žene,Federacija BiH,LIVE_BIRTH,"22,024"
1997,Broj,Oba spola,Federacija BiH,DEATHS,"14,703"
1998,Broj,Oba spola,Federacija BiH,DEATHS,"15,311"
1999,Broj,Oba spola,Federacija BiH,DEATHS,"15,516"
2000,Broj,Oba spola,Federacija BiH,DEATHS,"16,985"
