Year,UNIT_MEASURE,Entitet,Year.1,Value
1971,Broj,BIH,1971,15.4
1972,Broj,BIH,1972,14.5
1973,Broj,BIH,1973,13.7
1974,Broj,BIH,1974,13.8
1975,Broj,BIH,1975,13.4
1976,Broj,BIH,1976,13.4
1977,Broj,BIH,1977,12.4
1978,Broj,BIH,1978,11.4
1979,Broj,BIH,1979,10.9
1980,Broj,BIH,1980,10.9
1981,Broj,BIH,1981,10.8
1982,Broj,BIH,1982,11.2
1983,Broj,BIH,1983,10.6
1984,Broj,BIH,1984,10.8
1985,Broj,BIH,1985,10.4
1986,Broj,BIH,1986,9.9
1987,Broj,BIH,1987,9.7
1988,Broj,BIH,1988,9.6
1989,Broj,BIH,1989,8.4
1990,Broj,BIH,1990,8.7
1991,Broj,BIH,1991,7.8
1996,Broj,BIH,1996,5.9
1997,Broj,BIH,1997,5.5
1998,Broj,BIH,1998,4.5
1999,Broj,BIH,1999,3.7
2000,Broj,BIH,2000,2.4
2001,Broj,BIH,2001,1.9
2002,Broj,BIH,2002,1.4
2003,Broj,BIH,2003,0.9
2004,Broj,BIH,2004,0.7
2005,Broj,BIH,2005,0.1
2006,Broj,BIH,2006,0.2
2007,Broj,BIH,2007,-0.3
2008,Broj,BIH,2008,0.0
2009,Broj,BIH,2009,-0.1
2010,Broj,BIH,2010,-0.4
2011,Broj,BIH,2011,-0.8
2012,Broj,BIH,2012,-0.8
2013,Broj,BIH,2013,-1.4
2014,Broj,BIH,2014,-1.6
2015,Broj,BIH,2015,-2.3
2016,Broj,BIH,2016,-1.8
2017,Broj,BIH,2017,-2.2
2018,Broj,BIH,2018,-2.4
2019,Broj,BIH,2019,-3.0
1996,Broj,Federacija BiH,1996,8.9
1997,Broj,Federacija BiH,1997,7.7
1998,Broj,Federacija BiH,1998,6.8
1999,Broj,Federacija BiH,1999,5.2
2000,Broj,Federacija BiH,2000,3.6
2001,Broj,Federacija BiH,2001,3.1
2002,Broj,Federacija BiH,2002,2.6
2003,Broj,Federacija BiH,2003,2.1
2004,Broj,Federacija BiH,2004,1.7
2005,Broj,Federacija BiH,2005,1.1
2006,Broj,Federacija BiH,2006,1.3
2007,Broj,Federacija BiH,2007,1.0
2008,Broj,Federacija BiH,2008,1.5
2009,Broj,Federacija BiH,2009,1.2
2010,Broj,Federacija BiH,2010,0.8
2011,Broj,Federacija BiH,2011,0.4
2012,Broj,Federacija BiH,2012,0.3
2013,Broj,Federacija BiH,2013,-0.1
2014,Broj,Federacija BiH,2014,-0.2
2015,Broj,Federacija BiH,2015,-1.1
2016,Broj,Federacija BiH,2016,-0.7
2017,Broj,Federacija BiH,2017,-0.8
2018,Broj,Federacija BiH,2018,-1.2
2019,Broj,Federacija BiH,2019,-1.8
1996,Broj,Republika Srpska,1996,1.1
1997,Broj,Republika Srpska,1997,1.6
1998,Broj,Republika Srpska,1998,0.8
1999,Broj,Republika Srpska,1999,1.5
2000,Broj,Republika Srpska,2000,0.6
2001,Broj,Republika Srpska,2001,0.1
2002,Broj,Republika Srpska,2002,-0.5
2003,Broj,Republika Srpska,2003,-2.1
2004,Broj,Republika Srpska,2004,-2.1
2005,Broj,Republika Srpska,2005,-2.9
2006,Broj,Republika Srpska,2006,-2.3
2007,Broj,Republika Srpska,2007,-3.4
2008,Broj,Republika Srpska,2008,-2.8
2009,Broj,Republika Srpska,2009,-2.7
2010,Broj,Republika Srpska,2010,-2.9
2011,Broj,Republika Srpska,2011,-3.5
2012,Broj,Republika Srpska,2012,-3.3
2013,Broj,Republika Srpska,2013,-3.8
2014,Broj,Republika Srpska,2014,-4.3
2015,Broj,Republika Srpska,2015,-4.9
2016,Broj,Republika Srpska,2016,-3.9
2017,Broj,Republika Srpska,2017,-4.6
2018,Broj,Republika Srpska,2018,-4.6
2019,Broj,Republika Srpska,2019,-5.1
2004,Broj,Republika Srpska,2004,2.6
2005,Broj,Republika Srpska,2005,2.0
2006,Broj,Republika Srpska,2006,2.3
2007,Broj,Republika Srpska,2007,2.1
2008,Broj,Republika Srpska,2008,0.2
2009,Broj,Republika Srpska,2009,0.3
2010,Broj,Republika Srpska,2010,0.1
2011,Broj,Republika Srpska,2011,-0.6
2012,Broj,Republika Srpska,2012,0.5
2013,Broj,Republika Srpska,2013,-0.5
2014,Broj,Republika Srpska,2014,-1.0
2015,Broj,Republika Srpska,2015,-2.2
2016,Broj,Republika Srpska,2016,-1.3
2017,Broj,Republika Srpska,2017,-2.4
2018,Broj,Republika Srpska,2018,-2.1
2019,Broj,Republika Srpska,2019,-2.8
