Year,UNIT_MEASURE,Godine,Spol,Value
2018,Broj,Total,Oba spola,3492023.0
2018,Broj,0,Oba spola,29304.0
2018,Broj,1,Oba spola,29995.0
2018,Broj,2,Oba spola,29995.0
2018,Broj,3,Oba spola,29566.0
2018,Broj,4,Oba spola,30087.0
2018,Broj,5,Oba spola,30487.0
2018,Broj,6,Oba spola,34340.0
2018,Broj,7,Oba spola,34192.0
2018,Broj,8,Oba spola,35540.0
2018,Broj,9,Oba spola,36576.0
2018,Broj,10,Oba spola,36416.0
2018,Broj,11,Oba spola,35032.0
2018,Broj,12,Oba spola,34885.0
2018,Broj,13,Oba spola,35394.0
2018,Broj,14,Oba spola,35371.0
2018,Broj,15,Oba spola,36154.0
2018,Broj,16,Oba spola,36690.0
2018,Broj,17,Oba spola,38105.0
2018,Broj,18,Oba spola,39196.0
2018,Broj,19,Oba spola,40457.0
2018,Broj,20,Oba spola,44679.0
2018,Broj,21,Oba spola,49640.0
2018,Broj,22,Oba spola,52209.0
2018,Broj,23,Oba spola,51959.0
2018,Broj,24,Oba spola,44406.0
2018,Broj,25,Oba spola,37828.0
2018,Broj,26,Oba spola,43284.0
2018,Broj,27,Oba spola,48558.0
2018,Broj,28,Oba spola,48051.0
2018,Broj,29,Oba spola,47707.0
2018,Broj,30,Oba spola,49939.0
2018,Broj,31,Oba spola,49807.0
2018,Broj,32,Oba spola,49532.0
2018,Broj,33,Oba spola,50507.0
2018,Broj,34,Oba spola,51448.0
2018,Broj,35,Oba spola,50794.0
2018,Broj,36,Oba spola,51167.0
2018,Broj,37,Oba spola,50642.0
2018,Broj,38,Oba spola,50330.0
2018,Broj,39,Oba spola,49548.0
2018,Broj,40,Oba spola,49487.0
2018,Broj,41,Oba spola,49317.0
2018,Broj,42,Oba spola,51251.0
2018,Broj,43,Oba spola,49565.0
2018,Broj,44,Oba spola,48524.0
2018,Broj,45,Oba spola,47950.0
2018,Broj,46,Oba spola,49027.0
2018,Broj,47,Oba spola,48514.0
2018,Broj,48,Oba spola,45042.0
2018,Broj,49,Oba spola,48540.0
2018,Broj,50,Oba spola,48827.0
2018,Broj,51,Oba spola,49938.0
2018,Broj,52,Oba spola,51728.0
2018,Broj,53,Oba spola,53243.0
2018,Broj,54,Oba spola,51756.0
2018,Broj,55,Oba spola,52530.0
2018,Broj,56,Oba spola,53922.0
2018,Broj,57,Oba spola,53887.0
2018,Broj,58,Oba spola,53840.0
2018,Broj,59,Oba spola,51985.0
2018,Broj,60,Oba spola,52482.0
2018,Broj,61,Oba spola,47582.0
2018,Broj,62,Oba spola,49876.0
2018,Broj,63,Oba spola,48513.0
2018,Broj,64,Oba spola,49609.0
2018,Broj,65,Oba spola,45978.0
2018,Broj,66,Oba spola,46083.0
2018,Broj,67,Oba spola,37090.0
2018,Broj,68,Oba spola,39423.0
2018,Broj,69,Oba spola,38224.0
2018,Broj,70,Oba spola,33281.0
2018,Broj,71,Oba spola,32296.0
2018,Broj,72,Oba spola,28659.0
2018,Broj,73,Oba spola,22492.0
2018,Broj,74,Oba spola,20934.0
2018,Broj,75,Oba spola,20822.0
2018,Broj,76,Oba spola,21301.0
2018,Broj,77,Oba spola,22722.0
2018,Broj,78,Oba spola,23779.0
2018,Broj,79,Oba spola,21527.0
2018,Broj,80,Oba spola,19847.0
2018,Broj,81,Oba spola,17932.0
2018,Broj,82,Oba spola,15893.0
2018,Broj,83,Oba spola,13748.0
2018,Broj,84,Oba spola,11671.0
2018,Broj,85,Oba spola,9769.0
2018,Broj,86,Oba spola,7840.0
2018,Broj,87,Oba spola,5920.0
2018,Broj,88,Oba spola,5308.0
2018,Broj,89,Oba spola,3658.0
2018,Broj,90,Oba spola,3038.0
2018,Broj,91,Oba spola,1860.0
2018,Broj,92,Oba spola,1327.0
2018,Broj,93,Oba spola,920.0
2018,Broj,94,Oba spola,621.0
2018,Broj,95,Oba spola,409.0
2018,Broj,96,Oba spola,297.0
2018,Broj,97,Oba spola,160.0
2018,Broj,98,Oba spola,122.0
2018,Broj,99,Oba spola,87.0
2018,Broj,100,Oba spola,101.0
2018,Broj,101,Oba spola,60.0
2018,Broj,102,Oba spola,31.0
2018,Broj,103,Oba spola,18.0
2018,Broj,104,Oba spola,11.0
2018,Broj,105,Oba spola,6.0
2018,Broj,106,Oba spola,3.0
2018,Broj,107,Oba spola,2.0
2018,Broj,108,Oba spola,1.0
2018,Broj,109,Oba spola,0.0
2018,Broj,110,Oba spola,0.0
2018,Broj,111,Oba spola,0.0
2018,Broj,112,Oba spola,0.0
2018,Broj,113,Oba spola,0.0
2018,Broj,114,Oba spola,0.0
2018,Broj,115,Oba spola,0.0
2018,Broj,116,Oba spola,0.0
2018,Broj,117,Oba spola,0.0
2018,Broj,118,Oba spola,0.0
2018,Broj,119,Oba spola,0.0
2018,Broj,120+,Oba spola,0.0
2018,_%,Total,Oba spola,100.0
2018,_%,0,Oba spola,0.84
2018,_%,1,Oba spola,0.86
2018,_%,2,Oba spola,0.86
2018,_%,3,Oba spola,0.85
2018,_%,4,Oba spola,0.86
2018,_%,5,Oba spola,0.87
2018,_%,6,Oba spola,0.98
2018,_%,7,Oba spola,0.98
2018,_%,8,Oba spola,1.02
2018,_%,9,Oba spola,1.05
2018,_%,10,Oba spola,1.04
2018,_%,11,Oba spola,1.0
2018,_%,12,Oba spola,1.0
2018,_%,13,Oba spola,1.01
2018,_%,14,Oba spola,1.01
2018,_%,15,Oba spola,1.04
