Year,UNIT_MEASURE,Spol,Starosna dob,Value
1971,Broj,Oba spola,0-4,405505.0
1971,Broj,Oba spola,5-9,442665.0
1971,Broj,Oba spola,10-14,442199.0
1971,Broj,Oba spola,15-19,411387.0
1971,Broj,Oba spola,20-24,319317.0
1971,Broj,Oba spola,25-29,225727.0
1971,Broj,Oba spola,30-34,289810.0
1971,Broj,Oba spola,35-39,280482.0
1971,Broj,Oba spola,40-44,243016.0
1971,Broj,Oba spola,45-49,166241.0
1971,Broj,Oba spola,50-54,101840.0
1971,Broj,Oba spola,55-59,114629.0
1971,Broj,Oba spola,60-64,112727.0
1971,Broj,Oba spola,65-69,79808.0
1971,Broj,Oba spola,70-74,53549.0
1971,Broj,Oba spola,75-79,23050.0
1971,Broj,Oba spola,80-84,12152.0
1971,Broj,Oba spola,85-89,5112.0
1971,Broj,Oba spola,90-94,1938.0
1971,Broj,Oba spola,95-99,672.0
1971,Broj,Oba spola,100-104,62.0
1971,Broj,Oba spola,105-109,0.0
1971,Broj,Oba spola,110-114,0.0
1971,Broj,Oba spola,115-120,0.0
1971,Broj,Oba spola,Unknown,14223.0
1971,Broj,Oba spola,Total,3746111.0
1971,Broj,Oba spola,0-14,1290369.0
1971,Broj,Oba spola,15-29,956431.0
1971,Broj,Oba spola,15-49,1935980.0
1971,Broj,Oba spola,15-64,2265176.0
1971,Broj,Oba spola,65+,190566.0
1971,Broj,Oba spola,75+,57209.0
1971,Broj,Oba spola,85+,7784.0
1971,Broj,Oba spola,100+,62.0
1981,Broj,Oba spola,0-4,348720.0
1981,Broj,Oba spola,5-9,362855.0
1981,Broj,Oba spola,10-14,387869.0
1981,Broj,Oba spola,15-19,428671.0
1981,Broj,Oba spola,20-24,392276.0
1981,Broj,Oba spola,25-29,330104.0
1981,Broj,Oba spola,30-34,259178.0
1981,Broj,Oba spola,35-39,195788.0
1981,Broj,Oba spola,40-44,260540.0
1981,Broj,Oba spola,45-49,254943.0
1981,Broj,Oba spola,50-54,224174.0
1981,Broj,Oba spola,55-59,152576.0
1981,Broj,Oba spola,60-64,89657.0
1981,Broj,Oba spola,65-69,92097.0
1981,Broj,Oba spola,70-74,77492.0
1981,Broj,Oba spola,75-79,44546.0
1981,Broj,Oba spola,80-84,23569.0
1981,Broj,Oba spola,85-89,6881.0
1981,Broj,Oba spola,90-94,2608.0
1981,Broj,Oba spola,95-99,1000.0
1981,Broj,Oba spola,100-104,106.0
1981,Broj,Oba spola,105-109,0.0
1981,Broj,Oba spola,110-114,0.0
1981,Broj,Oba spola,115-120,0.0
1981,Broj,Oba spola,Unknown,5666.0
1981,Broj,Oba spola,Total,3941316.0
1981,Broj,Oba spola,0-14,1099444.0
1981,Broj,Oba spola,15-29,1151051.0
1981,Broj,Oba spola,15-49,2121500.0
1981,Broj,Oba spola,15-64,2587907.0
1981,Broj,Oba spola,65+,253965.0
1981,Broj,Oba spola,75+,84376.0
1981,Broj,Oba spola,85+,10595.0
1981,Broj,Oba spola,100+,106.0
1991,Broj,Oba spola,0-4,322488.0
1991,Broj,Oba spola,5-9,337110.0
1991,Broj,Oba spola,10-14,334737.0
1991,Broj,Oba spola,15-19,342529.0
1991,Broj,Oba spola,20-24,339058.0
1991,Broj,Oba spola,25-29,351369.0
1991,Broj,Oba spola,30-34,343262.0
1991,Broj,Oba spola,35-39,310908.0
1991,Broj,Oba spola,40-44,248999.0
1991,Broj,Oba spola,45-49,184321.0
1991,Broj,Oba spola,50-54,242783.0
1991,Broj,Oba spola,55-59,233048.0
1991,Broj,Oba spola,60-64,196519.0
1991,Broj,Oba spola,65-69,124174.0
1991,Broj,Oba spola,70-74,62699.0
1991,Broj,Oba spola,75-79,50669.0
1991,Broj,Oba spola,80-84,30759.0
1991,Broj,Oba spola,85-89,11524.0
1991,Broj,Oba spola,90-94,2886.0
1991,Broj,Oba spola,95-99,435.0
1991,Broj,Oba spola,100-104,99.0
1991,Broj,Oba spola,105-109,19.0
1991,Broj,Oba spola,110-114,13.0
1991,Broj,Oba spola,115-120,4.0
1991,Broj,Oba spola,Unknown,70227.0
1991,Broj,Oba spola,Total,4140639.0
1991,Broj,Oba spola,0-14,994335.0
1991,Broj,Oba spola,15-29,1032956.0
1991,Broj,Oba spola,15-49,2120446.0
