Year,PYRAMID_SEX,UNIT_MEASURE,PYRAMID_AGE,Value
2018,M,Broj,0-14,255913.0
2020,M,Broj,0-14,247796.39
2025,M,Broj,0-14,222013.71
2030,M,Broj,0-14,199296.65
2035,M,Broj,0-14,176575.87
2040,M,Broj,0-14,155603.5
2045,M,Broj,0-14,138732.12
2050,M,Broj,0-14,125279.59
2055,M,Broj,0-14,113691.16
2060,M,Broj,0-14,102849.69
2065,M,Broj,0-14,92612.55
2070,M,Broj,0-14,83229.23
2018,M,Broj,0-18,333145.0
2020,M,Broj,0-18,320599.07
2025,M,Broj,0-18,293229.7
2030,M,Broj,0-18,259993.17
2035,M,Broj,0-18,232461.57
2040,M,Broj,0-18,205847.01
2045,M,Broj,0-18,182738.42
2050,M,Broj,0-18,163858.32
2055,M,Broj,0-18,148218.85
2060,M,Broj,0-18,134202.15
2065,M,Broj,0-18,121071.07
2070,M,Broj,0-18,108970.91
2018,M,Broj,15-29,337883.0
2020,M,Broj,15-29,308413.08
2025,M,Broj,15-29,260029.98
2030,M,Broj,15-29,222802.14
2035,M,Broj,15-29,202505.62
2040,M,Broj,15-29,181252.18
2045,M,Broj,15-29,162245.69
2050,M,Broj,15-29,143416.75
2055,M,Broj,15-29,126573.33
2060,M,Broj,15-29,113029.38
2065,M,Broj,15-29,102046.81
2070,M,Broj,15-29,92476.25
2018,M,Broj,15-49,840629.0
2020,M,Broj,15-49,796383.95
2025,M,Broj,15-49,695191.33
2030,M,Broj,15-49,598995.44
2035,M,Broj,15-49,512463.51
2040,M,Broj,15-49,440716.72
2045,M,Broj,15-49,384237.59
2050,M,Broj,15-49,336202.4
2055,M,Broj,15-49,300805.65
2060,M,Broj,15-49,267989.93
2065,M,Broj,15-49,240180.19
2070,M,Broj,15-49,215183.81
2018,M,Broj,15-64,1215068.0
2020,M,Broj,15-64,1165216.13
2025,M,Broj,15-64,1048187.78
2030,M,Broj,15-64,930823.0
2035,M,Broj,15-64,828174.6
2040,M,Broj,15-64,732041.19
2045,M,Broj,15-64,639446.55
2050,M,Broj,15-64,553092.29
2055,M,Broj,15-64,479237.28
2060,M,Broj,15-64,420813.0
2065,M,Broj,15-64,371840.92
2070,M,Broj,15-64,334558.77
2018,M,Broj,65+,243272.0
2020,M,Broj,65+,263804.83
2025,M,Broj,65+,311898.61
2030,M,Broj,65+,354143.93
2035,M,Broj,65+,377698.02
2040,M,Broj,65+,390474.03
2045,M,Broj,65+,395318.86
2050,M,Broj,65+,392428.7
2055,M,Broj,65+,379122.43
2060,M,Broj,65+,354612.84
2065,M,Broj,65+,326096.54
2070,M,Broj,65+,291938.72
2018,M,Broj,75+,89422.0
2020,M,Broj,75+,90069.64
2025,M,Broj,75+,109078.39
2030,M,Broj,75+,139429.42
2035,M,Broj,75+,170498.17
2040,M,Broj,75+,195835.35
2045,M,Broj,75+,207084.94
2050,M,Broj,75+,212616.5
2055,M,Broj,75+,215262.57
2060,M,Broj,75+,214471.85
2065,M,Broj,75+,207249.9
2070,M,Broj,75+,192567.31
2018,M,Broj,85+,14573.0
2020,M,Broj,85+,17447.59
2025,M,Broj,85+,24778.28
2030,M,Broj,85+,26232.8
2035,M,Broj,85+,35487.64
2040,M,Broj,85+,49540.75
2045,M,Broj,85+,62942.54
2050,M,Broj,85+,73464.87
2055,M,Broj,85+,77624.86
2060,M,Broj,85+,80660.52
2065,M,Broj,85+,83458.39
2070,M,Broj,85+,85035.01
2018,M,Broj,100+,85.0
2020,M,Broj,100+,62.98
2025,M,Broj,100+,68.86
2030,M,Broj,100+,199.65
2035,M,Broj,100+,394.66
2040,M,Broj,100+,661.68
2045,M,Broj,100+,738.63
2050,M,Broj,100+,1327.84
2055,M,Broj,100+,2127.69
2060,M,Broj,100+,2885.64
2065,M,Broj,100+,3539.93
2070,M,Broj,100+,3839.44
2018,F,Broj,0-14,241267.0
2020,F,Broj,0-14,233772.58
2025,F,Broj,0-14,209817.07
2030,F,Broj,0-14,188433.34
2035,F,Broj,0-14,167733.42
2040,F,Broj,0-14,147983.55
2045,F,Broj,0-14,132070.82
2050,F,Broj,0-14,119361.34
2055,F,Broj,0-14,108389.87
2060,F,Broj,0-14,98105.63
2065,F,Broj,0-14,88382.47
2070,F,Broj,0-14,79463.21
2018,F,Broj,0-18,314180.0
2020,F,Broj,0-18,302711.47
2025,F,Broj,0-18,277800.3
2030,F,Broj,0-18,246910.42
2035,F,Broj,0-18,221225.26
2040,F,Broj,0-18,196518.81
2045,F,Broj,0-18,174699.57
2050,F,Broj,0-18,156830.06
2055,F,Broj,0-18,141991.38
2060,F,Broj,0-18,128659.24
2065,F,Broj,0-18,116146.01
2070,F,Broj,0-18,104600.82
2018,F,Broj,15-29,321040.0
2020,F,Broj,15-29,297789.84
2025,F,Broj,15-29,257232.59
2030,F,Broj,15-29,221901.59
2035,F,Broj,15-29,202788.14
2040,F,Broj,15-29,182268.0
2045,F,Broj,15-29,163766.6
2050,F,Broj,15-29,145797.58
2055,F,Broj,15-29,129036.58
2060,F,Broj,15-29,115443.4
2065,F,Broj,15-29,104393.65
2070,F,Broj,15-29,94758.33
2018,F,Broj,15-49,809225.0
2020,F,Broj,15-49,779247.51
2025,F,Broj,15-49,705653.38
2030,F,Broj,15-49,628498.3
2035,F,Broj,15-49,551466.16
2040,F,Broj,15-49,482860.57
2045,F,Broj,15-49,425594.62
2050,F,Broj,15-49,374178.58
2055,F,Broj,15-49,337809.12
2060,F,Broj,15-49,302324.9
2065,F,Broj,15-49,271838.13
2070,F,Broj,15-49,244466.28
2018,F,Broj,15-64,1204504.0
2020,F,Broj,15-64,1166615.16
2025,F,Broj,15-64,1075232.96
2030,F,Broj,15-64,979786.19
2035,F,Broj,15-64,895261.86
2040,F,Broj,15-64,812224.01
2045,F,Broj,15-64,726732.31
2050,F,Broj,15-64,641137.88
2055,F,Broj,15-64,563367.65
2060,F,Broj,15-64,498858.89
2065,F,Broj,15-64,442196.08
2070,F,Broj,15-64,400443.26
2018,F,Broj,65+,331999.0
2020,F,Broj,65+,353111.26
2025,F,Broj,65+,402376.33
2030,F,Broj,65+,444600.77
2035,F,Broj,65+,466816.23
2040,F,Broj,65+,479631.45
2045,F,Broj,65+,486162.18
2050,F,Broj,65+,487400.87
2055,F,Broj,65+,479593.8
2060,F,Broj,65+,460160.29
2065,F,Broj,65+,435651.65
2070,F,Broj,65+,399281.71
2018,F,Broj,75+,141389.0
2020,F,Broj,75+,142340.61
2025,F,Broj,75+,166723.57
