Year,Spol,UNIT_MEASURE,Value
2018,Oba spola,Broj,41.6
2020,Oba spola,Broj,42.45
2025,Oba spola,Broj,44.5
2030,Oba spola,Broj,46.44
2035,Oba spola,Broj,48.27
2040,Oba spola,Broj,49.91
2045,Oba spola,Broj,51.31
2050,Oba spola,Broj,52.46
2055,Oba spola,Broj,53.39
2060,Oba spola,Broj,54.16
2065,Oba spola,Broj,54.77
2070,Oba spola,Broj,55.22
2018,M,Broj,40.31
2020,M,Broj,41.2
2025,M,Broj,43.3
2030,M,Broj,45.28
2035,M,Broj,47.12
2040,M,Broj,48.74
2045,M,Broj,50.1
2050,M,Broj,51.18
2055,M,Broj,52.03
2060,M,Broj,52.66
2065,M,Broj,53.1
2070,M,Broj,53.38
2018,Ž,Broj,42.84
2020,Ž,Broj,43.65
2025,Ž,Broj,45.62
2030,Ž,Broj,47.51
2035,Ž,Broj,49.32
2040,Ž,Broj,50.95
2045,Ž,Broj,52.36
2050,Ž,Broj,53.55
2055,Ž,Broj,54.55
2060,Ž,Broj,55.4
2065,Ž,Broj,56.13
2070,Ž,Broj,56.7
