Year,UNIT_MEASURE,Entitet,Value
2005,Broj,BiH,142
2005,Broj,Republika Srpska,142
2006,Broj,BiH,139
2006,Broj,Republika Srpska,139
2007,Broj,BiH,362
2007,Broj,FBiH,178
2007,Broj,Republika Srpska,184
2008,Broj,BiH,326
2008,Broj,FBiH,131
2008,Broj,Republika Srpska,195
2009,Broj,BiH,369
2009,Broj,FBiH,177
2009,Broj,Republika Srpska,192
2010,Broj,BiH,424
2010,Broj,FBiH,151
2010,Broj,Republika Srpska,273
2011,Broj,BiH,299
2011,Broj,FBiH,123
2011,Broj,Republika Srpska,176
2012,Broj,BiH,174
2012,Broj,FBiH,174
2013,Broj,BiH,99
2013,Broj,FBiH,99
2014,Broj,BiH,169
2014,Broj,FBiH,169
2015,Broj,BiH,158
2015,Broj,FBiH,158
2016,Broj,BiH,407
2016,Broj,FBiH,215
2016,Broj,Republika Srpska,192
2017,Broj,BiH,115
2017,Broj,FBiH,115
