Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,282.0
2001,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,253.0
2002,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,230.0
2003,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,213.0
2004,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,200.0
2005,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,191.0
2006,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,186.0
2007,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,183.0
2008,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,181.0
2009,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,177.0
2010,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,171.0
2011,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,164.0
2012,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,156.0
2013,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,147.0
2014,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,139.0
2015,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,131.0
2016,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,124.0
2017,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,117.0
2018,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola,111.0
2000,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,6.8
2001,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,6.5
2002,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,6.2
2003,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.9
2004,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.7
2005,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.5
2006,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.4
2007,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.3
2008,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.2
2009,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.2
2010,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,5.1
2011,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.9
2012,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.8
2013,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.6
2014,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.5
2015,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.4
2016,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.3
2017,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.2
2018,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola,4.1
