Year,UNIT_MEASURE,Spol,ENROLMENT,Value
2001,Broj,Oba spola,enrolment_in_pre_school,15004.0
2002,Broj,Oba spola,enrolment_in_pre_school,11692.0
2003,Broj,Oba spola,enrolment_in_pre_school,13548.0
2004,Broj,Oba spola,enrolment_in_pre_school,13135.0
2005,Broj,Oba spola,enrolment_in_pre_school,12989.0
2006,Broj,Oba spola,enrolment_in_pre_school,13384.0
2007,Broj,Oba spola,enrolment_in_pre_school,14517.0
2008,Broj,Oba spola,enrolment_in_pre_school,16260.0
2009,Broj,Oba spola,enrolment_in_pre_school,16789.0
2010,Broj,Oba spola,enrolment_in_pre_school,17028.0
2011,Broj,Oba spola,enrolment_in_pre_school,17293.0
2012,Broj,Oba spola,enrolment_in_pre_school,18817.0
2013,Broj,Oba spola,enrolment_in_pre_school,19880.0
2014,Broj,Oba spola,enrolment_in_pre_school,21490.0
2015,Broj,Oba spola,enrolment_in_pre_school,22901.0
2016,Broj,Oba spola,enrolment_in_pre_school,24918.0
2017,Broj,Oba spola,enrolment_in_pre_school,25889.0
2018,Broj,Oba spola,enrolment_in_pre_school,28511.0
2019,Broj,Oba spola,enrolment_in_pre_school,30587.0
2020,Broj,Oba spola,enrolment_in_pre_school,27698.0
2001,Broj,Muškarci,enrolment_in_pre_school,7873.0
2002,Broj,Muškarci,enrolment_in_pre_school,7671.0
2003,Broj,Muškarci,enrolment_in_pre_school,7147.0
2004,Broj,Muškarci,enrolment_in_pre_school,6897.0
2005,Broj,Muškarci,enrolment_in_pre_school,6877.0
2006,Broj,Muškarci,enrolment_in_pre_school,7085.0
2007,Broj,Muškarci,enrolment_in_pre_school,7619.0
2008,Broj,Muškarci,enrolment_in_pre_school,8497.0
2009,Broj,Muškarci,enrolment_in_pre_school,8706.0
2010,Broj,Muškarci,enrolment_in_pre_school,8962.0
2011,Broj,Muškarci,enrolment_in_pre_school,9082.0
2012,Broj,Muškarci,enrolment_in_pre_school,9859.0
2013,Broj,Muškarci,enrolment_in_pre_school,10497.0
2014,Broj,Muškarci,enrolment_in_pre_school,11200.0
2015,Broj,Muškarci,enrolment_in_pre_school,11918.0
2016,Broj,Muškarci,enrolment_in_pre_school,13086.0
2017,Broj,Muškarci,enrolment_in_pre_school,13436.0
2018,Broj,Muškarci,enrolment_in_pre_school,14855.0
2019,Broj,Muškarci,enrolment_in_pre_school,15857.0
2020,Broj,Muškarci,enrolment_in_pre_school,14477.0
2001,Broj,Žene,enrolment_in_pre_school,7131.0
2002,Broj,Žene,enrolment_in_pre_school,4021.0
2003,Broj,Žene,enrolment_in_pre_school,6401.0
2004,Broj,Žene,enrolment_in_pre_school,6238.0
2005,Broj,Žene,enrolment_in_pre_school,6112.0
2006,Broj,Žene,enrolment_in_pre_school,6299.0
2007,Broj,Žene,enrolment_in_pre_school,6898.0
2008,Broj,Žene,enrolment_in_pre_school,7763.0
2009,Broj,Žene,enrolment_in_pre_school,8083.0
2010,Broj,Žene,enrolment_in_pre_school,8066.0
2011,Broj,Žene,enrolment_in_pre_school,8211.0
2012,Broj,Žene,enrolment_in_pre_school,8958.0
2013,Broj,Žene,enrolment_in_pre_school,9383.0
2014,Broj,Žene,enrolment_in_pre_school,10290.0
2015,Broj,Žene,enrolment_in_pre_school,10983.0
2016,Broj,Žene,enrolment_in_pre_school,11832.0
2017,Broj,Žene,enrolment_in_pre_school,12453.0
2018,Broj,Žene,enrolment_in_pre_school,13656.0
2019,Broj,Žene,enrolment_in_pre_school,14730.0
2020,Broj,Žene,enrolment_in_pre_school,13221.0
1996,Broj,Oba spola,enrolment_in_primary_school_education,390399.0
1997,Broj,Oba spola,enrolment_in_primary_school_education,396103.0
1998,Broj,Oba spola,enrolment_in_primary_school_education,402912.0
1999,Broj,Oba spola,enrolment_in_primary_school_education,391533.0
2000,Broj,Oba spola,enrolment_in_primary_school_education,369709.0
2001,Broj,Oba spola,enrolment_in_primary_school_education,364481.0
2002,Broj,Oba spola,enrolment_in_primary_school_education,360959.0
2003,Broj,Oba spola,enrolment_in_primary_school_education,374915.0
2004,Broj,Oba spola,enrolment_in_primary_school_education,380686.0
2005,Broj,Oba spola,enrolment_in_primary_school_education,374707.0
2006,Broj,Oba spola,enrolment_in_primary_school_education,367176.0
2007,Broj,Oba spola,enrolment_in_primary_school_education,362474.0
2008,Broj,Oba spola,enrolment_in_primary_school_education,359925.0
2009,Broj,Oba spola,enrolment_in_primary_school_education,351118.0
2010,Broj,Oba spola,enrolment_in_primary_school_education,335403.0
