Year,UNIT_MEASURE,school_year,Spol,Value
2013,Broj,2011/2012,Oba spola,2861
2013,Broj,2012/2013,Oba spola,3156
2013,Broj,2013/2014,Oba spola,3228
2013,Broj,2014/2015,Oba spola,3534
2013,Broj,2015/2016,Oba spola,3780
2013,Broj,2016/2017,Oba spola,4453
2013,Broj,2017/2018,Oba spola,4884
2013,Broj,2018/2019,Oba spola,5663
2013,Broj,2019/2020,Oba spola,6076
2013,Broj,2020/2021,Oba spola,5751
2013,Broj,2011/2012,M,1528
2013,Broj,2012/2013,M,1616
2013,Broj,2013/2014,M,1719
2013,Broj,2014/2015,M,1808
2013,Broj,2015/2016,M,2009
2013,Broj,2016/2017,M,2403
2013,Broj,2017/2018,M,2535
2013,Broj,2018/2019,M,2948
2013,Broj,2019/2020,M,3137
2013,Broj,2020/2021,M,2854
2013,Broj,2011/2012,Ž,1333
2013,Broj,2012/2013,Ž,1540
2013,Broj,2013/2014,Ž,1509
2013,Broj,2014/2015,Ž,1726
2013,Broj,2015/2016,Ž,1771
2013,Broj,2016/2017,Ž,2050
2013,Broj,2017/2018,Ž,2349
2013,Broj,2018/2019,Ž,2715
2013,Broj,2019/2020,Ž,2939
2013,Broj,2020/2021,Ž,2897
