Year,UNIT_MEASURE,school_year_beginning,Type_of_school,Spol,Value
2013,Broj,2011/2012,_T,Oba spola,163284
2013,Broj,2012/2013,_T,Oba spola,166662
2013,Broj,2013/2014,_T,Oba spola,156350
2013,Broj,2014/2015,_T,Oba spola,143881
2013,Broj,2015/2016,_T,Oba spola,133228
2013,Broj,2016/2017,_T,Oba spola,126824
2013,Broj,2017/2018,_T,Oba spola,124148
2013,Broj,2018/2019,_T,Oba spola,117475
2013,Broj,2019/2020,_T,Oba spola,112796
2013,Broj,2020/2021,_T,Oba spola,110404
2013,Broj,2011/2012,gymnasium,Oba spola,41081
2013,Broj,2012/2013,gymnasium,Oba spola,42225
2013,Broj,2013/2014,gymnasium,Oba spola,40065
2013,Broj,2014/2015,gymnasium,Oba spola,37132
2013,Broj,2015/2016,gymnasium,Oba spola,33321
2013,Broj,2016/2017,gymnasium,Oba spola,30615
2013,Broj,2017/2018,gymnasium,Oba spola,29591
2013,Broj,2018/2019,gymnasium,Oba spola,26731
2013,Broj,2019/2020,gymnasium,Oba spola,24817
2013,Broj,2020/2021,gymnasium,Oba spola,23867
2013,Broj,2011/2012,technical_schools,Oba spola,83704
2013,Broj,2012/2013,technical_schools,Oba spola,86539
2013,Broj,2013/2014,technical_schools,Oba spola,82743
2013,Broj,2014/2015,technical_schools,Oba spola,77388
2013,Broj,2015/2016,technical_schools,Oba spola,72109
2013,Broj,2016/2017,technical_schools,Oba spola,68743
2013,Broj,2017/2018,technical_schools,Oba spola,67895
2013,Broj,2018/2019,technical_schools,Oba spola,64706
2013,Broj,2019/2020,technical_schools,Oba spola,62846
2013,Broj,2020/2021,technical_schools,Oba spola,61811
2013,Broj,2011/2012,art_schools,Oba spola,1514
2013,Broj,2012/2013,art_schools,Oba spola,1520
2013,Broj,2013/2014,art_schools,Oba spola,1445
2013,Broj,2014/2015,art_schools,Oba spola,1291
2013,Broj,2015/2016,art_schools,Oba spola,1216
2013,Broj,2016/2017,art_schools,Oba spola,1203
2013,Broj,2017/2018,art_schools,Oba spola,1154
2013,Broj,2018/2019,art_schools,Oba spola,1166
2013,Broj,2019/2020,art_schools,Oba spola,1139
2013,Broj,2020/2021,art_schools,Oba spola,1151
