Year,UNIT_MEASURE,QUANTITY,Entitet,Value
1997,Broj,total_millions,BiH,6752.0
1998,Broj,total_millions,BiH,7650.0
1999,Broj,total_millions,BiH,8604.0
2000,Broj,total_millions,BiH,9611.0
2001,Broj,total_millions,BiH,10480.0
2002,Broj,total_millions,BiH,11651.0
2003,Broj,total_millions,BiH,12303.0
2004,Broj,total_millions,BiH,13497.0
2005,Broj,total_millions,BiH,17649.0
2006,Broj,total_millions,BiH,20056.0
2007,Broj,total_millions,BiH,22548.0
2008,Broj,total_millions,BiH,25519.0
2009,Broj,total_millions,BiH,24799.0
2010,Broj,total_millions,BiH,25365.0
2011,Broj,total_millions,BiH,26231.0
2012,Broj,total_millions,BiH,26223.0
2013,Broj,total_millions,BiH,26779.0
2014,Broj,total_millions,BiH,27358.0
2015,Broj,total_millions,BiH,28589.0
2016,Broj,total_millions,BiH,29905.0
2017,Broj,total_millions,BiH,31377.0
2018,Broj,total_millions,BiH,33445.0
2019,Broj,total_millions,BiH,35295.0
1997,Broj,total_millions,Federacija BiH,4943.0
1998,Broj,total_millions,Federacija BiH,5606.0
1999,Broj,total_millions,Federacija BiH,6142.0
2000,Broj,total_millions,Federacija BiH,6723.0
2001,Broj,total_millions,Federacija BiH,7274.0
2002,Broj,total_millions,Federacija BiH,7943.0
2003,Broj,total_millions,Federacija BiH,8268.0
2004,Broj,total_millions,Federacija BiH,8897.0
2005,Broj,total_millions,Federacija BiH,11506.0
2006,Broj,total_millions,Federacija BiH,13036.0
2007,Broj,total_millions,Federacija BiH,14629.0
2008,Broj,total_millions,Federacija BiH,16426.0
2009,Broj,total_millions,Federacija BiH,15987.0
2010,Broj,total_millions,Federacija BiH,16461.0
2011,Broj,total_millions,Federacija BiH,16927.0
2012,Broj,total_millions,Federacija BiH,17013.0
2013,Broj,total_millions,Federacija BiH,17379.0
2014,Broj,total_millions,Federacija BiH,17827.0
2015,Broj,total_millions,Federacija BiH,18688.0
2016,Broj,total_millions,Federacija BiH,19540.0
2017,Broj,total_millions,Federacija BiH,20540.0
2018,Broj,total_millions,Federacija BiH,21984.0
2019,Broj,total_millions,Federacija BiH,23179.0
1997,Broj,total_millions,Republika Srpska,1809.0
1998,Broj,total_millions,Republika Srpska,2044.0
1999,Broj,total_millions,Republika Srpska,2462.0
2000,Broj,total_millions,Republika Srpska,2734.0
2001,Broj,total_millions,Republika Srpska,2993.0
2002,Broj,total_millions,Republika Srpska,3417.0
2003,Broj,total_millions,Republika Srpska,3717.0
2004,Broj,total_millions,Republika Srpska,4226.0
2005,Broj,total_millions,Republika Srpska,5695.0
2006,Broj,total_millions,Republika Srpska,6550.0
2007,Broj,total_millions,Republika Srpska,7366.0
2008,Broj,total_millions,Republika Srpska,8507.0
2009,Broj,total_millions,Republika Srpska,8257.0
2010,Broj,total_millions,Republika Srpska,8336.0
2011,Broj,total_millions,Republika Srpska,8703.0
2012,Broj,total_millions,Republika Srpska,8615.0
2013,Broj,total_millions,Republika Srpska,8793.0
2014,Broj,total_millions,Republika Srpska,8887.0
2015,Broj,total_millions,Republika Srpska,9205.0
2016,Broj,total_millions,Republika Srpska,9631.0
2017,Broj,total_millions,Republika Srpska,10077.0
2018,Broj,total_millions,Republika Srpska,10680.0
2019,Broj,total_millions,Republika Srpska,11251.0
2000,Broj,total_millions,Brčko Distrikt BiH,154.0
2001,Broj,total_millions,Brčko Distrikt BiH,213.0
2002,Broj,total_millions,Brčko Distrikt BiH,291.0
2003,Broj,total_millions,Brčko Distrikt BiH,318.0
2004,Broj,total_millions,Brčko Distrikt BiH,374.0
2005,Broj,total_millions,Brčko Distrikt BiH,448.0
2006,Broj,total_millions,Brčko Distrikt BiH,470.0
2007,Broj,total_millions,Brčko Distrikt BiH,553.0
2008,Broj,total_millions,Brčko Distrikt BiH,586.0
2009,Broj,total_millions,Brčko Distrikt BiH,555.0
2010,Broj,total_millions,Brčko Distrikt BiH,568.0
2011,Broj,total_millions,Brčko Distrikt BiH,601.0
2012,Broj,total_millions,Brčko Distrikt BiH,595.0
2013,Broj,total_millions,Brčko Distrikt BiH,607.0
2014,Broj,total_millions,Brčko Distrikt BiH,644.0
2015,Broj,total_millions,Brčko Distrikt BiH,696.0
2016,Broj,total_millions,Brčko Distrikt BiH,734.0
2017,Broj,total_millions,Brčko Distrikt BiH,760.0
