Year,Value,UNIT_MEASURE
1971,6.6,Broj na 1.000 stanovnika
1972,7.0,Broj na 1.000 stanovnika
1973,6.4,Broj na 1.000 stanovnika
1974,6.0,Broj na 1.000 stanovnika
1975,6.4,Broj na 1.000 stanovnika
1976,6.2,Broj na 1.000 stanovnika
1977,6.1,Broj na 1.000 stanovnika
1978,6.3,Broj na 1.000 stanovnika
1979,6.1,Broj na 1.000 stanovnika
1980,6.4,Broj na 1.000 stanovnika
1981,6.3,Broj na 1.000 stanovnika
1982,6.4,Broj na 1.000 stanovnika
1983,7.2,Broj na 1.000 stanovnika
1984,6.9,Broj na 1.000 stanovnika
1985,6.9,Broj na 1.000 stanovnika
1986,6.9,Broj na 1.000 stanovnika
1987,6.9,Broj na 1.000 stanovnika
1988,6.9,Broj na 1.000 stanovnika
1989,7.0,Broj na 1.000 stanovnika
1990,6.7,Broj na 1.000 stanovnika
1991,7.2,Broj na 1.000 stanovnika
1996,6.9,Broj na 1.000 stanovnika
1997,7.5,Broj na 1.000 stanovnika
1998,7.9,Broj na 1.000 stanovnika
1999,7.7,Broj na 1.000 stanovnika
2000,8.1,Broj na 1.000 stanovnika
2001,8.0,Broj na 1.000 stanovnika
2002,7.9,Broj na 1.000 stanovnika
2003,8.3,Broj na 1.000 stanovnika
2004,8.5,Broj na 1.000 stanovnika
2005,9.0,Broj na 1.000 stanovnika
2006,8.6,Broj na 1.000 stanovnika
2007,9.1,Broj na 1.000 stanovnika
2008,8.9,Broj na 1.000 stanovnika
2009,9.1,Broj na 1.000 stanovnika
2010,9.1,Broj na 1.000 stanovnika
2011,9.1,Broj na 1.000 stanovnika
2012,9.3,Broj na 1.000 stanovnika
2013,10.1,Broj na 1.000 stanovnika
2014,10.2,Broj na 1.000 stanovnika
2015,10.8,Broj na 1.000 stanovnika
2016,10.4,Broj na 1.000 stanovnika
2017,10.8,Broj na 1.000 stanovnika
2018,10.8,Broj na 1.000 stanovnika
2019,11.1,Broj na 1.000 stanovnika
