Year,Пол,UNIT_MEASURE,Value
1996,Оба пола,Број,653
1997,Оба пола,Број,601
1998,Оба пола,Број,494
1999,Оба пола,Број,431
2000,Оба пола,Број,383
2001,Оба пола,Број,287
2002,Оба пола,Број,334
2003,Оба пола,Број,268
2004,Оба пола,Број,253
2005,Оба пола,Број,233
2006,Оба пола,Број,255
2007,Оба пола,Број,231
2008,Оба пола,Број,235
2009,Оба пола,Број,224
2010,Оба пола,Број,216
2011,Оба пола,Број,184
2012,Оба пола,Број,177
2013,Оба пола,Број,181
2014,Оба пола,Број,156
2015,Оба пола,Број,182
2016,Оба пола,Број,178
2017,Оба пола,Број,196
2018,Оба пола,Број,183
2019,Оба пола,Број,190
1996,M,Број,360
1997,M,Број,369
1998,M,Број,302
1999,M,Број,242
2000,M,Број,220
2001,M,Број,159
2002,M,Број,191
2003,M,Број,154
2004,M,Број,151
2005,M,Број,133
2006,M,Број,158
2007,M,Број,132
2008,M,Број,131
2009,M,Број,116
2010,M,Број,125
2011,M,Број,111
2012,M,Број,111
2013,M,Број,109
2014,M,Број,74
2015,M,Број,94
2016,M,Број,111
2017,M,Број,105
2018,M,Број,91
2019,M,Број,102
1996,Ж,Број,293
1997,Ж,Број,232
1998,Ж,Број,192
1999,Ж,Број,189
2000,Ж,Број,163
2001,Ж,Број,128
2002,Ж,Број,143
2003,Ж,Број,114
2004,Ж,Број,102
2005,Ж,Број,100
2006,Ж,Број,97
2007,Ж,Број,99
2008,Ж,Број,104
2009,Ж,Број,108
2010,Ж,Број,91
2011,Ж,Број,73
2012,Ж,Број,66
2013,Ж,Број,72
2014,Ж,Број,82
2015,Ж,Број,88
2016,Ж,Број,67
2017,Ж,Број,91
2018,Ж,Број,92
2019,Ж,Број,88
