Year,UNIT_MEASURE,Ентитет,Value
1965,Број,BiH,107.61
1970,Број,BiH,107.0
1975,Број,BiH,106.91
1980,Број,BiH,106.81
1988,Број,BiH,107.9
1989,Број,BiH,105.4
1990,Број,BiH,106.56
1991,Број,BiH,105.61
1996,Број,BiH,109.92
1997,Број,BiH,109.51
1998,Број,BiH,108.54
1999,Број,BiH,103.88
2000,Број,BiH,106.53
2001,Број,BiH,105.91
2002,Број,BiH,105.82
2003,Број,BiH,108.44
2004,Број,BiH,106.55
2005,Број,BiH,105.75
2006,Број,BiH,106.44
2007,Број,BiH,107.56
2008,Број,BiH,105.99
2009,Број,BiH,108.77
2010,Број,BiH,106.31
2011,Број,BiH,108.19
2012,Број,BiH,106.56
2013,Број,BiH,106.64
2014,Број,BiH,106.31
2015,Број,BiH,105.85
2016,Број,BiH,108.63
2017,Број,BiH,107.9
2018,Број,BiH,107.53
2019,Број,BiH,109.24
1997,Број,Федерација БиХ,109.9
1998,Број,Федерација БиХ,107.98
1999,Број,Федерација БиХ,103.79
2000,Број,Федерација БиХ,106.55
2001,Број,Федерација БиХ,105.79
2002,Број,Федерација БиХ,105.42
2003,Број,Федерација БиХ,109.0
2004,Број,Федерација БиХ,106.52
2005,Број,Федерација БиХ,106.01
2006,Број,Федерација БиХ,107.81
2007,Број,Федерација БиХ,108.36
2008,Број,Федерација БиХ,104.83
2009,Број,Федерација БиХ,107.6
2010,Број,Федерација БиХ,106.84
2011,Број,Федерација БиХ,107.83
2012,Број,Федерација БиХ,108.1
2013,Број,Федерација БиХ,106.53
2014,Број,Федерација БиХ,105.05
2015,Број,Федерација БиХ,104.33
2016,Број,Федерација БиХ,108.19
2017,Број,Федерација БиХ,107.0
2018,Број,Федерација БиХ,106.39
2019,Број,Федерација БиХ,107.66
1996,Број,Република Српска,108.02
1997,Број,Република Српска,109.04
1998,Број,Република Српска,109.85
1999,Број,Република Српска,104.05
2000,Број,Република Српска,106.5
2001,Број,Република Српска,106.12
2002,Број,Република Српска,106.6
2003,Број,Република Српска,107.14
2004,Број,Република Српска,107.86
2005,Број,Република Српска,105.62
2006,Број,Република Српска,103.44
2007,Број,Република Српска,106.03
2008,Број,Република Српска,106.6
2009,Број,Република Српска,110.96
2010,Број,Република Српска,104.45
2011,Број,Република Српска,109.99
2012,Број,Република Српска,104.09
2013,Број,Република Српска,106.6
2014,Број,Република Српска,107.95
2015,Број,Република Српска,107.24
2016,Број,Република Српска,109.07
2017,Број,Република Српска,109.72
2018,Број,Република Српска,109.5
2019,Број,Република Српска,112.37
2002,Број,Брчко Дистрикт БиХ,129.67
2003,Број,Брчко Дистрикт БиХ,103.09
2004,Број,Брчко Дистрикт БиХ,91.07
2005,Број,Брчко Дистрикт БиХ,107.43
2006,Број,Брчко Дистрикт БиХ,111.11
2007,Број,Брчко Дистрикт БиХ,106.78
2008,Број,Брчко Дистрикт БиХ,129.7
2009,Број,Брчко Дистрикт БиХ,113.5
2010,Број,Брчко Дистрикт БиХ,114.02
2011,Број,Брчко Дистрикт БиХ,98.03
2012,Број,Брчко Дистрикт БиХ,99.59
2013,Број,Брчко Дистрикт БиХ,113.33
2014,Број,Брчко Дистрикт БиХ,118.81
2015,Број,Брчко Дистрикт БиХ,122.97
2016,Број,Брчко Дистрикт БиХ,116.26
2017,Број,Брчко Дистрикт БиХ,110.8
2018,Број,Брчко Дистрикт БиХ,108.47
2019,Број,Брчко Дистрикт БиХ,102.93
