Year,Административно подручје,UNIT_MEASURE,Value
1996,BiH,Број,21107
1997,BiH,Број,23220
1998,BiH,Број,22398
1999,BiH,Број,22472
2000,BiH,Број,21897
2001,BiH,Број,20302
2002,BiH,Број,20122
2003,BiH,Број,20733
2004,BiH,Број,22252
2005,BiH,Број,21698
2006,BiH,Број,21501
2007,BiH,Број,23494
2008,BiH,Број,22151
2009,BiH,Број,20633
2010,BiH,Број,19541
2011,BiH,Број,19156
2012,BiH,Број,18235
2013,BiH,Број,17623
2014,BiH,Број,18643
2015,BiH,Број,19686
2016,BiH,Број,19265
2017,BiH,Број,19969
2018,BiH,Број,19911
2019,BiH,Број,18952
