Year,UNIT_MEASURE,Административно подручје,Value
1997,Број,BiH,1835
1998,Број,BiH,1964
1999,Број,BiH,1995
2000,Број,BiH,1929
2001,Број,BiH,2126
2002,Број,BiH,2272
2003,Број,BiH,1918
2004,Број,BiH,1523
2005,Број,BiH,1763
2006,Број,BiH,1659
2007,Број,BiH,1826
2008,Број,BiH,1369
2009,Број,BiH,1402
2010,Број,BiH,1676
2011,Број,BiH,2309
2012,Број,BiH,2294
2013,Број,BiH,2609
2014,Број,BiH,2686
2015,Број,BiH,2963
2016,Број,BiH,2773
2017,Број,BiH,3022
2018,Број,BiH,3091
2019,Број,BiH,2790
1996,Број,Федерација БиХ,378
1997,Број,Федерација БиХ,1098
1998,Број,Федерација БиХ,1163
1999,Број,Федерација БиХ,1201
2000,Број,Федерација БиХ,1180
2001,Број,Федерација БиХ,1286
2002,Број,Федерација БиХ,1424
2003,Број,Федерација БиХ,1174
2004,Број,Федерација БиХ,857
2005,Број,Федерација БиХ,966
2006,Број,Федерација БиХ,933
2007,Број,Федерација БиХ,1031
2008,Број,Федерација БиХ,938
2009,Број,Федерација БиХ,805
2010,Број,Федерација БиХ,994
2011,Број,Федерација БиХ,1221
2012,Број,Федерација БиХ,1176
2013,Број,Федерација БиХ,1364
2014,Број,Федерација БиХ,1321
2015,Број,Федерација БиХ,1502
2016,Број,Федерација БиХ,1445
2017,Број,Федерација БиХ,1725
2018,Број,Федерација БиХ,1823
2019,Број,Федерација БиХ,1673
1997,Број,Република Српска,655
1998,Број,Република Српска,734
1999,Број,Република Српска,738
2000,Број,Република Српска,708
2001,Број,Република Српска,830
2002,Број,Република Српска,848
2003,Број,Република Српска,744
2004,Број,Република Српска,637
2005,Број,Република Српска,721
2006,Број,Република Српска,526
2007,Број,Република Српска,596
2008,Број,Република Српска,317
2009,Број,Република Српска,455
2010,Број,Република Српска,517
2011,Број,Република Српска,886
2012,Број,Република Српска,878
2013,Број,Република Српска,1052
2014,Број,Република Српска,1106
2015,Број,Република Српска,1143
2016,Број,Република Српска,1025
2017,Број,Република Српска,985
2018,Број,Република Српска,963
2019,Број,Република Српска,920
2002,Број,Брчко дистрикт БиХ,58
2003,Број,Брчко дистрикт БиХ,80
2004,Број,Брчко дистрикт БиХ,96
2005,Број,Брчко дистрикт БиХ,85
2006,Број,Брчко дистрикт БиХ,91
2007,Број,Брчко дистрикт БиХ,94
2008,Број,Брчко дистрикт БиХ,82
2009,Број,Брчко дистрикт БиХ,139
2010,Број,Брчко дистрикт БиХ,154
2011,Број,Брчко дистрикт БиХ,199
2012,Број,Брчко дистрикт БиХ,236
2013,Број,Брчко дистрикт БиХ,191
2014,Број,Брчко дистрикт БиХ,251
2015,Број,Брчко дистрикт БиХ,311
2016,Број,Брчко дистрикт БиХ,289
2017,Број,Брчко дистрикт БиХ,295
2018,Број,Брчко дистрикт БиХ,298
2019,Број,Брчко дистрикт БиХ,187
