Year,UNIT_MEASURE,Value
1971,Број на 1000 бракова,88.2
1981,Број на 1000 бракова,93.3
1991,Број на 1000 бракова,56.3
1997,Број на 1000 бракова,79.0
1998,Број на 1000 бракова,87.7
1999,Број на 1000 бракова,88.8
2000,Број на 1000 бракова,88.1
2001,Број на 1000 бракова,104.7
2002,Број на 1000 бракова,112.9
2003,Број на 1000 бракова,92.5
2004,Број на 1000 бракова,68.4
2005,Број на 1000 бракова,81.3
2006,Број на 1000 бракова,77.2
2007,Број на 1000 бракова,77.7
2008,Број на 1000 бракова,61.8
2009,Број на 1000 бракова,68.0
2010,Број на 1000 бракова,85.8
2011,Број на 1000 бракова,120.5
2012,Број на 1000 бракова,125.8
2013,Број на 1000 бракова,148.1
2014,Број на 1000 бракова,144.1
2015,Број на 1000 бракова,150.5
2016,Број на 1000 бракова,143.9
2017,Број на 1000 бракова,151.3
2018,Број на 1000 бракова,155.2
2019,Број на 1000 бракова,147.2
