Year,Ентитет,UNIT_MEASURE,Value
1996,BiH,Број,21107
1997,BiH,Број,23220
1998,BiH,Број,22398
1999,BiH,Број,22472
2000,BiH,Број,21897
2001,BiH,Број,20302
2002,BiH,Број,20122
2003,BiH,Број,20733
2004,BiH,Број,22252
2005,BiH,Број,21698
2006,BiH,Број,21501
2007,BiH,Број,23494
2008,BiH,Број,22151
2009,BiH,Број,20633
2010,BiH,Број,19541
2011,BiH,Број,19156
2012,BiH,Број,18235
2013,BiH,Број,17623
2014,BiH,Број,18643
2015,BiH,Број,19686
2016,BiH,Број,19265
2017,BiH,Број,19969
2018,BiH,Број,19911
2019,BiH,Број,18952
1996,Федерација БиХ,Број,14692
1997,Федерација БиХ,Број,16061
1998,Федерација БиХ,Број,14921
1999,Федерација БиХ,Број,14285
2000,Федерација БиХ,Број,13894
2001,Федерација БиХ,Број,12758
2002,Федерација БиХ,Број,12889
2003,Федерација БиХ,Број,13102
2004,Федерација БиХ,Број,13695
2005,Федерација БиХ,Број,13620
2006,Федерација БиХ,Број,13012
2007,Федерација БиХ,Број,14808
2008,Федерација БиХ,Број,14909
2009,Федерација БиХ,Број,13670
2010,Федерација БиХ,Број,12988
2011,Федерација БиХ,Број,12589
2012,Федерација БиХ,Број,12060
2013,Федерација БиХ,Број,11381
2014,Федерација БиХ,Број,11982
2015,Федерација БиХ,Број,12972
2016,Федерација БиХ,Број,12790
2017,Федерација БиХ,Број,12994
2018,Федерација БиХ,Број,13061
2019,Федерација БиХ,Број,12266
1996,Република Српска,Број,6227
1997,Република Српска,Број,6889
1998,Република Српска,Број,7186
1999,Република Српска,Број,7893
2000,Република Српска,Број,7642
2001,Република Српска,Број,7179
2002,Република Српска,Број,7233
2003,Република Српска,Број,6769
2004,Република Српска,Број,7143
2005,Република Српска,Број,6810
2006,Република Српска,Број,6860
2007,Република Српска,Број,7093
2008,Република Српска,Број,6401
2009,Република Српска,Број,6131
2010,Република Српска,Број,5767
2011,Република Српска,Број,5802
2012,Република Српска,Број,5326
2013,Република Српска,Број,5467
2014,Република Српска,Број,5823
2015,Република Српска,Број,5895
2016,Република Српска,Број,5563
2017,Република Српска,Број,5954
2018,Република Српска,Број,5966
2019,Република Српска,Број,5822
2002,Брчко Дистрикт БиХ,Број,644
2003,Брчко Дистрикт БиХ,Број,655
2004,Брчко Дистрикт БиХ,Број,782
2005,Брчко Дистрикт БиХ,Број,669
2006,Брчко Дистрикт БиХ,Број,673
2007,Брчко Дистрикт БиХ,Број,712
2008,Брчко Дистрикт БиХ,Број,680
2009,Брчко Дистрикт БиХ,Број,670
2010,Брчко Дистрикт БиХ,Број,618
2011,Брчко Дистрикт БиХ,Број,613
2012,Брчко Дистрикт БиХ,Број,703
2013,Брчко Дистрикт БиХ,Број,622
2014,Брчко Дистрикт БиХ,Број,663
2015,Брчко Дистрикт БиХ,Број,670
2016,Брчко Дистрикт БиХ,Број,653
2017,Брчко Дистрикт БиХ,Број,718
2018,Брчко Дистрикт БиХ,Број,632
2019,Брчко Дистрикт БиХ,Број,599
