Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,Total,Оба пола,Banja Luka,185042
2013,Број,Total,Оба пола,Banovići,22773
2013,Број,Total,Оба пола,Berkovići,2114
2013,Број,Total,Оба пола,Bihać,56261
2013,Број,Total,Оба пола,Bijeljina,107715
2013,Број,Total,Оба пола,Bileća,10807
2013,Број,Total,Оба пола,Bosanska Krupa,25545
2013,Број,Total,Оба пола,Bosanski Petrovac,7328
2013,Број,Total,Оба пола,Bosansko Grahovo,2449
2013,Број,Total,Оба пола,Bratunac,20340
2013,Број,Total,Оба пола,Brčko,83516
2013,Број,Total,Оба пола,Breza,14168
2013,Број,Total,Оба пола,Brod,16619
2013,Број,Total,Оба пола,Bugojno,31470
2013,Број,Total,Оба пола,Busovača,17910
2013,Број,Total,Оба пола,Bužim,19340
2013,Број,Total,Оба пола,Cazin,66149
2013,Број,Total,Оба пола,Sarajevo - Centar,55181
2013,Број,Total,Оба пола,Čajniče,4895
2013,Број,Total,Оба пола,Čapljina,26157
2013,Број,Total,Оба пола,Čelić,10502
2013,Број,Total,Оба пола,Čelinac,15548
2013,Број,Total,Оба пола,Čitluk,18140
2013,Број,Total,Оба пола,Derventa,27404
2013,Број,Total,Оба пола,Doboj,71441
2013,Број,Total,Оба пола,Doboj-Istok,10248
2013,Број,Total,Оба пола,Doboj-Jug,4137
2013,Број,Total,Оба пола,Dobretići,1629
2013,Број,Total,Оба пола,Domaljevac-Šamac,4771
2013,Број,Total,Оба пола,Donji Vakuf,13985
2013,Број,Total,Оба пола,Donji Žabar,3809
2013,Број,Total,Оба пола,Drvar,7036
2013,Број,Total,Оба пола,Foča - FBIH,1933
2013,Број,Total,Оба пола,Foča - RS,18288
2013,Број,Total,Оба пола,Fojnica,12356
2013,Број,Total,Оба пола,Gacko,8990
2013,Број,Total,Оба пола,Glamoč,3860
2013,Број,Total,Оба пола,Goražde,20897
2013,Број,Total,Оба пола,Gornji Vakuf-Uskoplje,20933
2013,Број,Total,Оба пола,Gračanica,45220
2013,Број,Total,Оба пола,Gradačac,39340
2013,Број,Total,Оба пола,Gradiška,51727
2013,Број,Total,Оба пола,Grude,17308
2013,Број,Total,Оба пола,Sarajevo - Hadžići,23891
2013,Број,Total,Оба пола,Han Pijesak,3530
2013,Број,Total,Оба пола,Sarajevo - Ilidža,66730
2013,Број,Total,Оба пола,Sarajevo - Ilijaš,19603
2013,Број,Total,Оба пола,Istočna Ilidža,14763
2013,Број,Total,Оба пола,Istočni Drvar,79
2013,Број,Total,Оба пола,Istočni Mostar,257
2013,Број,Total,Оба пола,Istočni Stari Grad,1131
2013,Број,Total,Оба пола,Istočno Novo Sarajevo,10642
2013,Број,Total,Оба пола,Jablanica,10111
2013,Број,Total,Оба пола,Jajce,27258
2013,Број,Total,Оба пола,Jezero,1144
2013,Број,Total,Оба пола,Kakanj,37441
2013,Број,Total,Оба пола,Kalesija,33053
2013,Број,Total,Оба пола,Kalinovik,2029
2013,Број,Total,Оба пола,Kiseljak,20722
2013,Број,Total,Оба пола,Kladanj,12348
2013,Број,Total,Оба пола,Ključ,16744
2013,Број,Total,Оба пола,Kneževo,9793
2013,Број,Total,Оба пола,Konjic,25148
2013,Број,Total,Оба пола,Kostajnica,5977
2013,Број,Total,Оба пола,Kotor Varoš,19710
2013,Број,Total,Оба пола,Kozarska Dubica,21524
2013,Број,Total,Оба пола,Kreševo,5273
2013,Број,Total,Оба пола,Krupa Na Uni,1597
2013,Број,Total,Оба пола,Kupres - FBIH,5057
2013,Број,Total,Оба пола,Kupres - RS,300
2013,Број,Total,Оба пола,Laktaši,34966
2013,Број,Total,Оба пола,Livno,34133
2013,Број,Total,Оба пола,Lopare,15357
2013,Број,Total,Оба пола,Lukavac,44520
2013,Број,Total,Оба пола,Ljubinje,3511
2013,Број,Total,Оба пола,Ljubuški,28184
2013,Број,Total,Оба пола,Maglaj,23146
2013,Број,Total,Оба пола,Milići,11441
2013,Број,Total,Оба пола,Modriča,25720
2013,Број,Total,Оба пола,Mostar,105797
2013,Број,Total,Оба пола,Mrkonjić Grad,16671
2013,Број,Total,Оба пола,Neum,4653
2013,Број,Total,Оба пола,Nevesinje,12961
2013,Број,Total,Оба пола,Novi Grad,27115
2013,Број,Total,Оба пола,Sarajevo - Novi Grad,118553
2013,Број,Total,Оба пола,Novi Travnik,23832
2013,Број,Total,Оба пола,Novo Goražde,3117
2013,Број,Total,Оба пола,Sarajevo - Novo Sarajevo,64814
2013,Број,Total,Оба пола,Odžak,18821
2013,Број,Total,Оба пола,Olovo,10175
2013,Број,Total,Оба пола,Orašje,19861
2013,Број,Total,Оба пола,Osmaci,6016
2013,Број,Total,Оба пола,Oštra Luka,2786
2013,Број,Total,Оба пола,Pale - FBIH,904
2013,Број,Total,Оба пола,Pale - RS,20909
2013,Број,Total,Оба пола,Pelagićevo,5220
2013,Број,Total,Оба пола,Petrovac,361
2013,Број,Total,Оба пола,Petrovo,6474
2013,Број,Total,Оба пола,Posušje,20477
2013,Број,Total,Оба пола,Prijedor,89397
2013,Број,Total,Оба пола,Prnjavor,35956
2013,Број,Total,Оба пола,Prozor,14280
2013,Број,Total,Оба пола,Ravno,3219
2013,Број,Total,Оба пола,Ribnik,6048
2013,Број,Total,Оба пола,Rogatica,10723
2013,Број,Total,Оба пола,Rudo,7963
2013,Број,Total,Оба пола,Sanski Most,41475
2013,Број,Total,Оба пола,Sapna,11178
2013,Број,Total,Оба пола,Sokolac,12021
2013,Број,Total,Оба пола,Srbac,17587
2013,Број,Total,Оба пола,Srebrenica,13409
2013,Број,Total,Оба пола,Srebrenik,39678
2013,Број,Total,Оба пола,Sarajevo - Stari Grad,36976
2013,Број,Total,Оба пола,Stolac,14502
2013,Број,Total,Оба пола,Šamac,17273
2013,Број,Total,Оба пола,Šekovići,6761
2013,Број,Total,Оба пола,Šipovo,10293
2013,Број,Total,Оба пола,Široki Brijeg,28929
2013,Број,Total,Оба пола,Teočak,7424
2013,Број,Total,Оба пола,Teslić,38536
2013,Број,Total,Оба пола,Tešanj,43063
2013,Број,Total,Оба пола,Tomislavgrad,31592
2013,Број,Total,Оба пола,Travnik,53482
2013,Број,Total,Оба пола,Trebinje,29198
2013,Број,Total,Оба пола,Trnovo - FBIH,1502
2013,Број,Total,Оба пола,Trnovo - RS,2050
2013,Број,Total,Оба пола,Tuzla,110979
2013,Број,Total,Оба пола,Ugljevik,15710
2013,Број,Total,Оба пола,Usora,6603
2013,Број,Total,Оба пола,Vareš,8892
2013,Број,Total,Оба пола,Velika Kladuša,40419
2013,Број,Total,Оба пола,Visoko,39938
2013,Број,Total,Оба пола,Višegrad,10668
2013,Број,Total,Оба пола,Vitez,25836
2013,Број,Total,Оба пола,Vlasenica,11467
2013,Број,Total,Оба пола,Sarajevo - Vogošća,26343
2013,Број,Total,Оба пола,Vukosavlje,4667
2013,Број,Total,Оба пола,Zavidovići,35988
2013,Број,Total,Оба пола,Zenica,110663
2013,Број,Total,Оба пола,Zvornik,58856
2013,Број,Total,Оба пола,Žepče,30219
2013,Број,Total,Оба пола,Živinice,57765
2013,Број,0-4,Оба пола,Banja Luka,9610
2013,Број,0-4,Оба пола,Banovići,1206
2013,Број,0-4,Оба пола,Berkovići,93
2013,Број,0-4,Оба пола,Bihać,2652
2013,Број,0-4,Оба пола,Bijeljina,5080
2013,Број,0-4,Оба пола,Bileća,487
2013,Број,0-4,Оба пола,Bosanska Krupa,1423
2013,Број,0-4,Оба пола,Bosanski Petrovac,249
2013,Број,0-4,Оба пола,Bosansko Grahovo,69
2013,Број,0-4,Оба пола,Bratunac,948
2013,Број,0-4,Оба пола,Brčko,4165
2013,Број,0-4,Оба пола,Breza,698
2013,Број,0-4,Оба пола,Brod,771
2013,Број,0-4,Оба пола,Bugojno,1484
2013,Број,0-4,Оба пола,Busovača,961
2013,Број,0-4,Оба пола,Bužim,1405
2013,Број,0-4,Оба пола,Cazin,3940
2013,Број,0-4,Оба пола,Sarajevo - Centar,2588
2013,Број,0-4,Оба пола,Čajniče,185
2013,Број,0-4,Оба пола,Čapljina,1233
2013,Број,0-4,Оба пола,Čelić,475
2013,Број,0-4,Оба пола,Čelinac,769
2013,Број,0-4,Оба пола,Čitluk,1002
2013,Број,0-4,Оба пола,Derventa,1170
2013,Број,0-4,Оба пола,Doboj,3330
