Year,UNIT_MEASURE,Године,Пол,Value
2018,Број,Total,Оба пола,3492023.0
2018,Број,0,Оба пола,29304.0
2018,Број,1,Оба пола,29995.0
2018,Број,2,Оба пола,29995.0
2018,Број,3,Оба пола,29566.0
2018,Број,4,Оба пола,30087.0
2018,Број,5,Оба пола,30487.0
2018,Број,6,Оба пола,34340.0
2018,Број,7,Оба пола,34192.0
2018,Број,8,Оба пола,35540.0
2018,Број,9,Оба пола,36576.0
2018,Број,10,Оба пола,36416.0
2018,Број,11,Оба пола,35032.0
2018,Број,12,Оба пола,34885.0
2018,Број,13,Оба пола,35394.0
2018,Број,14,Оба пола,35371.0
2018,Број,15,Оба пола,36154.0
2018,Број,16,Оба пола,36690.0
2018,Број,17,Оба пола,38105.0
2018,Број,18,Оба пола,39196.0
2018,Број,19,Оба пола,40457.0
2018,Број,20,Оба пола,44679.0
2018,Број,21,Оба пола,49640.0
2018,Број,22,Оба пола,52209.0
2018,Број,23,Оба пола,51959.0
2018,Број,24,Оба пола,44406.0
2018,Број,25,Оба пола,37828.0
2018,Број,26,Оба пола,43284.0
2018,Број,27,Оба пола,48558.0
2018,Број,28,Оба пола,48051.0
2018,Број,29,Оба пола,47707.0
2018,Број,30,Оба пола,49939.0
2018,Број,31,Оба пола,49807.0
2018,Број,32,Оба пола,49532.0
2018,Број,33,Оба пола,50507.0
2018,Број,34,Оба пола,51448.0
2018,Број,35,Оба пола,50794.0
2018,Број,36,Оба пола,51167.0
2018,Број,37,Оба пола,50642.0
2018,Број,38,Оба пола,50330.0
2018,Број,39,Оба пола,49548.0
2018,Број,40,Оба пола,49487.0
2018,Број,41,Оба пола,49317.0
2018,Број,42,Оба пола,51251.0
2018,Број,43,Оба пола,49565.0
2018,Број,44,Оба пола,48524.0
2018,Број,45,Оба пола,47950.0
2018,Број,46,Оба пола,49027.0
2018,Број,47,Оба пола,48514.0
2018,Број,48,Оба пола,45042.0
2018,Број,49,Оба пола,48540.0
2018,Број,50,Оба пола,48827.0
2018,Број,51,Оба пола,49938.0
2018,Број,52,Оба пола,51728.0
2018,Број,53,Оба пола,53243.0
2018,Број,54,Оба пола,51756.0
2018,Број,55,Оба пола,52530.0
2018,Број,56,Оба пола,53922.0
2018,Број,57,Оба пола,53887.0
2018,Број,58,Оба пола,53840.0
2018,Број,59,Оба пола,51985.0
2018,Број,60,Оба пола,52482.0
2018,Број,61,Оба пола,47582.0
2018,Број,62,Оба пола,49876.0
2018,Број,63,Оба пола,48513.0
2018,Број,64,Оба пола,49609.0
2018,Број,65,Оба пола,45978.0
2018,Број,66,Оба пола,46083.0
2018,Број,67,Оба пола,37090.0
2018,Број,68,Оба пола,39423.0
2018,Број,69,Оба пола,38224.0
2018,Број,70,Оба пола,33281.0
2018,Број,71,Оба пола,32296.0
2018,Број,72,Оба пола,28659.0
2018,Број,73,Оба пола,22492.0
2018,Број,74,Оба пола,20934.0
2018,Број,75,Оба пола,20822.0
2018,Број,76,Оба пола,21301.0
2018,Број,77,Оба пола,22722.0
2018,Број,78,Оба пола,23779.0
2018,Број,79,Оба пола,21527.0
2018,Број,80,Оба пола,19847.0
2018,Број,81,Оба пола,17932.0
2018,Број,82,Оба пола,15893.0
2018,Број,83,Оба пола,13748.0
2018,Број,84,Оба пола,11671.0
2018,Број,85,Оба пола,9769.0
2018,Број,86,Оба пола,7840.0
2018,Број,87,Оба пола,5920.0
2018,Број,88,Оба пола,5308.0
2018,Број,89,Оба пола,3658.0
2018,Број,90,Оба пола,3038.0
2018,Број,91,Оба пола,1860.0
2018,Број,92,Оба пола,1327.0
2018,Број,93,Оба пола,920.0
2018,Број,94,Оба пола,621.0
2018,Број,95,Оба пола,409.0
2018,Број,96,Оба пола,297.0
2018,Број,97,Оба пола,160.0
2018,Број,98,Оба пола,122.0
2018,Број,99,Оба пола,87.0
2018,Број,100,Оба пола,101.0
2018,Број,101,Оба пола,60.0
2018,Број,102,Оба пола,31.0
2018,Број,103,Оба пола,18.0
2018,Број,104,Оба пола,11.0
2018,Број,105,Оба пола,6.0
2018,Број,106,Оба пола,3.0
2018,Број,107,Оба пола,2.0
2018,Број,108,Оба пола,1.0
2018,Број,109,Оба пола,0.0
2018,Број,110,Оба пола,0.0
2018,Број,111,Оба пола,0.0
2018,Број,112,Оба пола,0.0
2018,Број,113,Оба пола,0.0
2018,Број,114,Оба пола,0.0
2018,Број,115,Оба пола,0.0
2018,Број,116,Оба пола,0.0
2018,Број,117,Оба пола,0.0
2018,Број,118,Оба пола,0.0
2018,Број,119,Оба пола,0.0
2018,Број,120+,Оба пола,0.0
2018,_%,Total,Оба пола,100.0
2018,_%,0,Оба пола,0.84
2018,_%,1,Оба пола,0.86
2018,_%,2,Оба пола,0.86
2018,_%,3,Оба пола,0.85
2018,_%,4,Оба пола,0.86
2018,_%,5,Оба пола,0.87
2018,_%,6,Оба пола,0.98
2018,_%,7,Оба пола,0.98
2018,_%,8,Оба пола,1.02
2018,_%,9,Оба пола,1.05
2018,_%,10,Оба пола,1.04
2018,_%,11,Оба пола,1.0
2018,_%,12,Оба пола,1.0
2018,_%,13,Оба пола,1.01
2018,_%,14,Оба пола,1.01
2018,_%,15,Оба пола,1.04
2018,_%,16,Оба пола,1.05
2018,_%,17,Оба пола,1.09
2018,_%,18,Оба пола,1.12
2018,_%,19,Оба пола,1.16
2018,_%,20,Оба пола,1.28
2018,_%,21,Оба пола,1.42
2018,_%,22,Оба пола,1.5
2018,_%,23,Оба пола,1.49
2018,_%,24,Оба пола,1.27
2018,_%,25,Оба пола,1.08
2018,_%,26,Оба пола,1.24
2018,_%,27,Оба пола,1.39
2018,_%,28,Оба пола,1.38
2018,_%,29,Оба пола,1.37
2018,_%,30,Оба пола,1.43
2018,_%,31,Оба пола,1.43
2018,_%,32,Оба пола,1.42
2018,_%,33,Оба пола,1.45
2018,_%,34,Оба пола,1.47
2018,_%,35,Оба пола,1.45
2018,_%,36,Оба пола,1.47
2018,_%,37,Оба пола,1.45
2018,_%,38,Оба пола,1.44
2018,_%,39,Оба пола,1.42
2018,_%,40,Оба пола,1.42
2018,_%,41,Оба пола,1.41
2018,_%,42,Оба пола,1.47
2018,_%,43,Оба пола,1.42
2018,_%,44,Оба пола,1.39
2018,_%,45,Оба пола,1.37
2018,_%,46,Оба пола,1.4
2018,_%,47,Оба пола,1.39
2018,_%,48,Оба пола,1.29
2018,_%,49,Оба пола,1.39
2018,_%,50,Оба пола,1.4
2018,_%,51,Оба пола,1.43
2018,_%,52,Оба пола,1.48
2018,_%,53,Оба пола,1.52
2018,_%,54,Оба пола,1.48
2018,_%,55,Оба пола,1.5
2018,_%,56,Оба пола,1.54
2018,_%,57,Оба пола,1.54
2018,_%,58,Оба пола,1.54
2018,_%,59,Оба пола,1.49
2018,_%,60,Оба пола,1.5
2018,_%,61,Оба пола,1.36
2018,_%,62,Оба пола,1.43
2018,_%,63,Оба пола,1.39
2018,_%,64,Оба пола,1.42
2018,_%,65,Оба пола,1.32
2018,_%,66,Оба пола,1.32
2018,_%,67,Оба пола,1.06
2018,_%,68,Оба пола,1.13
2018,_%,69,Оба пола,1.09
2018,_%,70,Оба пола,0.95
2018,_%,71,Оба пола,0.92
2018,_%,72,Оба пола,0.82
2018,_%,73,Оба пола,0.64
2018,_%,74,Оба пола,0.6
2018,_%,75,Оба пола,0.6
2018,_%,76,Оба пола,0.61
2018,_%,77,Оба пола,0.65
2018,_%,78,Оба пола,0.68
2018,_%,79,Оба пола,0.62
2018,_%,80,Оба пола,0.57
2018,_%,81,Оба пола,0.51
2018,_%,82,Оба пола,0.46
2018,_%,83,Оба пола,0.39
2018,_%,84,Оба пола,0.33
2018,_%,85,Оба пола,0.28
2018,_%,86,Оба пола,0.22
2018,_%,87,Оба пола,0.17
2018,_%,88,Оба пола,0.15
2018,_%,89,Оба пола,0.1
2018,_%,90,Оба пола,0.09
2018,_%,91,Оба пола,0.05
2018,_%,92,Оба пола,0.04
2018,_%,93,Оба пола,0.03
2018,_%,94,Оба пола,0.02
2018,_%,95,Оба пола,0.01
2018,_%,96,Оба пола,0.01
2018,_%,97,Оба пола,0.0
2018,_%,98,Оба пола,0.0
2018,_%,99,Оба пола,0.0
2018,_%,100,Оба пола,0.0
2018,_%,101,Оба пола,0.0
2018,_%,102,Оба пола,0.0
2018,_%,103,Оба пола,0.0
2018,_%,104,Оба пола,0.0
2018,_%,105,Оба пола,0.0
2018,_%,106,Оба пола,0.0
2018,_%,107,Оба пола,0.0
2018,_%,108,Оба пола,0.0
2018,_%,109,Оба пола,0.0
2018,_%,110,Оба пола,0.0
2018,_%,111,Оба пола,0.0
2018,_%,112,Оба пола,0.0
2018,_%,113,Оба пола,0.0
2018,_%,114,Оба пола,0.0
2018,_%,115,Оба пола,0.0
2018,_%,116,Оба пола,0.0
2018,_%,117,Оба пола,0.0
2018,_%,118,Оба пола,0.0
2018,_%,119,Оба пола,0.0
2018,_%,120+,Оба пола,0.0
2020,Број,Total,Оба пола,3430316.35
2020,Број,0,Оба пола,29138.54
2020,Број,1,Оба пола,29422.49
2020,Број,2,Оба пола,28693.26
2020,Број,3,Оба пола,29523.03
2020,Број,4,Оба пола,29644.24
2020,Број,5,Оба пола,29319.48
2020,Број,6,Оба пола,29909.25
2020,Број,7,Оба пола,30331.25
2020,Број,8,Оба пола,34170.74
2020,Број,9,Оба пола,34008.75
2020,Број,10,Оба пола,35336.98
2020,Број,11,Оба пола,36352.05
2020,Број,12,Оба пола,36195.98
2020,Број,13,Оба пола,34831.93
2020,Број,14,Оба пола,34691.03
2020,Број,15,Оба пола,35180.12
2020,Број,16,Оба пола,35070.36
2020,Број,17,Оба пола,35642.1
2020,Број,18,Оба пола,35848.99
2020,Број,19,Оба пола,36851.54
2020,Број,20,Оба пола,37499.65
2020,Број,21,Оба пола,38308.29
2020,Број,22,Оба пола,42048.0
2020,Број,23,Оба пола,46588.52
2020,Број,24,Оба пола,48954.2
2020,Број,25,Оба пола,48880.69
2020,Број,26,Оба пола,41889.84
2020,Број,27,Оба пола,35768.43
2020,Број,28,Оба пола,41229.58
2020,Број,29,Оба пола,46442.61
2020,Број,30,Оба пола,46093.22
2020,Број,31,Оба пола,45927.93
2020,Број,32,Оба пола,48243.78
2020,Број,33,Оба пола,48196.57
2020,Број,34,Оба пола,48014.76
2020,Број,35,Оба пола,49044.2
2020,Број,36,Оба пола,50041.0
2020,Број,37,Оба пола,49468.84
2020,Број,38,Оба пола,49918.58
2020,Број,39,Оба пола,49462.23
2020,Број,40,Оба пола,49220.68
2020,Број,41,Оба пола,48516.28
2020,Број,42,Оба пола,48521.35
2020,Број,43,Оба пола,48388.8
2020,Број,44,Оба пола,50349.47
2020,Број,45,Оба пола,48732.35
2020,Број,46,Оба пола,47767.52
2020,Број,47,Оба пола,47246.46
2020,Број,48,Оба пола,48359.0
2020,Број,49,Оба пола,47915.54
2020,Број,50,Оба пола,44529.66
2020,Број,51,Оба пола,48020.61
2020,Број,52,Оба пола,48309.5
2020,Број,53,Оба пола,49413.57
2020,Број,54,Оба пола,51180.96
2020,Број,55,Оба пола,52676.37
2020,Број,56,Оба пола,51209.91
2020,Број,57,Оба пола,51968.01
2020,Број,58,Оба пола,53323.49
2020,Број,59,Оба пола,53268.55
2020,Број,60,Оба пола,53200.37
2020,Број,61,Оба пола,51343.56
2020,Број,62,Оба пола,51780.79
2020,Број,63,Оба пола,46919.89
2020,Број,64,Оба пола,49054.59
2020,Број,65,Оба пола,47592.4
2020,Број,66,Оба пола,48481.78
2020,Број,67,Оба пола,44770.8
2020,Број,68,Оба пола,44676.73
2020,Број,69,Оба пола,35837.89
2020,Број,70,Оба пола,37876.39
2020,Број,71,Оба пола,36500.57
2020,Број,72,Оба пола,31580.48
2020,Број,73,Оба пола,30403.39
2020,Број,74,Оба пола,26785.41
2020,Број,75,Оба пола,20882.19
2020,Број,76,Оба пола,19276.57
2020,Број,77,Оба пола,19001.38
2020,Број,78,Оба пола,19223.05
2020,Број,79,Оба пола,20244.03
2020,Број,80,Оба пола,20894.66
2020,Број,81,Оба пола,18637.67
2020,Број,82,Оба пола,16895.16
2020,Број,83,Оба пола,14983.03
2020,Број,84,Оба пола,13020.78
2020,Број,85,Оба пола,11029.02
2020,Број,86,Оба пола,9151.02
2020,Број,87,Оба пола,7468.38
2020,Број,88,Оба пола,5833.43
2020,Број,89,Оба пола,4279.0
2020,Број,90,Оба пола,3714.65
2020,Број,91,Оба пола,2472.01
2020,Број,92,Оба пола,1976.79
