Year,Пол,Витална статистика,UNIT_MEASURE,Value
2020,Оба пола,Живорођени,Број,29511.0
2020,Оба пола,Смртни случајеви,Број,37517.0
2020,Оба пола,Природно кретање,Број,-8006.0
2025,Оба пола,Живорођени,Број,26090.0
2025,Оба пола,Смртни случајеви,Број,39013.0
2025,Оба пола,Природно кретање,Број,-12924.0
2030,Оба пола,Живорођени,Број,22815.0
2030,Оба пола,Смртни случајеви,Број,40539.0
2030,Оба пола,Природно кретање,Број,-17724.0
2035,Оба пола,Живорођени,Број,20041.0
2035,Оба пола,Смртни случајеви,Број,42144.0
2035,Оба пола,Природно кретање,Број,-22103.0
2040,Оба пола,Живорођени,Број,18095.0
2040,Оба пола,Смртни случајеви,Број,43514.0
2040,Оба пола,Природно кретање,Број,-25419.0
2045,Оба пола,Живорођени,Број,16461.0
2045,Оба пола,Смртни случајеви,Број,44097.0
2045,Оба пола,Природно кретање,Број,-27635.0
2050,Оба пола,Живорођени,Број,14955.0
2050,Оба пола,Смртни случајеви,Број,43537.0
2050,Оба пола,Природно кретање,Број,-28582.0
2055,Оба пола,Живорођени,Број,13510.0
2055,Оба пола,Смртни случајеви,Број,42130.0
2055,Оба пола,Природно кретање,Број,-28620.0
2060,Оба пола,Живорођени,Број,12120.0
2060,Оба пола,Смртни случајеви,Број,40129.0
2060,Оба пола,Природно кретање,Број,-28009.0
2065,Оба пола,Живорођени,Број,10861.0
2065,Оба пола,Смртни случајеви,Број,37783.0
2065,Оба пола,Природно кретање,Број,-26921.0
2070,Оба пола,Живорођени,Број,9813.0
2070,Оба пола,Смртни случајеви,Број,35279.0
2070,Оба пола,Природно кретање,Број,-25466.0
2020,M,Живорођени,Број,15198.1
2020,M,Смртни случајеви,Број,19067.38
2020,M,Природно кретање,Број,-3869.28
2025,M,Живорођени,Број,13436.14
2025,M,Смртни случајеви,Број,19749.42
2025,M,Природно кретање,Број,-6313.28
2030,M,Живорођени,Број,11749.71
2030,M,Смртни случајеви,Број,20415.9
2030,M,Природно кретање,Број,-8666.19
2035,M,Живорођени,Број,10321.36
2035,M,Смртни случајеви,Број,21109.52
2035,M,Природно кретање,Број,-10788.16
2040,M,Живорођени,Број,9318.9
2040,M,Смртни случајеви,Број,21636.31
2040,M,Природно кретање,Број,-12317.42
2045,M,Живорођени,Број,8477.6
2045,M,Смртни случајеви,Број,21687.35
2045,M,Природно кретање,Број,-13209.75
2050,M,Живорођени,Број,7701.99
2050,M,Смртни случајеви,Број,21195.41
2050,M,Природно кретање,Број,-13493.42
2055,M,Живорођени,Број,6957.74
2055,M,Смртни случајеви,Број,20338.32
2055,M,Природно кретање,Број,-13380.59
2060,M,Живорођени,Број,6241.95
2060,M,Смртни случајеви,Број,19207.75
2060,M,Природно кретање,Број,-12965.8
2065,M,Живорођени,Број,5593.5
2065,M,Смртни случајеви,Број,17838.31
2065,M,Природно кретање,Број,-12244.81
2070,M,Живорођени,Број,5053.93
2070,M,Смртни случајеви,Број,16375.72
2070,M,Природно кретање,Број,-11321.79
2020,Ж,Живорођени,Број,14312.78
2020,Ж,Смртни случајеви,Број,18449.39
2020,Ж,Природно кретање,Број,-4136.61
2025,Ж,Живорођени,Број,12653.45
2025,Ж,Смртни случајеви,Број,19263.68
2025,Ж,Природно кретање,Број,-6610.23
2030,Ж,Живорођени,Број,11065.26
2030,Ж,Смртни случајеви,Број,20122.9
2030,Ж,Природно кретање,Број,-9057.64
2035,Ж,Живорођени,Број,9720.12
2035,Ж,Смртни случајеви,Број,21034.49
2035,Ж,Природно кретање,Број,-11314.37
2040,Ж,Живорођени,Број,8776.05
2040,Ж,Смртни случајеви,Број,21877.98
2040,Ж,Природно кретање,Број,-13101.93
2045,Ж,Живорођени,Број,7983.76
2045,Ж,Смртни случајеви,Број,22409.28
2045,Ж,Природно кретање,Број,-14425.52
2050,Ж,Живорођени,Број,7253.33
2050,Ж,Смртни случајеви,Број,22341.66
2050,Ж,Природно кретање,Број,-15088.33
2055,Ж,Живорођени,Број,6552.43
2055,Ж,Смртни случајеви,Број,21791.64
2055,Ж,Природно кретање,Број,-15239.21
2060,Ж,Живорођени,Број,5878.35
2060,Ж,Смртни случајеви,Број,20921.08
2060,Ж,Природно кретање,Број,-15042.73
2065,Ж,Живорођени,Број,5267.66
2065,Ж,Смртни случајеви,Број,19944.35
2065,Ж,Природно кретање,Број,-14676.69
2070,Ж,Живорођени,Број,4759.53
2070,Ж,Смртни случајеви,Број,18903.51
2070,Ж,Природно кретање,Број,-14143.98
