Year,UNIT_MEASURE,Пол,Ентитет,Value
2001,Број,Мушкарци,BiH,98.0
2002,Број,Мушкарци,BiH,77.0
2003,Број,Мушкарци,BiH,91.0
2004,Број,Мушкарци,BiH,94.0
2005,Број,Мушкарци,BiH,85.0
2006,Број,Мушкарци,BiH,83.0
2007,Број,Мушкарци,BiH,98.0
2008,Број,Мушкарци,BiH,102.0
2009,Број,Мушкарци,BiH,80.0
2010,Број,Мушкарци,BiH,83.0
2011,Број,Мушкарци,BiH,57.0
2012,Број,Мушкарци,BiH,64.0
2013,Број,Мушкарци,BiH,45.0
2014,Број,Мушкарци,BiH,45.0
2015,Број,Мушкарци,BiH,56.0
2016,Број,Мушкарци,BiH,54.0
2017,Број,Мушкарци,BiH,51.0
2018,Број,Мушкарци,BiH,49.0
2019,Број,Мушкарци,BiH,40.0
2001,Број,Жене,BiH,95.0
2002,Број,Жене,BiH,61.0
2003,Број,Жене,BiH,59.0
2004,Број,Жене,BiH,74.0
2005,Број,Жене,BiH,62.0
2006,Број,Жене,BiH,54.0
2007,Број,Жене,BiH,76.0
2008,Број,Жене,BiH,69.0
2009,Број,Жене,BiH,56.0
2010,Број,Жене,BiH,60.0
2011,Број,Жене,BiH,61.0
2012,Број,Жене,BiH,56.0
2013,Број,Жене,BiH,57.0
2014,Број,Жене,BiH,32.0
2015,Број,Жене,BiH,58.0
2016,Број,Жене,BiH,56.0
2017,Број,Жене,BiH,52.0
2018,Број,Жене,BiH,39.0
2019,Број,Жене,BiH,42.0
1996,Број,Оба пола,BiH,271.0
1997,Број,Оба пола,BiH,240.0
1998,Број,Оба пола,BiH,202.0
1999,Број,Оба пола,BiH,224.0
2000,Број,Оба пола,BiH,159.0
2001,Број,Оба пола,BiH,193.0
2002,Број,Оба пола,BiH,138.0
2003,Број,Оба пола,BiH,150.0
2004,Број,Оба пола,BiH,168.0
2005,Број,Оба пола,BiH,147.0
2006,Број,Оба пола,BiH,137.0
2007,Број,Оба пола,BiH,174.0
2008,Број,Оба пола,BiH,171.0
2009,Број,Оба пола,BiH,136.0
2010,Број,Оба пола,BiH,143.0
2011,Број,Оба пола,BiH,118.0
2012,Број,Оба пола,BiH,120.0
2013,Број,Оба пола,BiH,102.0
2014,Број,Оба пола,BiH,77.0
2015,Број,Оба пола,BiH,114.0
2016,Број,Оба пола,BiH,110.0
2017,Број,Оба пола,BiH,103.0
2018,Број,Оба пола,BiH,88.0
2019,Број,Оба пола,BiH,82.0
1997,Број,Мушкарци,FBiH,98.0
1998,Број,Мушкарци,FBiH,76.0
1999,Број,Мушкарци,FBiH,88.0
2000,Број,Мушкарци,FBiH,59.0
2001,Број,Мушкарци,FBiH,60.0
2002,Број,Мушкарци,FBiH,60.0
2003,Број,Мушкарци,FBiH,72.0
2004,Број,Мушкарци,FBiH,70.0
2005,Број,Мушкарци,FBiH,69.0
2006,Број,Мушкарци,FBiH,62.0
2007,Број,Мушкарци,FBiH,73.0
2008,Број,Мушкарци,FBiH,79.0
2009,Број,Мушкарци,FBiH,52.0
2010,Број,Мушкарци,FBiH,55.0
2011,Број,Мушкарци,FBiH,39.0
2012,Број,Мушкарци,FBiH,36.0
2013,Број,Мушкарци,FBiH,27.0
2014,Број,Мушкарци,FBiH,32.0
2015,Број,Мушкарци,FBiH,48.0
2016,Број,Мушкарци,FBiH,54.0
2017,Број,Мушкарци,FBiH,41.0
2018,Број,Мушкарци,FBiH,37.0
2019,Број,Мушкарци,FBiH,36.0
1997,Број,Жене,FBiH,69.0
1998,Број,Жене,FBiH,70.0
1999,Број,Жене,FBiH,66.0
2000,Број,Жене,FBiH,48.0
2001,Број,Жене,FBiH,56.0
2002,Број,Жене,FBiH,38.0
2003,Број,Жене,FBiH,37.0
2004,Број,Жене,FBiH,53.0
2005,Број,Жене,FBiH,41.0
2006,Број,Жене,FBiH,43.0
2007,Број,Жене,FBiH,57.0
2008,Број,Жене,FBiH,50.0
2009,Број,Жене,FBiH,38.0
2010,Број,Жене,FBiH,30.0
2011,Број,Жене,FBiH,37.0
2012,Број,Жене,FBiH,32.0
2013,Број,Жене,FBiH,33.0
2014,Број,Жене,FBiH,21.0
2015,Број,Жене,FBiH,49.0
2016,Број,Жене,FBiH,41.0
2017,Број,Жене,FBiH,43.0
2018,Број,Жене,FBiH,31.0
2019,Број,Жене,FBiH,33.0
1997,Број,Оба пола,FBiH,167.0
1998,Број,Оба пола,FBiH,146.0
1999,Број,Оба пола,FBiH,154.0
2000,Број,Оба пола,FBiH,107.0
2001,Број,Оба пола,FBiH,116.0
2002,Број,Оба пола,FBiH,98.0
2003,Број,Оба пола,FBiH,109.0
2004,Број,Оба пола,FBiH,123.0
2005,Број,Оба пола,FBiH,110.0
2006,Број,Оба пола,FBiH,105.0
2007,Број,Оба пола,FBiH,130.0
2008,Број,Оба пола,FBiH,129.0
2009,Број,Оба пола,FBiH,90.0
2010,Број,Оба пола,FBiH,85.0
2011,Број,Оба пола,FBiH,76.0
2012,Број,Оба пола,FBiH,68.0
2013,Број,Оба пола,FBiH,60.0
2014,Број,Оба пола,FBiH,53.0
2015,Број,Оба пола,FBiH,97.0
2016,Број,Оба пола,FBiH,95.0
2017,Број,Оба пола,FBiH,84.0
2018,Број,Оба пола,FBiH,68.0
2019,Број,Оба пола,FBiH,69.0
1997,Број,Мушкарци,Република Српска,38.0
1998,Број,Мушкарци,Република Српска,19.0
1999,Број,Мушкарци,Република Српска,39.0
2000,Број,Мушкарци,Република Српска,27.0
2001,Број,Мушкарци,Република Српска,38.0
2002,Број,Мушкарци,Република Српска,17.0
2003,Број,Мушкарци,Република Српска,17.0
2004,Број,Мушкарци,Република Српска,19.0
2005,Број,Мушкарци,Република Српска,20.0
2006,Број,Мушкарци,Република Српска,20.0
2007,Број,Мушкарци,Република Српска,23.0
2008,Број,Мушкарци,Република Српска,20.0
2009,Број,Мушкарци,Република Српска,21.0
2010,Број,Мушкарци,Република Српска,23.0
